blind_id,repository,issue_number,gold_primary_failure,github_state,has_fix_workaround_regression_text,has_pr_or_issue_reference,has_commit_hash_reference,linked_pull_urls,issue_or_pr_refs,commit_refs,fix_context_snippet
GNF-0012-d3d20064,numba/numba,2988,performance_only,open,true,false,true,,,40f25167351832fe55b64232785d036d,"open-atmos/PySDM/blob/main/PySDM/backends/impl_numba/atomic_operations.py)), however this workaround does not seem to work on ARM CPUs. Any ideas on how to achieve atomic operations in multi-threaded Numba JIT-compiled code on ARM CPUs warmly welcome!"
GNF-0013-bd88dbb3,triton-lang/triton,2138,nan_inf,closed,true,false,false,,,,"dvance` doesn't have side effects, you need to assign the return value to block_ptr. That fixed it! Thanks :-)"
GNF-0014-9fb698b0,pytorch/pytorch,134385,dtype_casting,open,true,false,false,,,,"e registered for HOP flex_attention"" error while using **PyTorch 2.6.0**. How can this be resolved? re-open since there's still issue with it cc @zou3519 @bdhirsh > You can register a FlopCounterMode formula via HOP.py_impl(FlopCounterMode) @zou3519 I'm running into this sa"
GNF-0015-04273d95,pytorch/pytorch,119131,nan_inf,open,false,false,true,,,125438096|14154262|e28a256d71,
GNF-0016-7e125a4d,triton-lang/triton,10229,dtype_casting,open,true,true,true,https://github.com/vllm-project/vllm/pull/40327,7786,25312905392,", constexpr gate, softmax, running-max state, warp specialization. ## Our reading of the root cause `TritonGPUPipeline` only runs on a `for`-loop when the body has a `tl.dot` (that's the purpose of pipelining — overlap TMA loads with the matmul). Inside that pipelined loop the"
GNF-0017-f27cd16b,numba/numba,5158,crash_compile,open,false,true,false,,2664,,
GNF-0018-86e41701,numba/numba,6839,dtype_casting,closed,true,true,true,,0|26,18446744064468836048|23F8E453E605|2DD7F6F20703|66D73BD7|7E4A4C45|802953424|8822D49B|8B3A0AAA|9FF0908FC0CD|B1BC7BACE9E5,"ds running `@njit(parallel=True)` functions, either may end up in the invalid state. The ""fix"" here is to use a threading backend that is itself threadsafe, TBB and OpenMP are, there's more information here about how to select and set a threading layer: https://numba.readt"
GNF-0019-965637d3,triton-lang/triton,10106,nan_inf,closed,true,false,true,,,37c9a4b569a0f1719bdd77ca5f666096e10b7227,"allocated but never used and also the mbarriers in it are never invalidated. Adding this fixes the reproducer for me: ``` dw_chnl = SharedMemoryChannel.alloc(""dw"", [1], gl.float32,gl.SwizzledSharedLayout(1, 1, 1, [0]), num_buffers=1) dw_chnl.release() ``` The issue"
GNF-0020-322072f7,cupy/cupy,8260,dtype_casting,closed,true,true,true,https://github.com/cupy/cupy/pull/8200,161|8200,028889eef3ba110829d677726348aa0f75aadb4e|20191231|20240210|20240316|31968024|c08b8c6|d156d4e64becd06cf23cd475b2ea91c4574dd026|f6e5d8b89fedaa52df30d2fdeab874d1544d8996,-forge pkg-config 0.29.2 h36c2ea0_1008 conda-forge pkgutil-resolve-name 1.3.10 pyhd8ed1ab_1 conda-forge platformdirs 4.2.0 pyhd8ed1ab_0 conda-forge pluggy 1.4.0 py
GNF-0021-ebaa6477,jax-ml/jax,28637,nan_inf,closed,false,true,true,,25,00000000|4db45dc420f8,
GNF-0022-a403f994,pytorch/pytorch,179711,dtype_casting,open,true,true,true,https://github.com/pytorch/pytorch/pull/182671,,d97e6130966bcd3f046f2523e82086e5,"e-nrv @jiayisunx @ipiszy @kadeng @muchulee8 @amjames @aakhundov @coconutruben @jataylo To resolve this, we can integrate the heuristic routing directly into Inductor's scheduler and update the Triton lowering for the register-tiled path. 1. Scheduler Heuristic We can route th"
GNF-0023-93595bc9,cupy/cupy,9907,crash_compile,open,false,false,false,,,,
GNF-0024-543e6651,pytorch/pytorch,138570,nan_inf,open,false,false,true,,,20231218|cd89023f797900e4492da58b7bed36f702120011,
GNF-0025-d23b5aed,numba/numba,8891,nan_inf,closed,true,false,false,,,,"the resulting problems without having to duplicate code would be much appreciated. (Or a fix of this issue, of course!) ```py """""" Test CUDA kernel call to @generated_jit function. """""" from typing import Union, Any, TypeVar, Type import numpy as np import numba as"
GNF-0026-8ee693c5,rapidsai/cudf,2283,performance_only,closed,true,true,true,https://github.com/rapidsai/dask-cudf/pull/270,,00000000|110daf95b978|1403768|165f71e70983874a9f63eda544199d526041f69f|24798dd8cf9502|24b16b37aff3|58911843|58911844|58913332|612331d88bbb57c0e8ac03e4d42db1f1018b2b36,"expensive? If ""yes"" to either of those, then why is that happening? If there is some workaround with `iloc`, then great, but it sounds like there might also be some larger issue here that might be worth exposing. The code above calls `fillna()` 80 times because there are 80"
GNF-0027-933bf558,cupy/cupy,7933,dtype_casting,open,true,true,true,,5623,8ddb02d9f75f22ba0b17b83545124aed4d11d2ec,"ng from `unittest.TestCase` cannot be mixed with `pytest.mark.parameterize`, so we should fix that first * This will generate a different set of tests across runs if `CUPY_TEST_FULL_COMBINATION=0` is set (i.e. within pull-requests), making it difficult to support pytest-x"
GNF-0028-64f6040c,rapidsai/cudf,19375,nan_inf,closed,true,true,true,,202,00000000|20191231|20250512|20250708|3532187|b2e06e0,pkginfo 1.12.0 pyhd8ed1ab_1 conda-forge pkgutil-resolve-name 1.3.10 pyhd8ed1ab_2 conda-forge platformdirs 4.2.0 pyhd8ed1ab_0 conda-forge pluggy 1.6.0
GNF-0029-5f61e128,rapidsai/cudf,16029,not_numerical_failure,closed,false,true,false,,14537|15397,,
GNF-0030-a4314978,pytorch/pytorch,181146,nan_inf,open,true,true,true,,180642|180670|180921,20240719|287691593170166,"the mechanism here is input aliasing rather than fwd side-effects, and it survives those fixes on current `main`. ### Minimal repro (~50 LOC, pure PyTorch, no triton, no custom ops) ```python import torch class MyFn(torch.autograd.Function): @staticmethod def for"
GNF-0031-dff9514d,numba/numba,3203,dtype_casting,closed,false,true,false,,6809,,
GNF-0032-76c19db8,cupy/cupy,9015,dtype_casting,open,false,false,false,,,,
GNF-0033-1f6d8975,triton-lang/triton,10176,dtype_casting,closed,false,false,false,,,,
GNF-0034-77cd048a,triton-lang/triton,1302,dtype_casting,open,true,false,true,,,324618cf|eb7fb63fbd12,"o 1,2,3 and 4 with no effect. Any hints as to what could've changed recently or how to fix? you may not be bounds checking correctly in the matmul. Really hard to say without the kernel Sorry @ptillet got pulled away for much longer than expected! Finally got aroun"
GNF-0035-1d6522c2,pytorch/pytorch,166131,precision_tolerance,open,true,false,false,,,,"@albanD Using `.detach()` can also reproduce this issue, while `x.view(x.shape)` seems to resolve it. I think the underlying mechanism might be that: if an autograd function returns a view tensor, subsequent operations performed in a `no_grad` context / `autograd.Function.fo"
GNF-0036-b3e8f03a,jax-ml/jax,37001,dtype_casting,open,true,true,true,,1,00000000,"nterest! I don't know how to assign someone, but please feel free to open a PR if you can fix it."
GNF-0037-7af727c1,rapidsai/cudf,16578,not_numerical_failure,closed,true,true,true,,15258|45,00000000|10415753636|18446744073709551615|28846773770|dc829b8372487615b74494a19c63d43cdbdb0d79,uild with 24.08. This is CUDA 12.3 too. I can rebuild with 24.10 and check if it has been resolved. The https://github.com/rapidsai/cudf/issues/15258 issue is a compute-sanitizer error where it incorrectly reports a misaligned read with int16 data types. It appears to be fixed
GNF-0038-ba034dce,triton-lang/triton,2218,dtype_casting,open,false,true,true,,0|1|10|11|12|13|14|15|16|17,12488406|17d633a64e43337037d2e873b029fab92422762f|52c146f66b79b6079bcd28c55312fc6ea1852519,
GNF-0039-1a4af8a4,cupy/cupy,9777,dtype_casting,closed,true,true,true,https://github.com/cupy/cupy/pull/9781,9779,4007485052|8cd2faaacf383db4fc66b0318cf474edf0b8332f|8fb96b717d64aaa8b371d26e502bc344494b35a8|bdacbd07c17d7babd5d5c2c4a3fcdc1db20395e2,is change as a PR: https://github.com/cupy/cupy/pull/9781 Should add have confirmed this fixes the issue with unactivated Conda environments <hr> Longer term - Think it would be worth looking at this logic and streamlining it more around using `sys.prefix` regardless of e
GNF-0040-5f558cf9,pytorch/pytorch,180126,dtype_casting,open,true,true,false,,180126,,"issue body. This may take some time to propagate. To re-enable a test only for a PR, put `Fixes #180126` in the PR body and rerun the test jobs. Note that if a test is flaky, it maybe be difficult to tell if the test is still flaky on the PR. </body><!-- validation-comment-e"
GNF-0041-2e844e08,numba/numba,9814,dtype_casting,open,false,true,true,,127,075d175331382bc122036c51ead0ddc7e6209f5a,
GNF-0042-938c1ba1,jax-ml/jax,36766,overflow_underflow,open,true,true,true,https://github.com/jax-ml/jax/pull/34332,10|34332,00000000|1703611361,"and is traced via `jax.export`. The values array having a symbolic shape works fine. The root cause is an eager overflow check in `SearchSorted.__init__`. ```python out_dtype.type(sorted_arr_aval.shape[dimension]) ``` This converts the sorted dimension size to a concrete int,"
GNF-0043-75ac4cd1,numba/numba,10325,nan_inf,closed,true,true,true,https://github.com/OpenMathLib/OpenBLAS/pull/5423,10323|10324,000000e|006492e|047341e|089911e|099508e|099896e|120000e|121039e|161856e|200000e,github.com> Date: Thu Nov 6 18:19:04 2025 +0100 Merge pull request #10323 from esc/fix/editable_installs fix editable installs ``` conda environment: ``` esc@artemis [numba_3.14] [numba:main:★★★] ~/git/numba conda list # packages in environment at /Users/esc/
GNF-0044-58d8c7b3,rapidsai/cudf,13233,not_numerical_failure,closed,true,true,true,https://github.com/rapidsai-community/notebooks-contrib/pull/371,,00000000|272908288|279918360|62014680|9481613,"WSL system. @bdice that is exactly the problem I was facing but I went ahead and tried to fix it and that error disappeared but I'll try as you say. Thanks! that last line is scary, ``` sudo apt-get -y install cuda ``` I found something ``` conda create -n rapids-23"
GNF-0045-d28f7a7d,cupy/cupy,851,nan_inf,open,false,true,false,,589,,
GNF-0046-21fccfc5,jax-ml/jax,3411,dtype_casting,open,false,false,true,,,0010490036010742188|0010498356819152832|0011496829986572265|0011749029159545898|007918131351470948|014006998538970947|016477890014648437|01690457820892334|025484113693237304|02622458219528198,
GNF-0047-c6f710e5,numba/numba,7062,overflow_underflow,open,false,false,false,,,,
GNF-0048-07821d1f,cupy/cupy,2248,overflow_underflow,closed,false,true,false,,2204,,
GNF-0049-80ab540f,cupy/cupy,6661,overflow_underflow,closed,true,false,true,,,1048576|163835045|35bcc11de6c8|65946d2|d12b136d,"l Information _No response_ @telegraphic Thanks for your reporting! This bug looks to be caused by an int64 overflow. @asi1024 my pleasure, glad to hear it's reproducible and not just me! (and thanks for maintaining cupy :pray:)"
GNF-0050-b61f01c8,rapidsai/cudf,20408,dtype_casting,closed,false,false,true,,,2000000|60000000|84423446721521749262699096325989021065,
GNF-0051-53841ba4,numba/numba,4713,not_numerical_failure,open,true,true,true,,33,20181209|691936123|855834064,"this applies to virtualenvs or per-user installations. @jampekka thanks for posting this workaround, from what you are suggesting, this might be an issue with the `icc_rt` wheel. Hi , @stuartarchibald is there any solution for this issue ? I saw the mentioned .so in the .ven"
GNF-0052-c0b07407,jax-ml/jax,36886,dtype_casting,open,false,true,true,,19,00000000|3190708988185955192,
GNF-0053-9d7e3d51,pytorch/pytorch,121226,nan_inf,open,false,false,true,,,2147483648,
GNF-0054-d98d7afd,rapidsai/cudf,2543,not_numerical_failure,closed,false,true,true,,156,00000000|1807b463c94e|20181209,
GNF-0055-6da9303a,numba/numba,2011,not_numerical_failure,open,false,false,false,,,,
GNF-0056-d1d1b50f,triton-lang/triton,6748,overflow_underflow,closed,false,false,true,,,2257846272|deadbeef,
GNF-0057-44d428bb,pytorch/pytorch,109074,precision_tolerance,open,true,true,true,https://github.com/openai/triton/pull/2185|https://github.com/pytorch/pytorch/pull/104103|https://github.com/pytorch/pytorch/pull/109159|https://github.com/pytorch/pytorch/pull/109454,1|68739,1642008|1711862033|1734232417|1957540|293d3b89d8bf8f966fe06d25ac1089a3739e20e3|29861779ceaa5f1c2b229f9e07e61bd56382dc6c,release GIL before entering C/C++ land (similar to other PyTorch operations). This would resolve the issue and allow other python threads in the application to recover from the situation. ### Error logs _No response_ ### Minified repro _No response_ ### Version
GNF-0058-03a80045,triton-lang/triton,189,nan_inf,open,false,false,true,,,daadaada,
GNF-0059-b86722cb,triton-lang/triton,7942,dtype_casting,open,true,false,true,,,22b535b359d6c144e0152060dc6fec78da07039e,"ssertion fails. However, simply forcing `num_stages` and `epilogue_subtile` be equal to 1 fixes the issue. It looks like this assertions can be avoided, yet still produce results I don't have enough knowledge to understand, why is this assertion needed or what those variabl"
GNF-0060-3368e422,jax-ml/jax,34455,overflow_underflow,open,true,true,true,https://github.com/data-apis/array-api-tests/pull/410,71,00000000|3768900196|3777152861|45cfe48f|4c155d5d040c|9223372036854775807|9223372036854775808,"10 lands; - a request to document this. This is an edge case of course, and the suggested workaround makes total sense; This hits users very rarely, but when it does, it's well in the ""gnashing of teeth"" territory of https://docs.jax.dev/en/latest/notebooks/Common_Gotchas_in_JAX."
GNF-0061-039345f1,pytorch/pytorch,156786,not_numerical_failure,open,true,false,true,,,178515d0ff6833c8e9221482b2a650ab31e00019,"'cuda:0') ``` ### Versions 2.8.0.dev20250623+cu126 cc @chauhang @penguinwu This may be caused by the reinplace optimization. Under inductor, index_copy is lowered to index_put, and the reinplace.py further optimizes it into index_put_. However, the reinplace logic does not ch"
GNF-0062-3cbef3ba,rapidsai/cudf,3554,nan_inf,closed,true,true,true,,1|4377,00000000|0a191017|1570457374000000|1571443386000000|1571960947000000|1572619470000000|1573934856000000|1574872842000000|3033103b4737|c4626a4d,"ks. Same issue with ""Cannot parse metadata"" on certain nested json avros Hi, is there any workaround available which can read nested json data in avro files with cuDF? Not to my knowledge, unless you can remove the lists and/or more-than-1-deep nested columns. Would it help if th"
GNF-0063-a5f90bd9,pytorch/pytorch,142388,not_numerical_failure,open,false,false,false,,,,
GNF-0064-6c864f3b,triton-lang/triton,211,overflow_underflow,closed,false,false,false,,,,
GNF-0065-e81a8790,numba/numba,10412,precision_tolerance,open,false,false,true,,,2508969906,
GNF-0066-103332ec,pytorch/pytorch,169146,dtype_casting,open,false,false,false,,,,
GNF-0067-0064f2a6,cupy/cupy,9823,nan_inf,closed,false,false,false,,,,
GNF-0068-abb65bf7,numba/numba,7324,dtype_casting,closed,true,true,false,,7330,,"(int)2, C, mutable, aligned>) ========= by thread (2,0,0) in block (0,0,0) ... ``` Resolved in #7330."
GNF-0069-88ed627b,cupy/cupy,9491,dtype_casting,open,false,true,true,,9504,f05ce6a7b64ad35253a95d6d02e7481a4f3e700d,
GNF-0070-0db7eac0,numba/numba,5820,nan_inf,closed,true,true,true,https://github.com/holoviz/datashader/pull/940,5556,651395153|8b308bdaab5c05b6b85f84fe776dda0546c268eb,"again! Since this seems to be blocking quite a few things downstream I'd like to get this fixed by 0.51.0RC1, hence I updated the Milestone. I'm looking at this now. @gmarkall I've done most of the patch, I can push up if you want to continue on that? https://github.com/stua"
GNF-0071-ca4885e3,numba/numba,4954,dtype_casting,closed,true,true,true,https://github.com/numba/numba/pull/4581,0|1|10|2|2655|3|4|5|5024|6,00000000|1000001|140039140933632|140040033838000|140736879492464|140736895493568|140737488320080|1e1531d|2e48486|320fe1d,"ate: Fri Jan 3 11:38:08 2020 -0600 Merge pull request #5024 from stuartarchibald/fix/5015 Propagate semantic constants ahead of static rewrites. ``` This exact commit was working earlier today - I switched branches a couple of times, did `git clean"
GNF-0072-9fba4417,rapidsai/cudf,7088,overflow_underflow,open,false,true,true,,6001|86,00000000|0a210106|14301866441110444032|1433bebda5|17758512297797920768|20191231|20200923|3374168267804635136|374168268e|402614e6acb25fad9230a6ab78e96e1c4d769230,
GNF-0073-9d1db2bf,pytorch/pytorch,182928,crash_compile,open,false,false,true,,,4194304,
GNF-0074-c730bac3,jax-ml/jax,30874,not_numerical_failure,open,false,false,true,,,00000000|1518704|189e927686|20250104|5590990|78484090,
GNF-0075-7d0d1d21,cupy/cupy,1427,dtype_casting,open,false,false,false,,,,
GNF-0076-60dcd2da,rapidsai/cudf,3797,not_numerical_failure,closed,false,false,false,,,,
GNF-0077-892468a4,triton-lang/triton,5065,dtype_casting,open,false,false,true,,,0d42b98024a8|336ee8d1|5a0f6973|f33fa5cc799d,
GNF-0078-20f6032e,numba/numba,10403,dtype_casting,open,false,true,false,,9464,,
GNF-0079-ec781ba7,triton-lang/triton,2398,overflow_underflow,closed,true,true,true,,0|1|10|11|12|13|14|15|16|17,0068a23f8|1241343545|1c4e980b97f8f8cb|2817286|2855683|49c6639a5|76ce4736721a,"ug in the MLIR parser to me. There isn't any Triton code in here. I wonder if this is fixed at LLVM HEAD and we're just on a bad LLVM revision? Oh, I take it back, it even says it: `MLIR Parser: custom op parser 'tt.reduce.return'` > Oh, I take it back, it even says it:"
GNF-0080-d86cbc25,rapidsai/cudf,22360,crash_compile,open,true,false,false,,,,"then sees a full-length column being placed into a half-length partition and raises. Workaround: pl.GPUEngine(executor=""in-memory"") # skips the streaming code path """""" from __future__ import annotations import numpy as np import polars as pl def make_lf(n: int) ->"
GNF-0081-5786ae97,jax-ml/jax,20568,dtype_casting,open,false,true,true,,20008,00039604|03544998|6466436|85cb16936c39e9b25326c21cfed19a28fc9ca643|9073486e,
GNF-0082-a3d486ce,cupy/cupy,4352,overflow_underflow,closed,true,true,false,,4362,,"ight, this callback module is new, so it's not included in the v8 releases. I will push a fix. btw forgot to ask, though this is irrelevant of my planned fix (as the callback doesn't work on Windows anyway): Any chance you know the path to an MSVC compiler installed on you"
GNF-0083-c671b943,cupy/cupy,2066,overflow_underflow,closed,false,false,false,,,,
GNF-0084-8e030aa9,pytorch/pytorch,173638,nan_inf,open,false,false,true,,,1354942321777344|139f0493b1c7f96034031367aea015e2|207964503|2b66cca5439d80cad4ca7d8d58e99db2|488677fbcd027516692b019191ad12d0,
GNF-0085-b4ddcf4b,rapidsai/cudf,406,dtype_casting,closed,true,false,true,,,2620287|49086806|49086854|49086900|49129606|4da582391276|51962c80|60244399999999|6024439999999984|6ffc2800,he user's type is used. Many (most?) decimal values are not exactly representable in a fixed-precision binary floating point representation. So I suspect a discrepancy between the algorithms used for parsing and converting a string decimal value to a binary floating point
GNF-0086-61dd6010,jax-ml/jax,10255,nan_inf,open,true,true,true,https://github.com/google/jax/pull/12138,565|9784,0000000e|0151563e|0165729e|0207806e|0362653e|0418297e|0462353e|0531598e|0722269e|1058523e,"using float64? The nondeterministic behavior may come from multithreading. Was this issue resolved? @Dinple I reran the colab repro. On Colab GPU, I get values which are fairly consistently large and similar (with some occasional `nan`, `inf`) ``` [0.0000000e+00 9.80543"
GNF-0087-b5fe68e9,pytorch/pytorch,182952,dtype_casting,open,true,false,true,,,123eb5128|af27734ed982b52a9f1be0f035ac91726fc697e4|d62f6a171,"`Cublaslt` for fp16 training workloads where this changes numerical behavior. ## Likely root cause `ROCmBackwardPassGuard` is honored on the rocBLAS path, where PyTorch passes `rocblas_gemm_flags_fp16_alt_impl`, but not on `gemm_internal_cublaslt<at::Half>()`. The [PyTorch num"
GNF-0088-bbebe2a7,cupy/cupy,8391,nan_inf,closed,false,true,false,,8430,,
GNF-0089-074c6391,cupy/cupy,8697,dtype_casting,open,false,false,false,,,,
GNF-0090-14f882db,rapidsai/cudf,21687,precision_tolerance,closed,true,true,false,https://github.com/rapidsai/dask-cuda/pull/1631,,,taken to verify documentation is incorrect** List any steps you have taken: **Suggested fix for documentation** Detail proposed changes to fix the documentation if you have any.
GNF-0091-f2cd4055,numba/numba,5640,dtype_casting,open,true,true,true,,1,2b6f351e5aeb|57ef1bfb4a1885c4309d1a4c706dab33|ae96876cb29242699bfb904c2614300a3b9922f8,"his shortly! I can reproduce the issue - marking as a bug. I think this will be tricky to fix - it seems like the gufunc broadcasting mechanism is limited to adding axes, and the kernel implementation assumes that the broadcasted array will be contiguous. I had a try in a"
GNF-0092-350f027f,triton-lang/triton,1670,nan_inf,closed,true,true,true,,1652,000000e|3271fa9f9f56a2568e1e8b2ca566743ca0e3b373|640f3c392184cd14291c1bca6a4795eb0f32a61a,"Functional Regression in Latest Main Hey, When trying to run this kernel here: https://github.com/ELS-RD/kernl/blob/3271fa9f9f56a2568e1e8b2ca566743ca0e3b373/src/kernl/implementations/attention_skinn"
GNF-0093-6cb318e0,jax-ml/jax,21708,not_numerical_failure,open,false,true,true,,1,00000000|1712274182|5b7088c3619e95eaa8e154765470ddb4d3859fa4,
GNF-0094-5130df2b,triton-lang/triton,6054,overflow_underflow,open,true,true,false,https://github.com/pytorch/pytorch/pull/146578|https://github.com/pytorch/pytorch/pull/147466,,,"ative difference: inf at index (0, 3) (up to 0.016 allowed) ``` Update： I found that the root cause of the above problem is that torchao uses the ties round to the nearest even digit strategy (https://github.com/pytorch/ao/blob/main/torchao/prototype/custom_fp_utils.py#L11)when"
GNF-0095-e46f2dc5,pytorch/pytorch,108670,precision_tolerance,open,false,false,true,,,0314954990728893e|152557373046875e|267168998718262|2679699895888916e|339687347412109|3779934405231415e|5367431640625e|537744763804085e|5469265807487318e|7620911598205566,
GNF-0096-cc3502f6,numba/numba,7095,precision_tolerance,closed,true,false,true,,,18825058a6e32bb92f3941f3c8d14a818f19279f|675365997,confirm that this issue still needs to be addressed. Closing this issue as it seems to be resolved. If this is not the case please re-open with a comment about any item that appears to be unresolved. Many thanks.
GNF-0097-60602b2b,rapidsai/cudf,18033,dtype_casting,open,true,false,true,,,81bb6f1ea46d633548b9bf534c93a28ba66909ea,he device function now iterates through the array of MaskedTypes # any operations are resolved through MaskedType's overloads res = devfunc(local) out_data[tid] = res.value out_mask[tid] = res.valid ``` Currently however creating a `cuda.local.array` of extensi
GNF-0098-a1e24269,numba/numba,2451,overflow_underflow,closed,true,true,true,https://github.com/numba/llvmlite/pull/318|https://github.com/numba/llvmlite/pull/330|https://github.com/numba/numba/pull/2627|https://github.com/numba/numba/pull/2780|https://github.com/numba/numba/pull/2852,0|1|10|11|12|13|14|15|16|17,00000000|000000000|000000000000|0000000000000000|0000000000000008|0000000000000010|0000000000000018|0000000000000025|000000000000002b|0000000000000030,"func_issues.TestParGUfuncIssues) ... Segmentation fault ``` Any pointers/inputs to resolve the test case failure and if change done in ""requirements.txt"" is correct ? Coincidentally, the Numba team also tried building Numba on ppc64le a few weeks ago and saw similar f"
GNF-0099-8e08d802,triton-lang/triton,7354,dtype_casting,open,true,false,true,,,000000e|09649e2239031deb47c4a053717594b7f2a1bbab|57088512,"Not sure if you meant to use num_warps=2, it will also prevent using mmv5. Anyway we can fix it next week Thanks! I found this error while autotuning, so the `num_warps=2` was random. Also note that warp specialization is only supported for sm100. So RTX 5090 won't work."
GNF-0100-a235b2dd,triton-lang/triton,2156,dtype_casting,open,true,true,true,https://github.com/pytorch/pytorch/pull/107722,0|1|10|11|2|2162|2184|3|4|5,0410652666ddcad54aa4c403276b478a36379b90|1465b573e8d8e4c707d579092001bcff0f1523ed|2eb4dd1c12ec0ac90df42d0d2d6efd3a|3a3b8ce1ccee7b51b8ee0d9a2d24dd3d|4eb4a6a7d8cbfc6396726518196e26d1|724d60b5a4f834234c6e922a7567679d|768fc1fcd98ecfc0892f8982b0bb009dd7bb11ea|9f47293d653582808bc0edd1c4db4e04|d164f74f9830239fbe04b1913b690fa0|e6216047b8b0aef1fe8da6ca8667a3ad0a016411,repro https://gist.github.com/shunting314/4eb4a6a7d8cbfc6396726518196e26d1 - status: fixed by #2162 - int8 -> float32 - repro https://gist.github.com/shunting314/d164f74f9830239fbe04b1913b690fa0 - status: fixed by #2184 - int8 -> bfloat16 - repro https:/
GNF-0101-ca19a99c,numba/numba,10353,not_numerical_failure,open,true,true,true,,1|10354,00000000|20250516|20250622|20250809|202508221413|20260107|20260221|466d4871d65e|8a1cae39,"ort LD_LIBRARY_PATH=/usr/lib/wsl/lib:$LD_LIBRARY_PATH ``` I am glad that you have found a workaround - for the benefit of others seeking solutions from reading this issue, I will add that I don't think the root cause is quite addressed here. > This is incorrect. This is most lik"
GNF-0102-5bd04adc,jax-ml/jax,23625,nan_inf,open,false,false,true,,,688b603d|7182817|ea9a8bef0483,
GNF-0103-f835a9bf,jax-ml/jax,4493,precision_tolerance,open,true,true,true,https://github.com/pytorch/pytorch/pull/50640,7365|7842,152d5c6e15e3485befa78e69cd340c32|20191121|24b42eed5ea4163ac5a3d4a8f8648545572933db|3d1fef140d7485f214dec83204e67479|43921911|48513577|4cb2bd0a3a4f804243e8134295079906|4d8d5e8c5cd8c08a7ec1a03393c3a7dc|50AE0418|574a844a6172b73b03ad2d2cf89d73389fea4522,"der files outside what it considers to be the standard system paths. I think your best fix here might be to write a small custom Bazel toolchain. As it happens, I show an example of how to do that in a comment in #7365. It's not that bad, you should be able to just modi"
GNF-0104-5a61566a,triton-lang/triton,7786,nan_inf,open,false,true,true,,0,000000e,
GNF-0105-bbfb9d59,rapidsai/cudf,11189,dtype_casting,open,false,false,true,,,00a220629|00a220630|100006687|16083716|35342145|46959990,
GNF-0106-69df058d,jax-ml/jax,37422,nan_inf,closed,true,true,false,,1|37457,,2 MiB Note: Reproduced on CPU fallback because CUDA-enabled jaxlib is not installed. ``` Fix in #37457
GNF-0107-36abe955,numba/numba,4247,not_numerical_failure,closed,true,true,true,,1,00000000|00001000|00002000|00003000|00004000|00005000|00006000|00007000|0000a000|0000b000,"pts) Figured out what's happening, but I can't reproduce it. The dead kernel is being caused by an out of bounds loop that isn't correctly erroring out. When I fixed the out of bounds loop, I've had 100% run success. The dead kernel happened ~40% of the time when nested twic"
