blind_id,repository,issue_number,title,previous_gold_primary_failure,v2_gold_primary_failure,source,changed
GNF-0155-6ad1750a,rapidsai/cudf,20484,[FEA]: Change default cudf-polars stream pool policy to `pool`,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0156-b72349bc,jax-ml/jax,17912,"AOT FLOPS Calculation Doesn't Work, HLO FLOPS Calculation Possibly Wrong",not_numerical_failure,precision_tolerance,adjudication_300,true
GNF-0159-f17202a4,pytorch/pytorch,182554,Release 2.12 validations checklist and cherry-picks,precision_tolerance,not_numerical_failure,adjudication_300,true
GNF-0162-297471a6,jax-ml/jax,32411,vjp3 + array refs produce incorrect gradient,not_numerical_failure,precision_tolerance,adjudication_300,true
GNF-0166-2dbedde8,rapidsai/cudf,8230,Remove `volatile` usage in `rolling_detail.cuh` where not required,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0167-13076e98,triton-lang/triton,8890,Binary `max` slow by 2.11× on size 1024,nan_inf,performance_only,adjudication_300,true
GNF-0171-20358422,jax-ml/jax,9591,Attempt to perform FFT requiring batched cufft plan of size > 4 GB causes coredump,dtype_casting,dtype_casting,adjudication_300,false
GNF-0174-e7b5adf3,numba/numba,9109,various seg faults on Debian arm64 with numba 0.57.1,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0175-551fdc3c,jax-ml/jax,37389,jax.custom_jvp produces non-deterministically wrong results (exact +2 offset) when called via vmap after processing other custom-pytree types in the same process,not_numerical_failure,precision_tolerance,adjudication_300,true
GNF-0176-0884dd43,rapidsai/cudf,28,Support for windows?,precision_tolerance,not_numerical_failure,adjudication_300,true
GNF-0178-7e3074ef,numba/numba,10116,[Feature request] Vulkan Target,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0179-0d2d153d,triton-lang/triton,8591,Proton buffer copyout is slower than it needs to be,performance_only,performance_only,adjudication_300,false
GNF-0183-0f27bf2e,triton-lang/triton,1535,Fast Math Support,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0184-5cb52bd8,rapidsai/cudf,16004,[QST] cudf and kvikio? (this is actually a question about implementing RDMA in another library),performance_only,not_numerical_failure,adjudication_300,true
GNF-0185-120804a6,rapidsai/cudf,20265,[BUG] Integer overflow in write_parquet for large tables.,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0186-6c92b3b9,cupy/cupy,5328,Unexpected error while assigning array element,overflow_underflow,crash_compile,adjudication_300,true
GNF-0187-2664d182,cupy/cupy,2742,Discussion on multi-GPU support for cuFFT and cuSOLVER,overflow_underflow,not_numerical_failure,adjudication_300,true
GNF-0189-2fcb9ca4,cupy/cupy,6229,Support more interpolation methods in `cupy.percentile` and `cupy.quantile`,nan_inf,nan_inf,adjudication_300,false
EGNF1000-0001-826741eb,pytorch/pytorch,175409,Choose rounding mode when casting to dtype,not_numerical_failure,dtype_casting,adjudication_300,true
EGNF1000-0009-39f6b041,jax-ml/jax,23007,Finite precision error calculations always 0 under JIT with bfloat16,precision_tolerance,dtype_casting,adjudication_300,true
EGNF1000-0010-2e91f962,cupy/cupy,8404,ndimage.correlate does not support `mode='grid-constant'`,dtype_casting,crash_compile,audit_119,true
EGNF1000-0011-4ba5974e,numba/numba,7063,Numba installation scripts exhibit a race condition during parallel builds,crash_compile,crash_compile,adjudication_300,false
EGNF1000-0012-0d4ce1cb,triton-lang/triton,1393,Stream-k matmul implementation very slow mostly because of if/else inside for loop,precision_tolerance,performance_only,adjudication_300,true
EGNF1000-0015-981238c6,jax-ml/jax,21403,jnp.cumsum is incorrect when sharding over summing axis on GPUs,not_numerical_failure,precision_tolerance,audit_119,true
EGNF1000-0017-d48c4d74,jax-ml/jax,23100,Passing `DeviceLocalLayout` to `jax.jit` causes incorrect outputs on GPU,not_numerical_failure,precision_tolerance,audit_119,true
EGNF1000-0019-cef0461a,jax-ml/jax,32978,BiCGStab Breakdown on GPU due to Order of Operations (not observed on CPU),not_numerical_failure,precision_tolerance,audit_119,true
EGNF1000-0020-b0121c48,jax-ml/jax,34696,Segmentation fault after upgrading to CUDA 13,crash_compile,crash_compile,adjudication_300,false
EGNF1000-0023-c9a13367,pytorch/pytorch,166789,[Flex Flash] Track down why different strided closures,precision_tolerance,precision_tolerance,adjudication_300,false
EGNF1000-0028-3ed20a82,rapidsai/cudf,16551,[BUG] Consider disabling managed memory in cudf.pandas on WSL2,performance_only,performance_only,adjudication_300,false
EGNF1000-0034-fbd5bace,rapidsai/cudf,5694,[BUG] cudf.read_csv doesn't detect byte order mark (BOM) at start of file.,dtype_casting,not_numerical_failure,adjudication_300,true
EGNF1000-0048-cae04f17,numba/numba,4647,help diagnosing a GPU performance issue,performance_only,performance_only,audit_119,false
EGNF1000-0060-80037eb7,jax-ml/jax,21900,Edge behavior in `jax.scipy.special.betainc`,nan_inf,precision_tolerance,audit_119,true
EGNF1000-0076-d51cfae4,jax-ml/jax,4115,Performance of index_update on GPU with complex double data type,precision_tolerance,performance_only,adjudication_300,true
EGNF1000-0077-f00ad38d,pytorch/pytorch,183391,"torch.fmin with CUDA out=int16 casts inputs before computation, producing incorrect result",precision_tolerance,dtype_casting,adjudication_300,true
EGNF1000-0083-fcb73630,apache/tvm,18895,[Bug]: Semantically equivalent ONNX graphs produce inconsistent ReduceMean results on CPU in TVM 0.9.0,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0095-ca4951e3,rapidsai/cudf,15224,[FEA] Parquet reader should use LogicalType rather than ConvertedType,precision_tolerance,not_numerical_failure,adjudication_300,true
EGNF1000-0102-eaef1724,jax-ml/jax,32641,[CUDA] jax.lax.linalg.eigh outputs nan for complex128 matrix,nan_inf,nan_inf,audit_119,false
EGNF1000-0108-d1ce6d4d,pytorch/pytorch,151541,DISABLED test_remove_noop_view_dtype_cuda (__main__.GPUTests),performance_only,dtype_casting,adjudication_300,true
EGNF1000-0114-aeea4c0d,jax-ml/jax,21299,Can't build jaxlib in GH200,crash_compile,crash_compile,adjudication_300,false
EGNF1000-0116-050cd426,jax-ml/jax,26684,Pallas `matmul` doesn't match `jnp.matmul` with `interpret=True`,dtype_casting,precision_tolerance,audit_119,true
EGNF1000-0119-0aec2777,jax-ml/jax,27796,xla_gpu_deterministic_ops=true breaks simple indexing in jax,not_numerical_failure,precision_tolerance,audit_119,true
EGNF1000-0120-ebe1e750,jax-ml/jax,28416,Unsupported conversion from f8E4M3FN to bf16 with rounding mode rtne,precision_tolerance,dtype_casting,adjudication_300,true
EGNF1000-0126-aff4b1ad,pytorch/pytorch,181807,torch.linspace with integer dtype produces inconsistent results on CPU and CUDA,precision_tolerance,dtype_casting,adjudication_300,true
EGNF1000-0137-aaa29350,rapidsai/cuml,5343,[BUG] `import torch` + `cuml.NearestNeighbors` leads to nondeterministic segfault during Python process exit,dtype_casting,precision_tolerance,adjudication_300,true
EGNF1000-0139-5e05ba2a,rapidsai/cuml,5838,[BUG]Unexpectedly High Forecast Values in Batch Prediction with cuML's Auto ARIMA,dtype_casting,dtype_casting,adjudication_300,false
EGNF1000-0150-be49dbc5,apache/tvm,14947,[Bug] Wrong Result by nn.Dense and relay.Constant with TensorRT,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0151-750fdaaa,apache/tvm,18899,[Bug]: Semantically equivalent ONNX graphs produce inconsistent Sin and Tan results on CPU in TVM 0.9.0,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0152-fa2c68a4,apache/tvm,18900,[Bug]: Semantically equivalent ONNX graphs produce inconsistent Add results on CPU in TVM 0.9.0,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0153-ba831728,apache/tvm,18901,[Bug]: Semantically equivalent ONNX graphs produce inconsistent Sin/ReduceSum results on CPU in TVM 0.9.0,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0154-b1a349ae,apache/tvm,18902,[Bug] :Semantically equivalent ONNX graphs produce inconsistent concat outputs on CPU in TVM 0.9.0,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0158-2c5a0cd1,jax-ml/jax,18535,Test failures: numerical error in`tests/qdwh_test.py::QdwhTest::testQdwhWithOnRankDeficientInput5`,crash_compile,precision_tolerance,adjudication_300,true
EGNF1000-0162-d35b43dd,jax-ml/jax,23626,"jax.lax.linalg.lu returns LU factorisation for singular matrix, jax.scipy.linalg.lu_solve silently returns spurious result in 32bit",nan_inf,precision_tolerance,audit_119,true
EGNF1000-0166-b67c222e,jax-ml/jax,27349,Gamma variate gradients don't seem to pass check_grads,crash_compile,precision_tolerance,adjudication_300,true
EGNF1000-0173-0cac6d02,jax-ml/jax,6685,Caching bug for jax.experimental.callback.rewrite for `jit` call inside `custom_gradient`,precision_tolerance,precision_tolerance,adjudication_300,false
EGNF1000-0181-7c505f14,pytorch/pytorch,175928,[release 2.11][vllm] Language Models Tests (Extra Standard) 1 test_models[float-jason9693/Qwen2.5-1.5B-apeach],dtype_casting,dtype_casting,adjudication_300,false
EGNF1000-0182-2ea1e93e,pytorch/pytorch,180026,DISABLED test_combo_kernel_yz_overflow (__main__.ComboKernelTestsPerSubkernelBlocks),overflow_underflow,overflow_underflow,adjudication_300,false
EGNF1000-0185-b933d61a,pytorch/pytorch,56440,Raise exception when torch.clamp min value underflows the input tensor's dtype,overflow_underflow,overflow_underflow,adjudication_300,false
EGNF1000-0195-fc65d4ee,triton-lang/triton,1756,triton always reports >0 register spills for kernels using sin/cos,performance_only,performance_only,adjudication_300,false
EGNF1000-0196-7d702a78,apache/tvm,13204,[Bug] MetaSchedule produce incorrect result when TensorCore is used,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0197-fc1c905d,apache/tvm,19524,[Bug][Relax] `conv2d_transpose` produces wrong results on CUDA when `output_padding > 0`,precision_tolerance,precision_tolerance,audit_119,false
EGNF1000-0198-b2215873,apache/tvm,8296,[RFC][Tracking Issue][AMP] Tracking Issue for Mixed Precision Pass,precision_tolerance,dtype_casting,audit_119,true
EGNF1000-0203-c9a78d27,jax-ml/jax,22291,"Exception has occurred: FloatingPointError invalid value (nan) encountered in jit(convert_element_type). Because jax_config.debug_nans.value and/or config.jax_debug_infs is set, the de-optimized function (i.e., the function as if the `jit` decorator were removed) was called in an attempt to get a more precise error message. However, the de-optimized function did not produce invalid values during its execution.",nan_inf,nan_inf,audit_119,false
EGNF1000-0205-3beb1976,jax-ml/jax,24209,Support new dot Precision API in Pallas,not_numerical_failure,not_numerical_failure,audit_119,false
EGNF1000-0208-5fa50305,jax-ml/jax,36008,cudnn dot_product_attention backward drops manual sharding axes inside shard_map,dtype_casting,crash_compile,audit_119,true
EGNF1000-0209-4f218aa6,pytorch/pytorch,143821,triton.codegen_upcast_to_fp32 breaks bitcast/bitwise ops,dtype_casting,dtype_casting,adjudication_300,false
EGNF1000-0211-58897d8f,pytorch/pytorch,163462,GroupedMM triton template IMAs on B200,not_numerical_failure,not_numerical_failure,adjudication_300,false
EGNF1000-0213-80c94e48,rapidsai/cuml,1196,[BUG] [DEBT] THROW macro is unsafe,overflow_underflow,overflow_underflow,adjudication_300,false
EGNF1000-0218-13388562,pytorch/pytorch,182021,DISABLED test_generic_fp32_precision_propagates_to_cudnn_conv_rnn (__main__.TestFP32PrecisionFlags),precision_tolerance,precision_tolerance,adjudication_300,false
EGNF1000-0220-e3c838e9,rapidsai/cuml,2819,[TASK] Increase parallelism or sparse normalization prims,performance_only,performance_only,adjudication_300,false
EGNF1000-0222-f04b13e7,rapidsai/cuml,7341,[BUG]DBSCAN inconsistent results / hangs multiple GPUS,precision_tolerance,precision_tolerance,adjudication_300,false
EGNF1000-0225-164bae54,cupy/cupy,5846,RuntimeError: radix_sort: failed on 2nd step: cudaErrorInvalidValue: invalid argument,crash_compile,crash_compile,audit_119,false
EGNF1000-0227-0d31e64e,jax-ml/jax,37412,jaxlib: malformed pickled PyTreeDef can crash flatten_up_to,overflow_underflow,crash_compile,adjudication_300,true
EGNF1000-0229-40672469,pytorch/pytorch,162464,DISABLED test_return_aux_deprecation_warnings_cuda_float16 (__main__.TestFlexAttentionCUDA),performance_only,dtype_casting,adjudication_300,true
EGNF1000-0234-1b786da9,apache/tvm,18003,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend,crash_compile,precision_tolerance,audit_119,true
EGNF1000-0235-d348a4b1,cupy/cupy,8395,cupy-cuda11x==13.2.0 fails to detect GPU,crash_compile,crash_compile,audit_119,false
EGNF1000-0237-c462c7fb,jax-ml/jax,25846,'+ptx85' is not a recognized feature for this target (ignoring feature) ==> this issue occurs again,not_numerical_failure,crash_compile,audit_119,true
EGNF1000-0240-3f72ab7f,rapidsai/cuml,4359,[BUG] double free error on CentOS when import after torchvision.,not_numerical_failure,crash_compile,adjudication_300,true
EGNF1000-0242-0fabb4c9,rapidsai/cuml,6018,"[BUG] Wrong cuda version is derived, causing ""No module named 'pynvjitlink'""",precision_tolerance,precision_tolerance,adjudication_300,false
EGNF1000-0243-c438c027,rapidsai/cuml,7020,[BUG] Static build of CUML fails with cuvs::cuvs missing target,performance_only,crash_compile,adjudication_300,true
EGNF1000-0244-f9fda636,rapidsai/cuml,7294,[FEA] Implement `adjusted_mutual_info_score`,performance_only,not_numerical_failure,adjudication_300,true
EGNF1000-0248-2c868e0f,apache/tvm,18155,[Bug] Error occurred during tvm compilation,crash_compile,crash_compile,audit_119,false
EGNF1000-0249-b42d3cba,jax-ml/jax,20948,Performance Issue Report: JAX Slower Than Autograd on GPU and CPU Setups,performance_only,performance_only,audit_119,false
EGNF1000-0250-384bc5bd,rapidsai/cudf,21082,[BUG] `numeric_only=True` setting in `.count()` is ineffective,dtype_casting,dtype_casting,adjudication_300,false
EGNF1000-0251-e6604485,rapidsai/cuml,3577,[FEA] In-place k-select for sparse knn on string matching,precision_tolerance,not_numerical_failure,adjudication_300,true
EGNF1000-0253-4e82cb3f,triton-lang/triton,2200,feat(examples): implement vllm in triton,precision_tolerance,precision_tolerance,adjudication_300,false
EGNF1000-0254-b4436a76,triton-lang/triton,237,Segfault when using blocksparse matmul in attention,crash_compile,crash_compile,adjudication_300,false
EGNF1000-0257-f1fa726d,apache/tvm,6486,TVM v0.7 Release Note Candidate,dtype_casting,not_numerical_failure,audit_119,true
EGNF1000-0258-28bff1f9,cupy/cupy,8028,CUPY sosfilt_zi some SOS coefficients are not supported2,nan_inf,not_numerical_failure,audit_119,true
EGNF1000-0259-82d3afb2,cupy/cupy,8342,cupy do not suport two axis operation?,crash_compile,crash_compile,audit_119,false
EGNF1000-0260-43ecbb7d,cupy/cupy,9103,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim',crash_compile,crash_compile,audit_119,false
EGNF1000-0262-2a597689,numba/numba,5706,Please add support for Metal as GPU accelerator,performance_only,not_numerical_failure,adjudication_300,true
EGNF1000-0266-7b0a0d67,cupy/cupy,5208,Compilation Error,crash_compile,crash_compile,audit_119,false
EGNF1000-0267-487d92a1,cupy/cupy,8045,CUDA_ERROR_INVALID_SOURCE: device kernel image is invalid,crash_compile,crash_compile,audit_119,false
