blind_id,repository,issue_number,title,weak_label,annotator_a,annotator_b,gold_label,gold_evidence_quote,why_difficult
GNF-0020-322072f7,cupy/cupy,8260,Runtime compilation failed - CUDA synchronization primitives are only supported for sm_70 and up,crash_compile,crash_compile,crash_compile,dtype_casting,/home/lucas/mambaforge/envs/scipy-dev/lib/python3.11/site-packages/cupy/cuda/compiler.py:484: in _compile_module_with_cache return _compile_with_cache_cuda( arch = None backend ...,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0023-93595bc9,cupy/cupy,9907,`cupyx.scipy.special.erfcx` not working,dtype_casting,dtype_casting,crash_compile,crash_compile,guess_routine TypeError: Wrong type ((<class 'numpy,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0027-933bf558,cupy/cupy,7933,`cupy.testing.for*dtypes()` seem to turn skipped tests into passed,precision_tolerance,not_numerical_failure,not_numerical_failure,dtype_casting,`cupy.testing.for*dtypes()` seem to turn skipped tests into passed,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0029-5f61e128,rapidsai/cudf,16029,"[QST] TypeError: Argument 'real' has incorrect type (expected numpy.ndarray, got ndarray)",crash_compile,precision_tolerance,crash_compile,not_numerical_failure,[QST] TypeError: Argument 'real' has incorrect type (expected numpy,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0030-a4314978,pytorch/pytorch,181146,torch.compile: autograd.Function.apply with aliased inputs drops per-slot gradient contributions,nan_inf,precision_tolerance,nan_inf,nan_inf,"rifted, and a downstream `MulBackward0` eventually produced NaN","Prefer nan_inf when non-finite values are the observed symptom; prefer precision_tolerance when NaN/Inf appears only in tests, masks, or tolerance text."
GNF-0031-dff9514d,numba/numba,3203,numba.cuda.detect() feature request,precision_tolerance,not_numerical_failure,performance_only,dtype_casting,TCC Performance: Host to Device; Device to Host; Host to Host; Single-precision float; Double-precision float; Fron Nsight Monitor: WDDM TDR Delay; WDDM TDR En,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0032-76c19db8,cupy/cupy,9015,Casting an array to a byteswapped dtype does a view not a cast,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,Casting an array to a byteswapped dtype does a view not a cast ### Description When casting a cupy array to a [byteswapped](https://numpy,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0033-1f6d8975,triton-lang/triton,10176,"When upcasting bf16 to fp32 inside the kernel, triton uses TF32 path despite I pass input_precision=""ieee""",precision_tolerance,precision_tolerance,dtype_casting,dtype_casting,"float32)`, looks like triton will fallback to TF32 precision","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0034-77cd048a,triton-lang/triton,1302,RuntimeError: Triton Error [CUDA]: an illegal memory access was encountered,needs_review,dtype_casting,crash_compile,dtype_casting,"full((BLOCK_HEIGHT, K_DIM), value=1, dtype=tl",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0035-1d6522c2,pytorch/pytorch,166131,Return a view from tensor(requires_grad=False) in autograd function may cause incorrect requires_grad attribute.,crash_compile,precision_tolerance,not_numerical_failure,precision_tolerance,view from tensor(requires_grad=False) in autograd function may cause incorrect requires_grad attribute,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0036-b3e8f03a,jax-ml/jax,37001,Auto sharding constraint fails on multi-process jobs,dtype_casting,dtype_casting,crash_compile,dtype_casting,"ll( send_contiguous->opaque(), recv_contiguous->opaque(), ToNcclCount(dtype, count), nccl_dtype, comm_, AsCudaStream(stream)) failed: unhandled system erro",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0037-7af727c1,rapidsai/cudf,16578,[BUG] compute-sanitizer failure on `gtests/PARQUET_TEST` preventing its use in code reading parquet files,overflow_underflow,crash_compile,crash_compile,not_numerical_failure,"ning the `compute-sanitizer` tool on code invoking the parquet reader fails, this led me to try the `PARQUET_TESTS` unit tests which fail very early",Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0038-ba034dce,triton-lang/triton,2218,Segfault in TTIR when doing convert s8->f32 + dot,crash_compile,dtype_casting,crash_compile,dtype_casting,The issue can be solved by setting `int minBitwidth = 0;` (in line https://github.com/openai/triton/blob/17d633a64e43337037d2e873b029fab92422762f/lib/Dialect/TritonGPU/Transform...,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0039-1a4af8a4,cupy/cupy,9777,CuPy v14.0.0+ is buggy in a conda env,needs_review,dtype_casting,not_numerical_failure,dtype_casting,python File /opt/conda/lib/python3.12/site-packages/cupy/__init__.py:18 14 _environment._preload_library('cutensor') # NOQA 17 try: ---> 18 from cupy import _core # NOQA 19 exce...,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0040-5f558cf9,pytorch/pytorch,180126,DISABLED test_triton_kernel_dtype_view_cfg_cpp_wrapper (__main__.KernelTests),needs_review,precision_tolerance,not_numerical_failure,dtype_casting,DISABLED test_triton_kernel_dtype_view_cfg_cpp_wrapper (__main__.KernelTests),"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0041-2e844e08,numba/numba,9814,`snt_check()` appears not to handle core count correctly,crash_compile,precision_tolerance,not_numerical_failure,dtype_casting,__Installed Packages__ Package Version ---------------------------- ----------- absl-py 2.1.0 alembic 1.13.3 astunparse 1.6.3 certifi 2024.8.30 charset-normalizer 3.4.0 colorlog...,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0042-938c1ba1,jax-ml/jax,36766,`jnp.searchsorted` fails with symbolic shapes on the sorted dimension during `jax.export`,overflow_underflow,overflow_underflow,crash_compile,overflow_underflow,The root cause is an eager overflow check in `SearchSorted,Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0043-75ac4cd1,numba/numba,10325,test failures related to tolerance (corruption / refcounting),nan_inf,nan_inf,needs_review,nan_inf,Max relative difference among violations: inf ACTUAL: array([[[ 70,Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0044-58d8c7b3,rapidsai/cudf,13233,[DOC] please update for Cuda 12xx,crash_compile,not_numerical_failure,precision_tolerance,not_numerical_failure,s you're facing? I'm going to do my best to guess what might be going wrong,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0046-21fccfc5,jax-ml/jax,3411,Initial benchmarking of jax on some simple kernels,precision_tolerance,performance_only,performance_only,dtype_casting,precision <class 'numpy.float64'> (64bit vs 64bit) custom force time: 0.0011749029159545898 custom force jvp time: 0.0010498356819152832 testing jit backend: None jax time: 0.11...,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0048-07821d1f,cupy/cupy,2248,floating point errors,overflow_underflow,overflow_underflow,needs_review,overflow_underflow,floating point errors Odd discrepancies for simple maths without overflow potential where there shouldn't really be disagreement ```bash nvidia-docker ru,Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0049-80ab540f,cupy/cupy,6661,poly1d with int64 arrays -- unexpected output,precision_tolerance,precision_tolerance,overflow_underflow,overflow_underflow,ic Thanks for your reporting! This bug looks to be caused by an int64 overflow,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0050-b61f01c8,rapidsai/cudf,20408,[BUG]: `IndexError` in `_decompose` when running pdsh query 17 with decimal data,precision_tolerance,dtype_casting,crash_compile,dtype_casting,"DECIMAL128: 27>)>, 'round', (2, 'half_to_even'), Cast(<DataType(polars=Decimal(precision=None, scale=6), plc=<type_id","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0051-53841ba4,numba/numba,4713,Numba is not detecting the icc_rt libraries when installed with pip,crash_compile,performance_only,not_numerical_failure,not_numerical_failure,org/numba-doc/latest/user/performance-tips,Use performance_only when the issue is primarily speed/throughput but still discusses numerical kernels; use not_numerical_failure for search false positives with no correctness/performance numerical task.
GNF-0052-c0b07407,jax-ml/jax,36886,shard_map + grad produces unexpected results on multi-device,precision_tolerance,precision_tolerance,dtype_casting,dtype_casting,"import os os.environ[""JAX_PLATFORMS""] = ""cpu"" os.environ[""XLA_FLAGS""] = ""--xla_force_host_platform_device_count=2"" import jax import jax.numpy as jnp from jax.sharding import Me...","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0053-9d7e3d51,pytorch/pytorch,121226,input_data.to produce inconsistent results,nan_inf,precision_tolerance,nan_inf,nan_inf,ibe the bug The initial vector is a float tensor containing NaN,"Prefer nan_inf when non-finite values are the observed symptom; prefer precision_tolerance when NaN/Inf appears only in tests, masks, or tolerance text."
GNF-0054-d98d7afd,rapidsai/cudf,2543,"[BUG] dask_cudf, groupby mean is numerically instable",crash_compile,precision_tolerance,precision_tolerance,not_numerical_failure,truncated] I believe this is just due to the nature of floating point precision,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0055-6da9303a,numba/numba,2011,improve cuda gufunc: multiple output arguments,dtype_casting,not_numerical_failure,needs_review,not_numerical_failure,improve cuda gufunc: multiple output arguments,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0057-44d428bb,pytorch/pytorch,109074,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training,crash_compile,performance_only,crash_compile,precision_tolerance,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training triaged|oncall: pt2|module: inductor|upstream triton...,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0058-03a80045,triton-lang/triton,189,Low RTX20 tensor core performance,nan_inf,performance_only,nan_inf,nan_inf,909891 NaN 1 768,Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0061-039345f1,pytorch/pytorch,156786,[inductor] [cpu] `torch.nn.Embedding-torch.index_copy` outputs inconsistent results on cpu inductor,precision_tolerance,precision_tolerance,precision_tolerance,not_numerical_failure,index_copy` outputs inconsistent results on cpu inductor ### 🐛 Describe the bug **symptom**: `torch,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0062-3cbef3ba,rapidsai/cudf,3554,cuDF failure when reading Avro files (Cannot parse metadata),nan_inf,nan_inf,crash_compile,nan_inf,"-- | -- | -- | -- | -- | -- | -- | -- None | None | None | NaN | None | {'make': None, 'model': None, 'ua': None, 'ver",Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0063-a5f90bd9,pytorch/pytorch,142388,User-defined way to hook into Inductor autotuning (+ custom op),needs_review,not_numerical_failure,performance_only,not_numerical_failure,User-defined way to hook into Inductor autotuning (+ custom op),Use performance_only when the issue is primarily speed/throughput but still discusses numerical kernels; use not_numerical_failure for search false positives with no correctness/performance numerical task.
GNF-0064-6c864f3b,triton-lang/triton,211,Comparison with @jax.jit?,needs_review,performance_only,performance_only,overflow_underflow,"@jax.jit def jax_softmax(x): """"""Compute row-wise softmax of X using native pytorch We subtract the maximum element in order to avoid overflows.",Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0066-103332ec,pytorch/pytorch,169146,bad numerics for variable length attention with cudnn,precision_tolerance,precision_tolerance,dtype_casting,dtype_casting,"0354e-03]], device='cuda:0', dtype=torch","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0067-0064f2a6,cupy/cupy,9823,Inconsistency between CuPy and NumPy's 1D linear interpolation,nan_inf,precision_tolerance,nan_inf,nan_inf,interp) when `inf` values are present (see the example below),"Prefer nan_inf when non-finite values are the observed symptom; prefer precision_tolerance when NaN/Inf appears only in tests, masks, or tolerance text."
GNF-0068-abb65bf7,numba/numba,7324,fast_matmul in docs example not working properly - returning wrong results,dtype_casting,precision_tolerance,dtype_casting,dtype_casting,"python import numpy as np from numba import cuda, float32 # Controls threads per block and shared memory usage.","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0069-88ed627b,cupy/cupy,9491,Sparse matrix (cupyx.scipy.sparse.csr_matrix) attribute 'device' shows not implemented error,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,"array([0, 0, 1, 2, 2, 2], dtype=cp",Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0070-0db7eac0,numba/numba,5820,Add back support for atomics that always return the non-NaN values,nan_inf,not_numerical_failure,nan_inf,nan_inf,Add back support for atomics that always return the non-NaN values,Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0071-ca4885e3,numba/numba,4954,Running only CUDA tests results in strange crashes / failures,crash_compile,crash_compile,crash_compile,dtype_casting,test_broadcast (numba.cuda.tests.cudadrv.test_cuda_array_slicing.CudaArraySetting) ...,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0073-9d1db2bf,pytorch/pytorch,182928,[Inductor] Filter extremely bad triton configs by device information for triton heuristics,dtype_casting,dtype_casting,performance_only,crash_compile,"empty_strided(size=[16, 4096, 1024], stride=[4194304, 1024, 1], dtype=torch",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0074-c730bac3,jax-ml/jax,30874,Conda Installation with Cuda,overflow_underflow,not_numerical_failure,crash_compile,not_numerical_failure,Conda Installation with Cuda,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0075-7d0d1d21,cupy/cupy,1427,cupy.random ignores size option if it is a scalar on GPU,needs_review,needs_review,precision_tolerance,dtype_casting,cupy.random ignores size option if it is a scalar on GPU cat:bug `cupy.random.randint` ignores `size` option if it is a scalar of `cupy.ndarray`.,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0076-60dcd2da,rapidsai/cudf,3797,[BUG] Python avro unit test sporadically segfaults,crash_compile,precision_tolerance,crash_compile,not_numerical_failure,can see the problem: it seems that the kernel is being called with an incorrect number of blocks (device_buffer,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0077-892468a4,triton-lang/triton,5065,triton 3.0.0 got FP8 GEMM precision issue with CUDA sm89,precision_tolerance,precision_tolerance,dtype_casting,dtype_casting,0 got FP8 GEMM precision issue with CUDA sm89 ## The problem FP8 GEMM result not right: ![image](https:/,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0078-20f6032e,numba/numba,10403,The np.bitwise_count() function fails,dtype_casting,dtype_casting,crash_compile,dtype_casting,"array( [ [0, 0, 0, 0], [1, 1, 0, 2], ], dtype=np",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0079-ec781ba7,triton-lang/triton,2398,`realloc(): invalid pointer` when parsing when Triton is built with clang,crash_compile,overflow_underflow,crash_compile,overflow_underflow,==================== ==2817286==ERROR: AddressSanitizer: stack-buffer-overflow on address 0x7ffe6bdfb750 at pc 0x559e3d547a39 bp 0x7ffe6bdfadf0 sp 0x7ffe6bdfa,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0080-d86cbc25,rapidsai/cudf,22360,[BUG] cudf-polars streaming-mode broadcast bug,dtype_casting,dtype_casting,precision_tolerance,crash_compile,"integers(0, 100, size=n, dtype=np","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0081-5786ae97,jax-ml/jax,20568,Pallas Tutorial outputs RESOURCE_EXHAUSTED (Reopen),dtype_casting,dtype_casting,crash_compile,dtype_casting,"dtype), grid=(2, 2), in_specs=[pl",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0082-a3d486ce,cupy/cupy,4352,import cupy 9.0.0a2 doesn't work on Windows 10,overflow_underflow,overflow_underflow,not_numerical_failure,overflow_underflow,"is a **request for support in using CuPy**, please post it on [Stack Overflow](https://stackoverflow",Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0083-c671b943,cupy/cupy,2066,Should introduce NumPy fallback mode,performance_only,not_numerical_failure,performance_only,overflow_underflow,"This would avoid tons of questions on Stack Overflow or here such as ""why is my code not at all speeded up?"" I am interested in implementing this feature during GSoC'19 period.",Use performance_only when the issue is primarily speed/throughput but still discusses numerical kernels; use not_numerical_failure for search false positives with no correctness/performance numerical task.
GNF-0085-b4ddcf4b,rapidsai/cudf,406,cuDF printing mismatches formatting precision of Pandas DF printing,precision_tolerance,not_numerical_failure,not_numerical_failure,dtype_casting,cuDF printing mismatches formatting precision of Pandas DF printing I'm reading in a set of Latitude and Longitude coordinate,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0086-61dd6010,jax-ml/jax,10255,jax.scipy.sparse.linalg.cg inconsistent results between runs,nan_inf,precision_tolerance,nan_inf,nan_inf,Sometimes even output a nan matrix,"Prefer nan_inf when non-finite values are the observed symptom; prefer precision_tolerance when NaN/Inf appears only in tests, masks, or tolerance text."
GNF-0087-b5fe68e9,pytorch/pytorch,182952,"hipBLASLt path ignores backward fp16_alt_impl for Half GEMMs, causing FTZ in backward and silent training divergence on gfx90a",overflow_underflow,overflow_underflow,overflow_underflow,dtype_casting,"hipBLASLt path ignores backward fp16_alt_impl for Half GEMMs, causing FTZ in backward and silent training divergence on gfx90a ### 🐛 Describe the bug # S","Prefer overflow_underflow when the observed failure is range blow-up, saturation, integer wraparound, or underflow; retain dtype_casting as a cause when narrowing/promotion explains it."
GNF-0089-074c6391,cupy/cupy,8697,Creating Array with Pinned Memory fails,needs_review,dtype_casting,crash_compile,dtype_casting,`TypeError: Cannot convert cupy.cuda.pinned_memory.PinnedMemoryPointer to cupy.cuda.memory.MemoryPointer` ### To Reproduce,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0090-14f882db,rapidsai/cudf,21687,[DOC]: Update dask-cudf for dask-cuda jit-unspilling deprecation.,needs_review,not_numerical_failure,precision_tolerance,precision_tolerance,## Report incorrect documentation **Location of incorrect documentation** https://docs,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0091-f2cd4055,numba/numba,5640,guvectorize-CUDA broadcast fail,precision_tolerance,dtype_casting,crash_compile,dtype_casting,guvectorize-CUDA broadcast fail,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0092-350f027f,triton-lang/triton,1670,Functional Regression in Latest Main,crash_compile,nan_inf,needs_review,nan_inf,"where(M == 0, float(""-inf""), p) p = p",Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0093-6cb318e0,jax-ml/jax,21708,"ndarray.at.set(mode=""drop"") gives incorrect value for the last element in the array",needs_review,precision_tolerance,precision_tolerance,not_numerical_failure,"set(mode=""drop"") gives incorrect value for the last element in the array ### Description Given the following tes",Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0094-5130df2b,triton-lang/triton,6054,Microscaling dtypes in triton?,needs_review,not_numerical_failure,needs_review,overflow_underflow,"Microscaling dtypes in triton? Hi folks, wondering if there are any plans to add top-level dtypes for MX (https://www.opencompute.org/documents/ocp-microscaling-formats-mx-v1-0-...",Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0095-e46f2dc5,pytorch/pytorch,108670,torch.jit.script produces incorrect gradients,needs_review,precision_tolerance,precision_tolerance,precision_tolerance,script produces incorrect gradients ### 🐛 Describe the bug I made a custom layer-norm implementation for,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0096-cc3502f6,numba/numba,7095,numba build fails with TBB,needs_review,crash_compile,crash_compile,precision_tolerance,numba build fails with TBB question Numba doesn't build with intel's TBB python setup.py install produces the following: ``` Using Intel TBB from: /opt/intel/oneapi/tbb/2021.2.0...,Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0097-60602b2b,rapidsai/cudf,18033,[FEA] Should `Rolling.apply` use pure numba rather than jitify?,dtype_casting,not_numerical_failure,crash_compile,dtype_casting,"The above seems to get me the correct result in a few test cases locally, of course the real impl would need more to account for `min_periods`, other dtypes, and more.",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0098-a1e24269,numba/numba,2451,test case failure ( segmentation fault ) in ppc64le,needs_review,performance_only,crash_compile,overflow_underflow,"test case failure ( segmentation fault ) in ppc64le Hi All, I was trying to build numba on ubuntu/ppc64le. I have installed the required dependencies - llvmlite, numpy, funcsigs...",Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0099-8e08d802,triton-lang/triton,7354,Pipeline failed while executing TritonGPUAllocateWarpGroups,precision_tolerance,dtype_casting,crash_compile,dtype_casting,"empty([m, n], dtype=torch","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0100-a235b2dd,triton-lang/triton,2156,type conversion before tl.dot fails compilation,crash_compile,dtype_casting,crash_compile,dtype_casting,"loc(""/tmp/torchinductor_shunting/bm/cbm7qsh5esh6xdkdddmv7l2ilel4kdbfwgy2luolzmme62njagrb.py"":64:17): error: LLVM Translation failed for operation: builtin.unrealized_conversion_...",Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
