blind_id,repository,issue_number,title,existing_gold_primary_failure,adjudicated_primary_failure,person_a_primary_failure,person_b_primary_failure,adjudication_reason
EGNF1000-0429-420d139f,jax-ml/jax,18573,"On GPU, jnp.min incorrectly returns 0 when reducing multiple axes over FP16 array",dtype_casting,precision_tolerance,dtype_casting,dtype_casting,The visible failure is an incorrect min reduction result on an FP16 array.
EGNF1000-0479-4e142639,jax-ml/jax,26227,"jax.ops.segment_sum is 100x slower when segment_ids are sorted, but only for float16",dtype_casting,performance_only,nan_inf,nan_inf,The dominant complaint is that segment_sum is 100x slower for float16.
EGNF1000-0485-15133c86,jax-ml/jax,36691,jax.export.deserialize().call() fails with internal XLA error for shard_map across 2x2 mesh,dtype_casting,crash_compile,nan_inf,nan_inf,The report describes an internal XLA error during exported shard_map execution.
EGNF1000-0486-f74e7ee7,jax-ml/jax,37029,TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128,dtype_casting,crash_compile,nan_inf,nan_inf,The issue is explicitly a TPU crash.
EGNF1000-0258-28bff1f9,cupy/cupy,8028,CUPY sosfilt_zi some SOS coefficients are not supported2,nan_inf,not_numerical_failure,nan_inf,nan_inf,The report is about unsupported SOS coefficients rather than a clear numeric failure.
EGNF1000-0368-154dcf61,cupy/cupy,8560,Implement cupy.ndarray == None and cupy.ndarray != None,nan_inf,not_numerical_failure,nan_inf,nan_inf,This is a feature/API request for comparisons with None.
EGNF1000-0605-75581e29,cupy/cupy,9005,`cp.inf` still cannot be fused with cp.where and cp.newaxis,nan_inf,crash_compile,nan_inf,nan_inf,"The issue is that inf/nan constants cannot be fused, indicating a fusion execution failure."
EGNF1000-0060-80037eb7,jax-ml/jax,21900,Edge behavior in `jax.scipy.special.betainc`,nan_inf,precision_tolerance,nan_inf,nan_inf,The report concerns edge-case numerical behavior in betainc.
EGNF1000-0162-d35b43dd,jax-ml/jax,23626,"jax.lax.linalg.lu returns LU factorisation for singular matrix, jax.scipy.linalg.lu_solve silently returns spurious result in 32bit",nan_inf,precision_tolerance,nan_inf,nan_inf,The report describes silently spurious results for a singular matrix.
EGNF1000-0282-ec5cb10f,jax-ml/jax,22682,jax.random.choice can return entries with zero probability,nan_inf,precision_tolerance,nan_inf,nan_inf,The issue is a wrong random-choice result due to cumulative-sum behavior.
EGNF1000-0305-b855b138,jax-ml/jax,19573,log1p results are incorrect on complex inputs with large absolute value,nan_inf,precision_tolerance,nan_inf,nan_inf,The visible symptom is incorrect log1p results on complex inputs.
EGNF1000-0311-b121247c,jax-ml/jax,24114,[Regression] Gradient explodes after upgrading to JAX 0.4.33 from 0.4.30,nan_inf,precision_tolerance,nan_inf,nan_inf,"The main symptom is unstable/exploding gradients after an upgrade, not explicit NaN/Inf."
EGNF1000-0314-db86d5ee,jax-ml/jax,24955,`debug_nans` error always says the de-optimized function did not produce NaNs,nan_inf,not_numerical_failure,nan_inf,nan_inf,The issue concerns debug_nans error messaging rather than a numeric computation failure.
EGNF1000-0381-a2f7c534,jax-ml/jax,19751,Square on large complex(64) inputs return incorrect results,nan_inf,precision_tolerance,nan_inf,nan_inf,The report says square returns incorrect results for large complex inputs.
EGNF1000-0383-102e94c7,jax-ml/jax,27088,"State of jax.scipy.special functions: tested by evaluation or autograd, incorrectness and missing functionality",nan_inf,precision_tolerance,nan_inf,nan_inf,The issue tracks incorrectness and mismatches in special functions.
EGNF1000-0299-027dd47a,apache/tvm,16265,[Bug] build arm on windows broken,not_numerical_failure,crash_compile,crash_compile,dtype_casting,The report is about a broken ARM build on Windows.
EGNF1000-0874-daafc1ab,apache/tvm,5003,[VTA][Chisel] deploy classification not working when timer() is used,not_numerical_failure,crash_compile,nan_inf,nan_inf,"The tutorial is reported as not working when timer() is used, indicating execution failure."
EGNF1000-0366-b083cdc9,cupy/cupy,7872,Issue with piecewise log functions in Sympy->Cupy lambdify chain,not_numerical_failure,crash_compile,crash_compile,crash_compile,The issue reports errors thrown by the Sympy-to-CuPy lambdify/fuse chain.
EGNF1000-0015-981238c6,jax-ml/jax,21403,jnp.cumsum is incorrect when sharding over summing axis on GPUs,not_numerical_failure,precision_tolerance,not_numerical_failure,precision_tolerance,The main issue is incorrect cumsum results when sharding over the summing axis.
EGNF1000-0017-d48c4d74,jax-ml/jax,23100,Passing `DeviceLocalLayout` to `jax.jit` causes incorrect outputs on GPU,not_numerical_failure,precision_tolerance,crash_compile,precision_tolerance,The report describes incorrectly transposed outputs from jax.jit.
EGNF1000-0019-cef0461a,jax-ml/jax,32978,BiCGStab Breakdown on GPU due to Order of Operations (not observed on CPU),not_numerical_failure,precision_tolerance,not_numerical_failure,not_numerical_failure,The report attributes solver breakdown to order-of-operations differences on GPU.
EGNF1000-0119-0aec2777,jax-ml/jax,27796,xla_gpu_deterministic_ops=true breaks simple indexing in jax,not_numerical_failure,precision_tolerance,nan_inf,nan_inf,The issue says deterministic GPU ops break simple indexing behavior.
EGNF1000-0237-c462c7fb,jax-ml/jax,25846,'+ptx85' is not a recognized feature for this target (ignoring feature) ==> this issue occurs again,not_numerical_failure,crash_compile,crash_compile,crash_compile,The issue is an unrecognized PTX target feature warning/error.
EGNF1000-0320-05b7809e,jax-ml/jax,36958,Unexpected result involving `scan` and `vmap`,not_numerical_failure,precision_tolerance,not_numerical_failure,precision_tolerance,The report describes unexpected computational results involving scan and vmap.
EGNF1000-0476-7634b988,jax-ml/jax,10420,[CPU] `np.linalg.eigh` outputs NaNs for matrix side size >=32767,not_numerical_failure,nan_inf,nan_inf,nan_inf,The title explicitly reports NaNs from np.linalg.eigh.
EGNF1000-0907-a2cef793,cupy/cupy,2390,I recently change an entire codebase from numpy to cupy only to get an error saying: cupy can not run on a singly GPU. Please is there a way to run a on a single GPU?,overflow_underflow,not_numerical_failure,nan_inf,nan_inf,This is a support question about running CuPy on a single GPU.
EGNF1000-0908-a2ef7287,cupy/cupy,2438,Need more information on: unsatisfied condition: cuda >= 9.2,overflow_underflow,not_numerical_failure,nan_inf,nan_inf,This is a support question about an unsatisfied CUDA condition.
EGNF1000-0909-ed65cc53,cupy/cupy,2537,cupy.cuda.memory.OutOfMemoryError,overflow_underflow,crash_compile,nan_inf,nan_inf,The main symptom is a CuPy out-of-memory runtime error.
EGNF1000-0910-16ea18f0,cupy/cupy,4197,[Bug Fix] This is an error why I tried to check two columns,overflow_underflow,not_numerical_failure,nan_inf,nan_inf,The issue appears to be a user support/debugging question without a numerical failure.
EGNF1000-0911-31c5366f,cupy/cupy,4608,original error: libcudart.so.10.2: cannot open shared object file: No such file or directory,overflow_underflow,crash_compile,nan_inf,nan_inf,The error is a missing libcudart shared library.
EGNF1000-0912-1d949622,cupy/cupy,4729,b,overflow_underflow,not_numerical_failure,nan_inf,nan_inf,The available issue content is too thin and appears to be support noise.
EGNF1000-0913-570b8eb7,cupy/cupy,5010,"cupyx.scipy.signal.convolve2d: cannot open source file ""utility""",overflow_underflow,crash_compile,nan_inf,nan_inf,The report says a source file cannot be opened during compilation.
EGNF1000-0914-fb31ad98,cupy/cupy,5044,AttributeError: module 'cupy' has no attribute 'util',overflow_underflow,crash_compile,nan_inf,nan_inf,The main symptom is an AttributeError for a missing CuPy attribute.
EGNF1000-0915-c086819a,cupy/cupy,5503,Inconsistent behavior between numpy and cupy when handling shapes in array creation,overflow_underflow,not_numerical_failure,nan_inf,nan_inf,"The issue concerns shape handling behavior in array creation, not numerical correctness."
EGNF1000-0289-99eab5d4,cupy/cupy,8146,"Error when including `mma.h`: instance of overloaded function ""__half::__half"" matches the specified type",performance_only,crash_compile,performance_only,performance_only,The evidence shows a compile/error condition when including mma.h.
EGNF1000-0388-44da768e,jax-ml/jax,21282,simple pallas kernel hangs when input size exceeds some threshold,performance_only,crash_compile,performance_only,dtype_casting,"A kernel hang is an execution failure, not a speed-only complaint."
EGNF1000-0455-a55146cf,jax-ml/jax,35702,Add an `unroll` parameter to `while_loop`,performance_only,not_numerical_failure,nan_inf,nan_inf,The issue is a feature request for an unroll parameter.
EGNF1000-0510-1dbde10d,jax-ml/jax,17954,FFT implementation in float16,performance_only,dtype_casting,performance_only,dtype_casting,The issue concerns float16 FFT implementation support.
EGNF1000-0607-ba90f2c9,jax-ml/jax,16673,Wider support for FP8 datatypes,performance_only,dtype_casting,performance_only,dtype_casting,The issue requests wider support for FP8 datatypes.
EGNF1000-0609-e556bed8,jax-ml/jax,21352,`jax.lax.random_gamma_grad` has very slow convergence for large inputs,performance_only,precision_tolerance,nan_inf,nan_inf,The issue concerns very slow numerical convergence for large inputs.
EGNF1000-0198-b2215873,apache/tvm,8296,[RFC][Tracking Issue][AMP] Tracking Issue for Mixed Precision Pass,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,The tracking issue is about mixed precision support.
EGNF1000-0278-8bd5026b,apache/tvm,12327,"[Bug] Can not build the apk of ""android_camera"" in apps",precision_tolerance,crash_compile,precision_tolerance,precision_tolerance,The issue reports inability to build the Android camera APK.
