root_cause_id,blind_id,repository,issue_number,title,issue_label,root_cause_label,fix_file_category,evidence_quote,confidence,provenance,coding_rationale
RC-EV-051,GNF-0040-5f558cf9,pytorch/pytorch,180126,DISABLED test_triton_kernel_dtype_view_cfg_cpp_wrapper (__main__.KernelTests),dtype_casting,dtype_or_type_semantics,tests,"latforms from the list in the issue body. This may take some time to propagate. To re-enable a test only for a PR, put `Fixes #180126` in the PR body and rerun the test jobs. Note that if a test is flaky, it maybe be difficult to tell if the test is still flaky on the PR. </body><!-- validation-comment-end -->",medium,evidence_coded_fix_text_or_same_repo_ref,dtype/type semantic signal or issue label
RC-EV-052,GNF-0190-3f4e1893,triton-lang/triton,9809,Pipeline failed while executing [`TritonGPURemoveLayoutConversions` on 'builtin.module' operation],overflow_underflow,numerical_algorithm_or_tolerance,core_library,"] ``` ### Environment details Triton: 3.6.0 GPU: NVIDIA GH200 Looks very similar to #9928 Looks like the same issue, fixed #9020.",medium,evidence_coded_fix_text_or_same_repo_ref,numerical/tolerance signal or issue label
RC-EV-053,GNF-0191-cd071cce,numba/numba,9229,cuda.grid(1) returns incorrect value due to signed integer overflow,overflow_underflow,numerical_algorithm_or_tolerance,tests,"!= i2: # this shouldn't happen print(i, i2) bug[22121216, 256]() cuda.synchronize() ``` I have a fix in https://github.com/gmarkall/numba/commit/c40f740c2f9c0831ac1a7d6fada919ce60605bc7 - I will need to add tests to this for a PR, but intend to do this soon. @nathanfarlow There is a fix in PR #9235. As a workaround for now, can you write your kernels such th",medium,evidence_coded_fix_text_or_same_repo_ref,numerical/tolerance signal or issue label
RC-EV-054,GNF-0004-e5162a33,pytorch/pytorch,100085,[regression] torch.norm with out dtype bfloat16 cause runtime error,dtype_casting,non_bug_feature_docs_support,core_library,"[regression] torch.norm with out dtype bfloat16 cause runtime error ### 🐛 Describe the bug As per torch.norm documentation, it can take out tensor. If we set out tensor to be bfloat16 and in input to be float32 then it fails with error: ``` RuntimeError: Expected out",low,evidence_coded_fix_text_or_same_repo_ref,non-bug/support/documentation signal or issue label
RC-EV-055,GNF-0012-d3d20064,numba/numba,2988,Support For CPU Atomics,performance_only,non_bug_feature_docs_support,core_library,"M project](https://github.com/open-atmos/PySDM/blob/main/PySDM/backends/impl_numba/atomic_operations.py)), however this workaround does not seem to work on ARM CPUs. Any ideas on how to achieve atomic operations in multi-threaded Numba JIT-compiled code on ARM CPUs warmly welcome!",low,evidence_coded_fix_text_or_same_repo_ref,non-bug/support/documentation signal or issue label
RC-EV-056,GNF-0013-bd88dbb3,triton-lang/triton,2138,Block pointers `padding_option` bug?,nan_inf,numerical_algorithm_or_tolerance,core_library,"ze, 0)) ``` To clarify, `tl.advance` doesn't have side effects, you need to assign the return value to block_ptr. That fixed it! Thanks :-)",low,evidence_coded_fix_text_or_same_repo_ref,numerical/tolerance signal or issue label
RC-EV-057,GNF-0014-9fb698b0,pytorch/pytorch,134385,FlopCounterMode doesn't support HOP,dtype_casting,non_bug_feature_docs_support,core_library,"still encountering the ""no rule registered for HOP flex_attention"" error while using **PyTorch 2.6.0**. How can this be resolved? re-open since there's still issue with it cc @zou3519 @bdhirsh > You can register a FlopCounterMode formula via HOP.py_impl(FlopCounterMode) @zou3519 I'm running into this same issue on torch 2.7.1. I have a RoPE triton kernel ...",low,evidence_coded_fix_text_or_same_repo_ref,non-bug/support/documentation signal or issue label
RC-EV-058,GNF-0019-965637d3,triton-lang/triton,10106,[Bug] gluon warp specialized pipeline load nan from TMA input in certain cases,nan_inf,numerical_algorithm_or_tolerance,core_library,"related to `dw_chnl` which is allocated but never used and also the mbarriers in it are never invalidated. Adding this fixes the reproducer for me: ``` dw_chnl = SharedMemoryChannel.alloc(""dw"", [1], gl.float32,gl.SwizzledSharedLayout(1, 1, 1, [0]), num_buffers=1) dw_chnl.release() ``` The issue is that the compiler detects that `dw_chnl` isn't used past t...",low,evidence_coded_fix_text_or_same_repo_ref,numerical/tolerance signal or issue label
RC-EV-059,GNF-0025-d23b5aed,numba/numba,8891,Error when calling `nb.generated_jit` from CUDA,nan_inf,non_bug_feature_docs_support,tests,"ode. Workarounds that iron out the resulting problems without having to duplicate code would be much appreciated. (Or a fix of this issue, of course!) ```py """""" Test CUDA kernel call to @generated_jit function. """""" from typing import Union, Any, TypeVar, Type import numpy as np import numba as nb # type: ignore from numba import cuda # type: ignore from i...",low,evidence_coded_fix_text_or_same_repo_ref,non-bug/support/documentation signal or issue label
RC-EV-060,GNF-0027-933bf558,cupy/cupy,7933,`cupy.testing.for*dtypes()` seem to turn skipped tests into passed,dtype_casting,non_bug_feature_docs_support,tests,"* IIRC test cases inheriting from `unittest.TestCase` cannot be mixed with `pytest.mark.parameterize`, so we should fix that first * This will generate a different set of tests across runs if `CUPY_TEST_FULL_COMBINATION=0` is set (i.e. within pull-requests), making it difficult to support pytest-xdist (#5623). This is not a big problem as we don't use xdi...",low,evidence_coded_fix_text_or_same_repo_ref,non-bug/support/documentation signal or issue label
RC-EV-061,GNF-0028-64f6040c,rapidsai/cudf,19375,[BUG] pylibcudf/libcudf minimum reduce with nan seems to misbehave?,nan_inf,numerical_algorithm_or_tolerance,build_ci_config,pyhd8ed1ab_0 conda-forge parso 0.8.4 pyhd8ed1ab_0 conda-forge patch 2.7.6 h7f98852_1002 conda-forge patchelf 0.17.2 h58526e2_0 conda-forge pathspec 0.12.1 pyhd8ed1ab_1 conda-forge pcre2 10.44,low,evidence_coded_fix_text_or_same_repo_ref,numerical/tolerance signal or issue label
RC-EV-062,GNF-0030-a4314978,pytorch/pytorch,181146,torch.compile: autograd.Function.apply with aliased inputs drops per-slot gradient contributions,nan_inf,numerical_algorithm_or_tolerance,core_library,"80642 / #180670 / #180921, but the mechanism here is input aliasing rather than fwd side-effects, and it survives those fixes on current `main`. ### Minimal repro (~50 LOC, pure PyTorch, no triton, no custom ops) ```python import torch class MyFn(torch.autograd.Function): @staticmethod def forward(ctx, q, k, v, mask_v_grad: bool): ctx.save_for_backward(q,...",low,evidence_coded_fix_text_or_same_repo_ref,numerical/tolerance signal or issue label
RC-EV-063,GNF-0034-77cd048a,triton-lang/triton,1302,RuntimeError: Triton Error [CUDA]: an illegal memory access was encountered,dtype_casting,performance_or_resource_behavior,performance_resource,"d tried setting `num_stages` to 1,2,3 and 4 with no effect. Any hints as to what could've changed recently or how to fix? you may not be bounds checking correctly in the matmul. Really hard to say without the kernel Sorry @ptillet got pulled away for much longer than expected! Finally got around to making a minimal repro for this one. The kernel below is ...",low,evidence_coded_fix_text_or_same_repo_ref,performance/resource signal or issue label
