blind_id,repository,issue_number,gold_primary_failure,title,comment_count,explicit_pull_urls,same_repo_fix_ref_urls,has_local_diff_or_patch_snippet,local_diff_or_patch_snippet,fix_or_root_cause_snippet,evidence_tier
GNF-0002-16e149fe,pytorch/pytorch,167082,dtype_casting,float8_e4m3fn type conversion fails with torch.compile,11,https://github.com/triton-lang/triton/pull/7904|https://github.com/woct0rdho/triton-windows/pull/140,,false,,,linked_pr
GNF-0007-5a435abf,pytorch/pytorch,175156,dtype_casting,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed,2,https://github.com/pytorch/pytorch/pull/176842,,false,,"Not sure if this counts as silent incorrectness, so flagging for triage review. I've opened a draft PR with a proposed fix: [https://github.com/pytorch/pytorch/pull/176842](https://github.com/pytorch/pytorch/pull/176842) The change prevents RNG ops (such as `aten.randint`) from being reordered in `reorder_for_locality`, which can otherwise lead to inconsistent RNG results be...",linked_pr
GNF-0022-a403f994,pytorch/pytorch,179711,dtype_casting,[RFC] Optimize persistent reduction with `recompute from cached inputs`,10,https://github.com/pytorch/pytorch/pull/182671,,false,,"per @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @kadeng @muchulee8 @amjames @aakhundov @coconutruben @jataylo To resolve this, we can integrate the heuristic routing directly into Inductor's scheduler and update the Triton lowering for the register-tiled path. 1. Scheduler Heuristic We can route the kernels based on the reduction dimension (N), using the crossover poi...",linked_pr
GNF-0057-44d428bb,pytorch/pytorch,109074,precision_tolerance,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training,20,https://github.com/openai/triton/pull/2185|https://github.com/pytorch/pytorch/pull/104103|https://github.com/pytorch/pytorch/pull/109159|https://github.com/pytorch/pytorch/pull/109454,,false,,wondering if it is possible to release GIL before entering C/C++ land (similar to other PyTorch operations). This would resolve the issue and allow other python threads in the application to recover from the situation. ### Error logs _No response_ ### Minified repro _No response_ ### Versions PyTorch 2.0.1 cc @ezyang @gchanan @zou3519 @kadeng @msaroufim @wconstab,linked_pr
GNF-0111-4b909a91,pytorch/pytorch,158212,nan_inf,wrong gradients with compiled flex attention,15,https://github.com/triton-lang/triton/pull/9485,,false,,"t from source) - Python: 3.12.11 - GPU: NVIDIA H100 (SM90, 132 SMs) - Conda env: dev - Triton: bundled with PyTorch ## Root Cause: Triton compiler bug in nested tl.where broadcast store The inductor's `floordiv` codegen emits: ```python tl.where((a < 0) != (b < 0), tl.where(a % b != 0, a // b - 1, a // b), a // b) ``` This correction is semantically correct (converts C-style t",linked_pr
GNF-0139-08c1b395,pytorch/pytorch,104322,overflow_underflow,Illegal Memory Access on H100 `TestSparseCompressedTritonKernelsCUDA.test_triton_sampled_addmm_block_size_16_cuda_bfloat16`,0,https://github.com/pytorch/pytorch/pull/101163,,false,,,linked_pr
GNF-0159-f17202a4,pytorch/pytorch,182554,precision_tolerance,Release 2.12 validations checklist and cherry-picks,0,https://github.com/pytorch/pytorch/pull/172340|https://github.com/pytorch/pytorch/pull/172354|https://github.com/pytorch/pytorch/pull/174856|https://github.com/pytorch/pytorch/pull/175449|https://github.com/pytorch/pytorch/pull/176994|https://github.com/pytorch/pytorch/pull/177783|https://github.com/pytorch/pytorch/pull/178304|https://github.com/pytorch/pytorch/pull/178324,https://github.com/pytorch/pytorch/pull/181434|https://github.com/pytorch/pytorch/pull/182250,false,,ittent indexing out of bounds `AcceleratorError` https://github.com/pytorch/pytorch/issues/178079 - @hvaara - [ ] [MPS] Fix bool mask handling in 1-pass SDPA decode kernel https://github.com/pytorch/pytorch/pull/182285 - @Isalia20 - [ ] [MPS] Fix nested ops.masked variable name collisions in Metal codegen https://github.com/pytorch/pytorch/pull/178304 - @malfet - [ ] [cherry...,linked_pr
GNF-0026-8ee693c5,rapidsai/cudf,2283,performance_only,[BUG] `len` after `fillna` operation uses way more memory than expected,22,https://github.com/rapidsai/dask-cudf/pull/270,,false,,"es? Are individual calls very expensive? If ""yes"" to either of those, then why is that happening? If there is some workaround with `iloc`, then great, but it sounds like there might also be some larger issue here that might be worth exposing. The code above calls `fillna()` 80 times because there are 80 columns. Writing this out makes me smile :) @ayushdg, why not call `fillna`",linked_pr
GNF-0044-58d8c7b3,rapidsai/cudf,13233,not_numerical_failure,[DOC] please update for Cuda 12xx,11,https://github.com/rapidsai-community/notebooks-contrib/pull/371,,false,,"ll the CUDA Toolkit into your WSL system. @bdice that is exactly the problem I was facing but I went ahead and tried to fix it and that error disappeared but I'll try as you say. Thanks! that last line is scary, ``` sudo apt-get -y install cuda ``` I found something ``` conda create -n rapids-23.04 -c rapidsai -c conda-forge -c nvidia \ rapids=23.04 python=3.10 cudato",linked_pr
GNF-0090-14f882db,rapidsai/cudf,21687,precision_tolerance,[DOC]: Update dask-cudf for dask-cuda jit-unspilling deprecation.,0,https://github.com/rapidsai/dask-cuda/pull/1631,,false,,ain references to it. **Steps taken to verify documentation is incorrect** List any steps you have taken: **Suggested fix for documentation** Detail proposed changes to fix the documentation if you have any.,linked_pr
GNF-0144-bd760235,rapidsai/cudf,22157,overflow_underflow,"[FEA] libcudf implementation of ""intuitive"" decimal division",2,https://github.com/rapidsai/cudf/pull/19861,,false,,"[FEA] libcudf implementation of ""intuitive"" decimal division The `libcudf` implementation of decimal division is really fixed-point division, and does not behave intuitively compared with the accepted conventions in (say) the SQL world. For example, dividing `DECIMAL64(200,-2)` by `DECIMAL64(300,-2)` (which is equivalent to `2.00 / 3.00`) gives a result of `DECIMAL64(0,0)` d...",linked_pr
GNF-0145-13ae4b2a,rapidsai/cudf,18356,dtype_casting,[QST] [Performance in pylibcudf with stream] Unexpected GIL ThreadSync and CUDASync in pylibcudf Parquet Reading,10,https://github.com/rapidsai/cudf/pull/18367,,false,,"mage](https://github.com/user-attachments/assets/8668177c-97e8-4487-949b-ec6ddd77f498) However, I am still not able to workaround this issue and I think I will now check with the device buffer cpython code :( > Enabling PTDS: I attempted to enable the ptds using the ./build.sh --ptds libcudf pylibcudf. Unfortunately, this did not yield any improvements. In the PTDS, there is...",linked_pr
GNF-0146-2fe36ae1,rapidsai/cudf,19710,precision_tolerance,[BUG] src/binaryop/binaryop.cpp.o compile failed jitify2 in cuda13,6,https://github.com/NVIDIA/jitify/pull/147|https://github.com/rapidsai/cudf/pull/19561|https://github.com/rapidsai/cudf/pull/19768|https://github.com/rapidsai/cudf/pull/19783,,false,,rved the same thing there: https://github.com/rapidsai/cudf/pull/19768#issuecomment-3212084205 @pxLi ready to be merged Fix is up here: https://github.com/rapidsai/cudf/pull/19783,linked_pr
GNF-0155-6ad1750a,rapidsai/cudf,20484,not_numerical_failure,[FEA]: Change default cudf-polars stream pool policy to `pool`,1,https://github.com/rapidsai/cudf/pull/20161,,false,,,linked_pr
GNF-0161-43f5b312,rapidsai/cudf,13409,dtype_casting,[BUG] Unable to write `timedelta64[s]` type correctly with parquet writer,6,https://github.com/apache/arrow/pull/12449|https://github.com/rapidsai/cudf/pull/11854|https://github.com/rapidsai/cudf/pull/13398,,false,,"/work/2018/02/28/minimal-bug-reports to craft a minimal bug report. This helps us reproduce the issue you're having and resolve the issue more quickly. ```python In [1]: import cudf In [3]: df = cudf.DataFrame({""seconds"": cudf.Series([1234, 3456, 32442], dtype='timedelta64[s]')}) In [4]: df Out[4]: seconds 0 0 days 00:20:34 1 0 days 00:57:36 2 0 days 09:00:42",linked_pr
GNF-0010-ff390b39,triton-lang/triton,1121,nan_inf,Value 'sm_89' is not defined for option 'gpu-name',3,https://github.com/openai/triton/pull/1070,,false,,"not relevant but just to point out you say you're using CUDA 12 but your logs say `CUDA runtime version: 11.6.124`.) Workaround: So as noted in the update you actually need pytorch 2.0.0. ``` # use cuda 11.8 version of nvidia's docker image, e.g. cd nanoGPT docker run --gpus all --ipc=host --ulimit memlock=-1 --ulimit stack=67108864 -it --rm -v ${PWD}:/ext nvcr.io/nvidia/pyt",linked_pr
GNF-0016-7e125a4d,triton-lang/triton,10229,dtype_casting,"Triton NVIDIA backend: 'ttng.tensormap_create' op pipeliner doesn't know how to predicate this op (CUDA 13.0, sm_90 + sm_100)",0,https://github.com/vllm-project/vllm/pull/40327,,false,,"ot required: second descriptor, constexpr gate, softmax, running-max state, warp specialization. ## Our reading of the root cause `TritonGPUPipeline` only runs on a `for`-loop when the body has a `tl.dot` (that's the purpose of pipelining — overlap TMA loads with the matmul). Inside that pipelined loop the `triton-nvidia-tma-lowering` pass turns `tl.make_tensor_descriptor` i...",linked_pr
GNF-0094-5130df2b,triton-lang/triton,6054,overflow_underflow,Microscaling dtypes in triton?,14,https://github.com/pytorch/pytorch/pull/146578|https://github.com/pytorch/pytorch/pull/147466,,false,,"to 1e-05 allowed) Greatest relative difference: inf at index (0, 3) (up to 0.016 allowed) ``` Update： I found that the root cause of the above problem is that torchao uses the ties round to the nearest even digit strategy (https://github.com/pytorch/ao/blob/main/torchao/prototype/custom_fp_utils.py#L11)when fp32 to fp4. But in triton, it uses the round up strategy (https://g...",linked_pr
GNF-0100-a235b2dd,triton-lang/triton,2156,dtype_casting,type conversion before tl.dot fails compilation,21,https://github.com/pytorch/pytorch/pull/107722,,false,,m - bfloat16 -> float32 - repro https://gist.github.com/shunting314/4eb4a6a7d8cbfc6396726518196e26d1 - status: fixed by #2162 - int8 -> float32 - repro https://gist.github.com/shunting314/d164f74f9830239fbe04b1913b690fa0 - status: fixed by #2184 - int8 -> bfloat16 - repro https://gist.github.com/shunting314/724d60b5a4f834234c6e922a7567679d - status: ***,linked_pr
GNF-0109-5b3bb56e,triton-lang/triton,2688,overflow_underflow,Encountering FileNotFoundError while Compiling Triton Kernel in Distributed Training,13,https://github.com/openai/triton/pull/1569|https://github.com/openai/triton/pull/3544,https://github.com/triton-lang/triton/pull/1569,false,,"SE_ROCM=OFF, TorchVision: 0.16.0+cu121 OpenCV: 4.8.1 ``` +1 with this issue +1 @HIT-cwh @SolenoidWGT A fix would be making a customized `CacheManager` by setting `os.environ[""TRITON_CACHE_MANAGER""] = '...'`. Reference: https://github.com/openai/triton/blob/main/python/triton/runtime/cache.py. In this manager, we only put the files from rank 0 and make a barrie",linked_pr
GNF-0148-5dbeb416,triton-lang/triton,2513,dtype_casting,Understanding Triton GEMM FP8 performance,14,https://github.com/triton-lang/triton/pull/3973,,false,,performance seem lower than what I had measured on my H100 as I was able to get over 1.3PF but we haven't enabled perf regression testing on H100 so maybe we did regress. What commit did you use? I realize now that `fp8_fast_accum=False` is not implemented efficiently. It is meant to be equivalent to `CUBLASLT_MATMUL_DESC_FAST_ACCUM` however since the implementation of this ...,linked_pr
GNF-0153-0a1f22c0,triton-lang/triton,4172,overflow_underflow,Triton Error [CUDA]: device kernel image is invalid,1,https://github.com/InternLM/lmdeploy/pull/1621,,false,,,linked_pr
GNF-0179-0d2d153d,triton-lang/triton,8591,performance_only,Proton buffer copyout is slower than it needs to be,20,https://github.com/triton-lang/triton/pull/8603,,false,,"ling records. You can try to reduce the buffer size to 128 and I think you will get even lower than 3% overhead. The root cause is in your code is really not that we didn't use multiple threads to write back the profiling. Instead, since we over-allocated the shared memory needed and rely on the user to choose a heuristic number, write back to the global memory through L1 be...",linked_pr
GNF-0183-0f27bf2e,triton-lang/triton,1535,not_numerical_failure,Fast Math Support,5,https://github.com/JuliaLang/julia/pull/41607,,false,,,linked_pr
GNF-0009-f786b33b,numba/numba,8528,dtype_casting,CUDA target overloads not handling kwargs,3,,,true,"diff --git a/numba/cuda/dispatcher.py b/numba/cuda/dispatcher.py --- a/numba/cuda/dispatcher.py +++ b/numba/cuda/dispatcher.py @@ -763,6 +763,7 @@ class CUDADispatcher(Dispatcher, serialize.ReduceMixin): # Ensure an exactly-matching overload is available if we can # compile. We proceed with the typing even if we can't compile # because we may be able to force a cast on the c...","kes 2 arguments"")`. The issue seems to be that kwargs aren't considered when producing the args for compilation, this patch seems to fix it: ```diff diff --git a/numba/cuda/dispatcher.py b/numba/cuda/dispatcher.py --- a/numba/cuda/dispatcher.py +++ b/numba/cuda/dispatcher.py @@ -763,6 +763,7 @@ class CUDADispatcher(Dispatcher, serialize.ReduceMixin): # Ensure an exa",local_patch
