expansion_id,repository,title,url,candidate_primary_failure,svm_prediction,logistic_prediction,bigram_prediction,naive_bayes_prediction,vote_prediction,vote_confidence,human_gold_status
EGNF-0030-15327848,numba/numba,CUDA guvectorize target does not copy back modified input arrays,https://github.com/numba/numba/issues/4952,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0031-1f720675,numba/numba,CUDA: Numerical differences between CPython / CPU target and the CUDA target in `math.pow`,https://github.com/numba/numba/issues/8218,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0032-a42f3838,numba/numba,CUDA: Warp-aggregated atomics example no longer works,https://github.com/numba/numba/issues/8507,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0033-b67ecd45,numba/numba,numba cannot find libnvvm.so <OSError: libnvvm.so: cannot open shared object file: No such file or directory>,https://github.com/numba/numba/issues/9216,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0034-610942e1,numba/numba,"numpy records do not support ""is"" identity comparison.",https://github.com/numba/numba/issues/9382,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0035-8c215980,pytorch/pytorch,torch.jit.trace has incorrect execution for += operation during compilation,https://github.com/pytorch/pytorch/issues/113945,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0036-3cf41050,pytorch/pytorch,torch.nn.functional.embedding segmentation fault on large negative ids,https://github.com/pytorch/pytorch/issues/115416,dtype_casting,precision_tolerance,precision_tolerance,precision_tolerance,dtype_casting,precision_tolerance,medium,suggestion_only_not_gold
EGNF-0037-994dc5df,pytorch/pytorch,[Fuzzer][Eager/Compile Divergence] PassManager::run failed,https://github.com/pytorch/pytorch/issues/163874,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0038-ea49fcf9,pytorch/pytorch,`flex_attention` + `mask_mod` closure over a derived sym-int,https://github.com/pytorch/pytorch/issues/182606,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0039-8fd31d2f,rapidsai/cudf,[BUG] cudf astype('int32') behavior does not match pandas for strings with underscores,https://github.com/rapidsai/cudf/issues/12047,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0040-caa2aad2,rapidsai/cudf,[BUG] Unable to access cudf due to error Unsupported type_id conversion to cudf,https://github.com/rapidsai/cudf/issues/13211,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0041-9b69bedd,rapidsai/cudf,MixedTypeError when there is no mixed type [BUG],https://github.com/rapidsai/cudf/issues/14793,dtype_casting,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,high,suggestion_only_not_gold
EGNF-0042-7fc1ce5b,rapidsai/cudf,[BUG] Error with dask-expr using categorical dtype,https://github.com/rapidsai/cudf/issues/17415,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0043-f0d3a6e5,rapidsai/cudf,[FEA] allow `Series.clip` to clip accept Series as lower and upper bounds,https://github.com/rapidsai/cudf/issues/17682,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0044-61e2940a,rapidsai/cudf,[BUG]dask_cudf nunique gives incorrect results,https://github.com/rapidsai/cudf/issues/4663,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0045-2a50f2a8,rapidsai/cudf,[BUG] `cudf.read_parquet` errors when non-cudf engine is used,https://github.com/rapidsai/cudf/issues/6175,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0046-cee00347,rapidsai/cudf,[BUG] Specifying out-of-range column index for `usecols` in `read_csv()` causes illegal memory access,https://github.com/rapidsai/cudf/issues/9015,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0047-875dadae,triton-lang/triton,[PROTON][CUPTI_PCSAMPLING]: RuntimeError: Failed to execute cuptiGetContextId with error 35,https://github.com/triton-lang/triton/issues/4868,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0048-be0bb597,triton-lang/triton,int4 support,https://github.com/triton-lang/triton/issues/675,dtype_casting,overflow_underflow,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0049-b3670f9b,triton-lang/triton,Add Documentation for Triton Data Types,https://github.com/triton-lang/triton/issues/8458,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0050-3b70906b,cupy/cupy,Catch incompatible CUDA version,https://github.com/cupy/cupy/issues/4660,nan_inf,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,high,suggestion_only_not_gold
EGNF-0051-b083cdc9,cupy/cupy,Issue with piecewise log functions in Sympy->Cupy lambdify chain,https://github.com/cupy/cupy/issues/7872,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0052-28bff1f9,cupy/cupy,CUPY sosfilt_zi some SOS coefficients are not supported2,https://github.com/cupy/cupy/issues/8028,nan_inf,nan_inf,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,low,suggestion_only_not_gold
EGNF-0053-154dcf61,cupy/cupy,Implement cupy.ndarray == None and cupy.ndarray != None,https://github.com/cupy/cupy/issues/8560,nan_inf,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,medium,suggestion_only_not_gold
EGNF-0054-484e246e,jax-ml/jax,NaN gradients appear with a combination of normalization and masking,https://github.com/jax-ml/jax/issues/17070,nan_inf,nan_inf,dtype_casting,dtype_casting,nan_inf,nan_inf,medium,suggestion_only_not_gold
EGNF-0055-34da1fd3,jax-ml/jax,`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap`,https://github.com/jax-ml/jax/issues/19490,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0056-b855b138,jax-ml/jax,log1p results are incorrect on complex inputs with large absolute value,https://github.com/jax-ml/jax/issues/19573,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0057-80037eb7,jax-ml/jax,Edge behavior in `jax.scipy.special.betainc`,https://github.com/jax-ml/jax/issues/21900,nan_inf,not_numerical_failure,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,low,suggestion_only_not_gold
EGNF-0058-c9a78d27,jax-ml/jax,"Exception has occurred: FloatingPointError invalid value (nan) encountered in jit(convert_element_type). Because jax_config.debug_nans.value and/or config.jax_debug_infs is set, the de-optimized function (i.e., the function as if the `jit` decorator were removed) was called in an attempt to get a more precise error message. However, the de-optimized function did not produce invalid values during its execution.",https://github.com/jax-ml/jax/issues/22291,nan_inf,overflow_underflow,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,low,suggestion_only_not_gold
EGNF-0059-a1cc4981,jax-ml/jax,all inputs are nans in a next step iterationwhile using `jax.scipy.optimize.minimize`,https://github.com/jax-ml/jax/issues/22413,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0060-ec5cb10f,jax-ml/jax,jax.random.choice can return entries with zero probability,https://github.com/jax-ml/jax/issues/22682,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0061-79fefbe8,jax-ml/jax,[Pallas GPU] The behavior of `jnp.sign(jnp.nan)` in Pallas GPU does not match that of JAX,https://github.com/jax-ml/jax/issues/23504,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0062-c4988591,jax-ml/jax,"When calculating the loss, the input data does not contain NaN, but the output contains NaN",https://github.com/jax-ml/jax/issues/23717,nan_inf,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,medium,suggestion_only_not_gold
EGNF-0063-b121247c,jax-ml/jax,[Regression] Gradient explodes after upgrading to JAX 0.4.33 from 0.4.30,https://github.com/jax-ml/jax/issues/24114,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0064-5557fff7,jax-ml/jax,Results do not match the reference. This is likely a bug/unexpected loss of precision,https://github.com/jax-ml/jax/issues/24909,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0065-db86d5ee,jax-ml/jax,`debug_nans` error always says the de-optimized function did not produce NaNs,https://github.com/jax-ml/jax/issues/24955,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0066-a1be57f9,jax-ml/jax,`jax.scipy.signal.correlate` brings different results with `scipy.signal.correlate`,https://github.com/jax-ml/jax/issues/31619,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0067-eaef1724,jax-ml/jax,[CUDA] jax.lax.linalg.eigh outputs nan for complex128 matrix,https://github.com/jax-ml/jax/issues/32641,nan_inf,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,medium,suggestion_only_not_gold
EGNF-0068-c6781a1c,jax-ml/jax,jnp.einsum outputs all NaN if any NaN is present (same with matmul),https://github.com/jax-ml/jax/issues/33349,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0069-73c31d28,pytorch/pytorch,"""torch.orgqr"" performs differently on cpu and gpu",https://github.com/pytorch/pytorch/issues/126760,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0070-aad4b928,pytorch/pytorch,Triton segfault with compiled flexattention kernel,https://github.com/pytorch/pytorch/issues/129625,nan_inf,nan_inf,dtype_casting,dtype_casting,nan_inf,nan_inf,medium,suggestion_only_not_gold
EGNF-0071-225887c0,pytorch/pytorch,BUG: `torch.special.gammainc`: returns finite results with NaN input,https://github.com/pytorch/pytorch/issues/132614,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0072-a7b40dc1,pytorch/pytorch,Undocumented fast pass behavior in nn.TransformerEncoderLayer causes failures in test_transformerencoderlayer_cuda_float32 (__main__.TestNNDeviceTypeCUDA),https://github.com/pytorch/pytorch/issues/135150,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0073-df84d55a,pytorch/pytorch,compile error with custom softmax triton kernel,https://github.com/pytorch/pytorch/issues/163811,nan_inf,nan_inf,dtype_casting,dtype_casting,nan_inf,nan_inf,medium,suggestion_only_not_gold
EGNF-0074-c7ea1dab,pytorch/pytorch,[Inductor][CPU][float16] LayerNorm outputs NaN when input contains Inf,https://github.com/pytorch/pytorch/issues/173885,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0075-9bffee42,pytorch/pytorch,Missing CSE in TorchInductor,https://github.com/pytorch/pytorch/issues/180957,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0076-fe1eff73,rapidsai/cudf,[BUG] apply_grouped broken in 23.04,https://github.com/rapidsai/cudf/issues/13303,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0077-3f6f28a5,rapidsai/cudf,[BUG] dask_cudf.DataFrame.values shows chunktype of numpy ndarray,https://github.com/rapidsai/cudf/issues/4309,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0078-a450af07,rapidsai/cudf,[BUG]Groupby agg with np.nan in aggregating column leads to incorrect results,https://github.com/rapidsai/cudf/issues/6810,nan_inf,nan_inf,nan_inf,dtype_casting,dtype_casting,nan_inf,medium,suggestion_only_not_gold
EGNF-0079-94dd7028,triton-lang/triton,cosmetic change to attention code leads to NaN,https://github.com/triton-lang/triton/issues/1273,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0080-1455323b,triton-lang/triton,Fails in the middle of training with KeyError,https://github.com/triton-lang/triton/issues/1512,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0081-eb97f99b,triton-lang/triton,RuntimeError: PassManager::run failed / error: 'tt.reduce' op inferred type(s)...,https://github.com/triton-lang/triton/issues/1672,nan_inf,nan_inf,dtype_casting,dtype_casting,nan_inf,nan_inf,medium,suggestion_only_not_gold
EGNF-0082-2b0b7ca2,triton-lang/triton,opt(flash_attn): Try reverse iteration optimization,https://github.com/triton-lang/triton/issues/2299,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0083-de461d22,triton-lang/triton,Inconsistent results between torch and triton for fp16 dtype,https://github.com/triton-lang/triton/issues/2352,nan_inf,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,medium,suggestion_only_not_gold
EGNF-0084-acd298d1,triton-lang/triton,Accuracy failure in reduction kernel,https://github.com/triton-lang/triton/issues/2483,nan_inf,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,medium,suggestion_only_not_gold
EGNF-0085-9e1cd456,triton-lang/triton,"ValueError(""arange's arguments must be of type tl.constexpr"")",https://github.com/triton-lang/triton/issues/2735,nan_inf,nan_inf,dtype_casting,dtype_casting,nan_inf,nan_inf,medium,suggestion_only_not_gold
EGNF-0086-6524881c,triton-lang/triton,Fused Attention FP8 correctness on L20(Ada GPU),https://github.com/triton-lang/triton/issues/4476,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0087-7565bf12,triton-lang/triton,Got unexpected Nan value when implementing a fused-operator,https://github.com/triton-lang/triton/issues/6356,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0088-b34017fa,triton-lang/triton,"Triton tl.argmax Accuracy Discrepancy in Top-K Selection, when input contains infinity number",https://github.com/triton-lang/triton/issues/6635,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,nan_inf,high,suggestion_only_not_gold
EGNF-0089-9ff0b7af,triton-lang/triton,triton.language.cast from float16 to float8e5 produces different output when TRITON_INTERPRET=1,https://github.com/triton-lang/triton/issues/8322,nan_inf,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,medium,suggestion_only_not_gold
EGNF-0090-53d33643,cupy/cupy,About unified memory in Cupy,https://github.com/cupy/cupy/issues/3127,needs_review,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,high,suggestion_only_not_gold
EGNF-0091-612f303f,cupy/cupy,ROCm: Support rocFFT,https://github.com/cupy/cupy/issues/3892,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0092-ddebb31a,cupy/cupy,matmul fails to handle overflows for uint64 properly,https://github.com/cupy/cupy/issues/3941,needs_review,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,high,suggestion_only_not_gold
EGNF-0093-583fb462,cupy/cupy,FFT plan cache is not stream-safe,https://github.com/cupy/cupy/issues/8079,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0094-e7cbc631,cupy/cupy,binary_erosion vs. broadcasted inputs,https://github.com/cupy/cupy/issues/8912,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0095-43ecbb7d,cupy/cupy,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim',https://github.com/cupy/cupy/issues/9103,needs_review,overflow_underflow,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,low,suggestion_only_not_gold
EGNF-0096-a220e052,cupy/cupy,CUDA driver version is insufficient for CUDA runtime version,https://github.com/cupy/cupy/issues/9252,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0097-0628ea28,jax-ml/jax,Cannot Share GPUs between processes when using JAX with SLURM,https://github.com/jax-ml/jax/issues/10021,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0098-afb94a27,jax-ml/jax,top_k incorrect results on GPU mesh,https://github.com/jax-ml/jax/issues/19271,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0099-88f8d112,jax-ml/jax,Incorrect cost_analysis() Flop Count on GPU for Dense layer/Dot product,https://github.com/jax-ml/jax/issues/22249,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0100-ca01f08f,jax-ml/jax,Wrong normalization in FFT methods,https://github.com/jax-ml/jax/issues/22466,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0101-621cf9e3,jax-ml/jax,"Division by self not always ""1.0"" on JAX GPU, but consistently gives ""1.0"" on JAX CPU.",https://github.com/jax-ml/jax/issues/24807,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0102-48109365,jax-ml/jax,potential jax 0.4.35 release issue?,https://github.com/jax-ml/jax/issues/24826,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0103-0fb0588d,jax-ml/jax,Feature request: linalg.eig using nvidia cusolver,https://github.com/jax-ml/jax/issues/27265,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0104-15c4965d,jax-ml/jax,Array API `default_device()` and `devices()` are incorrect,https://github.com/jax-ml/jax/issues/27606,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0105-3e741829,jax-ml/jax,`jax.numpy.unwrap` brings different results with `numpy.unwrap`,https://github.com/jax-ml/jax/issues/28645,needs_review,nan_inf,dtype_casting,dtype_casting,nan_inf,dtype_casting,low,suggestion_only_not_gold
EGNF-0106-3506c4b1,jax-ml/jax,conv_general_dilated fails on older GPUs (compute cap < 7.5),https://github.com/jax-ml/jax/issues/33224,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0107-1f9cce97,jax-ml/jax,jax.errors.JaxRuntimeError: INTERNAL: Autotuning failed for HLO,https://github.com/jax-ml/jax/issues/33715,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0108-952f98a2,jax-ml/jax,Unsupported ROCm Tests `tests/export_back_compat_test.py`,https://github.com/jax-ml/jax/issues/34511,needs_review,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0109-05b7809e,jax-ml/jax,Unexpected result involving `scan` and `vmap`,https://github.com/jax-ml/jax/issues/36958,needs_review,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
