audit_id,blind_id,repository,issue_number,url,title,github_labels,annotator_primary_failure,annotator_is_true_numerical_failure,annotator_confidence,evidence_quote,notes
EG-AUDIT-011,EGNF1000-0268-b9408abe,cupy/cupy,9402,https://github.com/cupy/cupy/issues/9402,CuPy cannot find `nvcc` despite it being in `/usr/local/cuda/bin` which is the Cuda root,issue-checked,crash_compile,no,high,CuPy cannot find `nvcc` despite it being in `/usr/local/cuda/bin` which is the Cuda root ### Description The error is the exact same as: in https://github.com/cupy/cupy/issues/4321 The problem is that I do have `nvcc` in path.,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-012,EGNF1000-0281-b85943ee,cupy/cupy,2157,https://github.com/cupy/cupy/issues/2157,ImportError: cannot import name 'core' from 'cupy.core',,crash_compile,no,high,ImportError: cannot import name 'core' from 'cupy.core' I'm experiencing problems when installing the latest version of cupy on two of my arch linux boxes.,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-013,EGNF1000-0288-169e6f14,cupy/cupy,7565,https://github.com/cupy/cupy/issues/7565,Failed to import CuPy,issue-checked,crash_compile,no,high,"Failed to import CuPy ### Description I updated my nvidia driver `nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2023 NVIDIA Corporation Built on Mon_Apr__3_17:16:06_PDT_2023 Cuda compilation tools, release 12.1, V12.1.105 Build c",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-014,EGNF1000-0290-12f94739,cupy/cupy,8226,https://github.com/cupy/cupy/issues/8226,Failed to import CuPy,cat:bug,crash_compile,no,high,"Failed to import CuPy ### Description After installing cupy, the following error occurs when loading cupy: \>>> import cupy Traceback (most recent call last): File ""/home/zhhuo/rl_llm_py_product/venv/lib64/python3.9/site-packages/cupy/__ini",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-015,EGNF1000-0291-7d9edfa8,cupy/cupy,9163,https://github.com/cupy/cupy/issues/9163,Failed to install with `poetry add cupy`,issue-checked,crash_compile,no,high,"(0.1s) Package operations: 1 install, 0 updates, 0 removals - Installing cupy (13.4.1): Failed PEP517 build of a dependency failed Backend subprocess exited when trying to invoke build_wheel",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-016,EGNF1000-0302-95537cbd,cupy/cupy,6277,https://github.com/cupy/cupy/issues/6277,CURAND_STATUS_INITIALIZATION_FAILED,issue-checked,crash_compile,no,high,"python Traceback (most recent call last): File ""/opt/rh/rh-python36/root/usr/lib64/python3.6/runpy.py"", line 193, in _run_module_as_main ""__main__"", mod_spec) File ""/opt/rh/rh-python36/root/usr/lib64/python3.6/runpy.py"", line 85, in _run_co",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-017,EGNF1000-0361-3b70906b,cupy/cupy,4660,https://github.com/cupy/cupy/issues/4660,Catch incompatible CUDA version,cat:enhancement|prio:low,api_feature_request,no,high,"For example, I have an old K2000 in my desktop PC, for which support was dropped in CUDA 11.1, and this code:",Person A-style strict label: request/proposal/support tracker rather than a demonstrated numerical bug.
EG-AUDIT-018,EGNF1000-0257-f1fa726d,apache/tvm,6486,https://github.com/apache/tvm/issues/6486,TVM v0.7 Release Note Candidate,,api_feature_request,no,high,TVM v0.7 Release Note Candidate # Overview v0.7 is brings many major features.,Person A-style strict label: request/proposal/support tracker rather than a demonstrated numerical bug.
EG-AUDIT-019,EGNF1000-0352-cd2c8be1,apache/tvm,19534,https://github.com/apache/tvm/issues/19534,[Tracking Issue][TFLite] Support quantized operator import in Relax frontend,,api_feature_request,no,high,[Tracking Issue][TFLite] Support quantized operator import in Relax frontend ## Problem The Relax TFLite frontend currently has two related blockers for quantized TFLite import.,Person A-style strict label: request/proposal/support tracker rather than a demonstrated numerical bug.
EG-AUDIT-020,EGNF1000-0010-2e91f962,cupy/cupy,8404,https://github.com/cupy/cupy/issues/8404,ndimage.correlate does not support `mode='grid-constant'`,contribution welcome|cat:feature|prio:medium,crash_compile,no,high,"In [1]: import cupy as xp In [2]: from cupyx.scipy import ndimage as c_ndi In [3]: c_ndi.correlate(xp.array([[1, 2, 3], ...: [4, 5, 6]], dtype=xp.int8), ...: xp.array([[1., 0.], ...: [0., 1.]], dtype=xp.float32), ...: mode='grid-constant') ",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: dtype_casting.
EG-AUDIT-021,EGNF1000-0666-8c31e9dd,cupy/cupy,9106,https://github.com/cupy/cupy/issues/9106,CUDA_ERROR_NO_BINARY_FOR_GPU ( on 5080 / sm_120),issue-checked,crash_compile,no,high,"python contraction.py Traceback (most recent call last): File ""/home/paul/Code/github/cupy/examples/cutensor/contraction.py"", line 18, in <module> a = cupy.random.random([extent[i] for i in mode_a]) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen|dtype_casting.
EG-AUDIT-022,EGNF1000-0709-e6bd073f,cupy/cupy,1198,https://github.com/cupy/cupy/issues/1198,"`cupy.cuda.function.Function` expects `grid` & `block` as (w, h) but convention is (h, w)",issue-checked,nan_inf,yes,high,Please accept my apologies if I have overlooked information to this effect in the documentation.,Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-023,EGNF1000-0116-050cd426,jax-ml/jax,26684,https://github.com/jax-ml/jax/issues/26684,Pallas `matmul` doesn't match `jnp.matmul` with `interpret=True`,bug,dtype_casting,yes,medium,"python !pip install -U --pre jax jaxlib ""jax-cuda12-plugin[with_cuda]"" jax-cuda12-pjrt -f https://storage.googleapis.com/jax-releases/jax_nightly_releases.html from functools import partial import jax from jax.experimental import pallas as ",Person A-style label: dtype/casting/quantization evidence is central to the reported correctness behavior. Secondary cues: precision_tolerance.
EG-AUDIT-024,EGNF1000-0208-5fa50305,jax-ml/jax,36008,https://github.com/jax-ml/jax/issues/36008,cudnn dot_product_attention backward drops manual sharding axes inside shard_map,bug,dtype_casting,yes,medium,"import jax import jax.numpy as jnp from jax.sharding import PartitionSpec, NamedSharding, Mesh import functools import numpy as np devices = np.array(jax.devices()[:8]).reshape(2, 4) mesh = Mesh(devices, axis_names=(""dp"", ""tp"")) @functools.",Person A-style label: dtype/casting/quantization evidence is central to the reported correctness behavior. Secondary cues: precision_tolerance.
EG-AUDIT-025,EGNF1000-0304-34da1fd3,jax-ml/jax,19490,https://github.com/jax-ml/jax/issues/19490,`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap`,bug,nan_inf,yes,high,"`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap` ### Description In the following code, large masked-out values seem to make the gradient infeasible.",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-026,EGNF1000-0405-3afe4db3,jax-ml/jax,17198,https://github.com/jax-ml/jax/issues/17198,JAX dtype conversion seems incorrect,bug,nan_inf,yes,high,_No response_ ### Additional system info _No response_ ### NVIDIA GPU info _No response_,Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-027,EGNF1000-0429-420d139f,jax-ml/jax,18573,https://github.com/jax-ml/jax/issues/18573,"On GPU, jnp.min incorrectly returns 0 when reducing multiple axes over FP16 array",bug|XLA|NVIDIA GPU,performance_regression,no,medium,Other notes: This behavior only manifests itself when the input array is large enough (or one axis is large enough?): changing 16385 in the above snippet to 16384 does not reproduce the error.,Person A-style label: performance/resource symptom rather than numerical correctness.
EG-AUDIT-028,EGNF1000-0430-15ee5c57,jax-ml/jax,18595,https://github.com/jax-ml/jax/issues/18595,Pallas FlashAttention fails with bfloat16 activations on TPU v3,bug|TPU|pallas,crash_compile,no,high,python XlaRuntimeError: INVALID_ARGUMENT: Failed to compile a Mosaic module: 'tpu.matmul' op Unsupported input data type in matrix multiplication.,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: dtype_casting.
EG-AUDIT-029,EGNF1000-0454-2f6109c1,jax-ml/jax,35493,https://github.com/jax-ml/jax/issues/35493,`jax.random.weibull_min` uses shape and dtype information incorrectly,bug,nan_inf,yes,high,`jax.random.weibull_min` uses shape and dtype information incorrectly ### Description There are two related problems with how `jax.random.weibull_min` uses the shapes and dtypes of the `scale` and `concentration` arguments and its own `shap,Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-030,EGNF1000-0479-4e142639,jax-ml/jax,26227,https://github.com/jax-ml/jax/issues/26227,"jax.ops.segment_sum is 100x slower when segment_ids are sorted, but only for float16",bug|NVIDIA GPU,performance_regression,no,medium,"jax.ops.segment_sum is 100x slower when segment_ids are sorted, but only for float16 ### Description `jax.ops.segment_sum` is more than 100x slower when `segment_ids` are sorted.",Person A-style label: performance/resource symptom rather than numerical correctness.
EG-AUDIT-031,EGNF1000-0481-4549be35,jax-ml/jax,30176,https://github.com/jax-ml/jax/issues/30176,"bfloat16, float16 not supported by lax.linalg.qr, scipy.linalg.expm",bug,crash_compile,no,high,"jax: 0.6.2 jaxlib: 0.6.2 numpy: 2.3.1 python: 3.12.9 (main, Feb 4 2025, 14:38:38) [Clang 16.0.0 (clang-1600.0.26.6)] device info: cpu-1, 1 local devices"" process_count: 1 platform: uname_result(system='Darwin', node='computer.local', releas",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen|dtype_casting.
EG-AUDIT-032,EGNF1000-0485-15133c86,jax-ml/jax,36691,https://github.com/jax-ml/jax/issues/36691,jax.export.deserialize().call() fails with internal XLA error for shard_map across 2x2 mesh,bug,crash_compile,no,high,jax.errors.JaxRuntimeError: INTERNAL: Encountered Call op during TPU lowering that should have been eliminated during an earlier phase of compilation.,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen|dtype_casting.
EG-AUDIT-033,EGNF1000-0486-f74e7ee7,jax-ml/jax,37029,https://github.com/jax-ml/jax/issues/37029,TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128,bug,crash_compile,no,high,"TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128 ### Description # XLA:TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128 **Date:** 2026-04-21 **Backend:** TPU v6e (single chip, Google Clo",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: dtype_casting.
EG-AUDIT-034,EGNF1000-0509-75a70a17,jax-ml/jax,17402,https://github.com/jax-ml/jax/issues/17402,"jax.debug.breakpoint() give numpy array and with bfloat16, it comptue",bug,nan_inf,yes,high,### Additional system info _No response_ ### NVIDIA GPU info _No response_,Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-035,EGNF1000-0258-28bff1f9,cupy/cupy,8028,https://github.com/cupy/cupy/issues/8028,CUPY sosfilt_zi some SOS coefficients are not supported2,cat:bug|prio:medium,nan_inf,yes,high,"https://github.com/cupy/cupy/pull/7998 from _signaltools import sosfilt_zi,sosfilt from scipy import signal low_sos = signal.bessel(1, 0.5, 'lowpass', output='sos', fs=250) low_sos_cupy = cp.asarray(low_sos) zi_cupy = sosfilt_zi(low_sos_cup",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-036,EGNF1000-0368-154dcf61,cupy/cupy,8560,https://github.com/cupy/cupy/issues/8560,Implement cupy.ndarray == None and cupy.ndarray != None,issue-checked,crash_compile,no,high,"import cupy >>> a = cupy.array([1, 2, cupy.nan]) >>> a == None Traceback (most recent call last): File ""<stdin>"", line 1, in <module> File ""cupy/_core/core.pyx"", line 1217, in cupy._core.core._ndarray_base.__richcmp__ TypeError: operand typ",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-037,EGNF1000-0605-75581e29,cupy/cupy,9005,https://github.com/cupy/cupy/issues/9005,`cp.inf` still cannot be fused with cp.where and cp.newaxis,cat:bug|prio:high,crash_compile,no,high,`cp.inf` still cannot be fused with cp.where and cp.newaxis ### Description Even we can now use `cp.inf`/`cp.nan` in a fusedkernel after [#7122 Fix compile error from inf/nan in cupy.fuse](https://github.com/cupy/cupy/pull/7122) CuPy codege,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-038,EGNF1000-0060-80037eb7,jax-ml/jax,21900,https://github.com/jax-ml/jax/issues/21900,Edge behavior in `jax.scipy.special.betainc`,bug,nan_inf,yes,high,--- There is a separate issue related to edge case behavior in `betainc` that I thought I should bring up: there are some edge cases where `betainc` returns NaN but another result would be more useful (e.g.,Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-039,EGNF1000-0102-eaef1724,jax-ml/jax,32641,https://github.com/jax-ml/jax/issues/32641,[CUDA] jax.lax.linalg.eigh outputs nan for complex128 matrix,bug|NVIDIA GPU,nan_inf,yes,high,"[CUDA] jax.lax.linalg.eigh outputs nan for complex128 matrix ### Description While running some complex code of ours on gpu I ran into spurious numerical instabilities, which I was able to trace down to the complex eigh returing nan, see th",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-040,EGNF1000-0162-d35b43dd,jax-ml/jax,23626,https://github.com/jax-ml/jax/issues/23626,"jax.lax.linalg.lu returns LU factorisation for singular matrix, jax.scipy.linalg.lu_solve silently returns spurious result in 32bit",bug,nan_inf,yes,high,"jax.lax.linalg.lu returns LU factorisation for singular matrix, jax.scipy.linalg.lu_solve silently returns spurious result in 32bit ### Description Singular matrix with linearly dependent columns have infinitely many LU factorisations.",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-041,EGNF1000-0203-c9a78d27,jax-ml/jax,22291,https://github.com/jax-ml/jax/issues/22291,"Exception has occurred: FloatingPointError invalid value (nan) encountered in jit(convert_element_type). Because jax_config.debug_nans.value and/or config.jax_debug_infs is set, the de-optimized function (i.e., the function as if the `jit` decorator were removed) was called in an attempt to get a more precise error message. However, the de-optimized function did not produce invalid values during its execution.",bug,crash_compile,no,high,Exception has occurred: FloatingPointError invalid value (nan) encountered in jit(convert_element_type).,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-042,EGNF1000-0282-ec5cb10f,jax-ml/jax,22682,https://github.com/jax-ml/jax/issues/22682,jax.random.choice can return entries with zero probability,bug,nan_inf,yes,high,"import jax import jax.numpy as jnp key = jax.random.PRNGKey(100) key_gen, key_choice = jax.random.split(key) n = 1_000_000 k = 10_000 xs = jax.random.normal(key_gen, shape=(n,)) ys = xs.at[-k:].set(-jnp.inf) ps = jnp.exp(ys - jax.scipy.spec",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-043,EGNF1000-0305-b855b138,jax-ml/jax,19573,https://github.com/jax-ml/jax/issues/19573,log1p results are incorrect on complex inputs with large absolute value,bug,nan_inf,yes,high,"python >>> jnp.log1p(5e19 + 0j) Array(inf+0.j, dtype=complex64, weak_type=True) >>> jnp.log1p(5e19) # expected real part of the result Array(45.358555, dtype=float32, weak_type=True)",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-044,EGNF1000-0307-a1cc4981,jax-ml/jax,22413,https://github.com/jax-ml/jax/issues/22413,all inputs are nans in a next step iterationwhile using `jax.scipy.optimize.minimize`,bug,nan_inf,yes,high,"all inputs are nans in a next step iterationwhile using `jax.scipy.optimize.minimize` ### Description Just cannot understand why while using `minimize`, the first iteration is good, `m_term` and `LL` are all reasonable values, then the next",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-045,EGNF1000-0309-79fefbe8,jax-ml/jax,23504,https://github.com/jax-ml/jax/issues/23504,[Pallas GPU] The behavior of `jnp.sign(jnp.nan)` in Pallas GPU does not match that of JAX,bug,crash_compile,no,high,"Traceback (most recent call last): File ""/home/ayx/jax/1.py"", line 22, in <module> test_sign() File ""/",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen|dtype_casting.
EG-AUDIT-046,EGNF1000-0310-c4988591,jax-ml/jax,23717,https://github.com/jax-ml/jax/issues/23717,"When calculating the loss, the input data does not contain NaN, but the output contains NaN",bug,nan_inf,yes,high,"When calculating the loss, the input data does not contain NaN, but the output contains NaN ### Description Please specify cuda:0 at the very beginning.",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-047,EGNF1000-0311-b121247c,jax-ml/jax,24114,https://github.com/jax-ml/jax/issues/24114,[Regression] Gradient explodes after upgrading to JAX 0.4.33 from 0.4.30,bug,performance_regression,no,medium,[Regression] Gradient explodes after upgrading to JAX 0.4.33 from 0.4.30 ### Description I'm training LLAMA-3.1-like transformer architecture in Hybrid Sharded Data Parallel-Context Parallel setup on 32GPUs.,Person A-style label: performance/resource symptom rather than numerical correctness.
EG-AUDIT-048,EGNF1000-0314-db86d5ee,jax-ml/jax,24955,https://github.com/jax-ml/jax/issues/24955,`debug_nans` error always says the de-optimized function did not produce NaNs,bug,nan_inf,yes,high,"`debug_nans` error always says the de-optimized function did not produce NaNs ### Description I'm working on documentation for `debug_nans` and I wrote the following function, which for certain input values calls `jnp.log` on a negative num",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-049,EGNF1000-0381-a2f7c534,jax-ml/jax,19751,https://github.com/jax-ml/jax/issues/19751,Square on large complex(64) inputs return incorrect results,bug,nan_inf,yes,high,"Array(nan-infj, dtype=complex64)",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-050,EGNF1000-0382-b3d0d435,jax-ml/jax,26468,https://github.com/jax-ml/jax/issues/26468,`linalg.lstsq` incorrectly returns nans,bug,nan_inf,yes,high,`linalg.lstsq` incorrectly returns nans ### Description [`jax.numpy.linalg.lstsq`](https://docs.jax.dev/en/latest/_autosummary/jax.numpy.linalg.lstsq.html) sometimes incorrectly returns nans.,Person A-style label: explicit NaN/Inf/non-finite symptom. Secondary cues: compiler_codegen.
EG-AUDIT-051,EGNF1000-0383-102e94c7,jax-ml/jax,27088,https://github.com/jax-ml/jax/issues/27088,"State of jax.scipy.special functions: tested by evaluation or autograd, incorrectness and missing functionality",,performance_regression,no,medium,"Function | Value/Autograd tested | Issues ------|------|------ `bernoulli` | :+1:/NA | `bessel_jn` | :+1:/:-1: | mismatch of naming wrt scipy.special.jn, tests are in lax_scipy_test.py, https://github.com/jax-ml/jax/discussions/16996 `beta`",Person A-style label: performance/resource symptom rather than numerical correctness.
EG-AUDIT-052,EGNF1000-0299-027dd47a,apache/tvm,16265,https://github.com/apache/tvm/issues/16265,[Bug] build arm on windows broken,type: bug|needs-triage,crash_compile,no,high,"C:/Users/Administrator/wbq/git/mlc-llm/mlc-llm/3rdparty/tvm/src/runtime/builtin_fp16.cc:46:18: error: dllimport cannot be applied to non-inline function definition 46 | TVM_DLL uint16_t __gnu_f2h_ieee (float a) I'm using llvm17, and when I ",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: dtype_casting.
EG-AUDIT-053,EGNF1000-0874-daafc1ab,apache/tvm,5003,https://github.com/apache/tvm/issues/5003,[VTA][Chisel] deploy classification not working when timer() is used,,nan_inf,yes,high,"[VTA][Chisel] deploy classification not working when timer() is used The deploy_classification.py tutorial does not work when used with Chisel based targets such as TSIM and DE10NANO, suggesting this is a runtime related issue coupled with ",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-054,EGNF1000-0358-53d33643,cupy/cupy,3127,https://github.com/cupy/cupy/issues/3127,About unified memory in Cupy,issue-checked,needs_review,no,low,"About unified memory in Cupy Hi CuPy team, Is there any documentation describing which CuPy functions supports unified memory ?",Insufficient explicit evidence in available excerpt; conservative needs_review.
EG-AUDIT-055,EGNF1000-0366-b083cdc9,cupy/cupy,7872,https://github.com/cupy/cupy/issues/7872,Issue with piecewise log functions in Sympy->Cupy lambdify chain,issue-checked,compiler_codegen,no,low,"For non-logarithmic piecewise functions, errors aren't thrown when using cupy.fuse, but the generated kernel does not respect the piecewise condition.",Person A-style low-confidence systems label from backend/codegen context without explicit user-level numeric failure.
EG-AUDIT-056,EGNF1000-0015-981238c6,jax-ml/jax,21403,https://github.com/jax-ml/jax/issues/21403,jnp.cumsum is incorrect when sharding over summing axis on GPUs,bug,precision_tolerance,yes,medium,jnp.cumsum is incorrect when sharding over summing axis on GPUs ### Description I have this simple script below that tests `jnp.cumsum` when sharding along the same axis it is summing over.,Person A-style label: report gives expected-vs-actual or mismatched outputs; no clearer NaN/overflow/dtype root cause dominates.
EG-AUDIT-057,EGNF1000-0017-d48c4d74,jax-ml/jax,23100,https://github.com/jax-ml/jax/issues/23100,Passing `DeviceLocalLayout` to `jax.jit` causes incorrect outputs on GPU,bug,precision_tolerance,yes,medium,"Passing `DeviceLocalLayout` to `jax.jit` causes incorrect outputs on GPU ### Description When I pass a Layout with a `DeviceLocalLayout` to the `in_shardings` parameter of `jax.jit`, I get an incorrect output on a GPU.",Person A-style label: report gives expected-vs-actual or mismatched outputs; no clearer NaN/overflow/dtype root cause dominates.
EG-AUDIT-058,EGNF1000-0019-cef0461a,jax-ml/jax,32978,https://github.com/jax-ml/jax/issues/32978,BiCGStab Breakdown on GPU due to Order of Operations (not observed on CPU),bug,needs_review,no,low,"BiCGStab Breakdown on GPU due to Order of Operations (not observed on CPU) ### Description Hello, I'm using JAX-based linear solvers to solve PDEs, and I came across a potential bug in `jax.scipy.sparse.linalg.bicgstab`.",Insufficient explicit evidence in available excerpt; conservative needs_review.
EG-AUDIT-059,EGNF1000-0119-0aec2777,jax-ml/jax,27796,https://github.com/jax-ml/jax/issues/27796,xla_gpu_deterministic_ops=true breaks simple indexing in jax,bug,nan_inf,yes,high,"### System info (python version, jaxlib version, accelerator, etc.)",Person A-style label: explicit NaN/Inf/non-finite symptom.
EG-AUDIT-060,EGNF1000-0205-3beb1976,jax-ml/jax,24209,https://github.com/jax-ml/jax/issues/24209,Support new dot Precision API in Pallas,enhancement,api_feature_request,no,high,Support new dot Precision API in Pallas The new precision API has landed (https://github.com/jax-ml/jax/pull/24079).,Person A-style strict label: request/proposal/support tracker rather than a demonstrated numerical bug.
EG-AUDIT-061,EGNF1000-0237-c462c7fb,jax-ml/jax,25846,https://github.com/jax-ml/jax/issues/25846,'+ptx85' is not a recognized feature for this target (ignoring feature) ==> this issue occurs again,bug,needs_review,no,low,'+ptx85' is not a recognized feature for this target (ignoring feature) ==> this issue occurs again ### Description **This issue is marked as resolved (https://github.com/jax-ml/jax/issues/21121) with the jaxlib 0.4.28 but it still present ,Insufficient explicit evidence in available excerpt; conservative needs_review.
