expansion_id,repository,title,url,original_primary_failure,repaired_primary_failure,repaired_secondary_cause_labels,repair_rule,is_true_numerical_failure,confidence
EGNF1000-0186-45cf33ad,pytorch/pytorch,Conv2d kernel performance regression on CPU since PyTorch 1.9,https://github.com/pytorch/pytorch/issues/67797,compiler_codegen,performance_only,performance_regression|compiler_codegen,compiler_codegen_to_performance_only,no,medium
EGNF1000-0195-fc65d4ee,triton-lang/triton,triton always reports >0 register spills for kernels using sin/cos,https://github.com/triton-lang/triton/issues/1756,compiler_codegen,performance_only,precision_tolerance|compiler_codegen,compiler_codegen_to_performance_only,no,medium
EGNF1000-0205-3beb1976,jax-ml/jax,Support new dot Precision API in Pallas,https://github.com/jax-ml/jax/issues/24209,api_feature_request,not_numerical_failure,compiler_codegen|dtype_casting|precision_tolerance|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0211-58897d8f,pytorch/pytorch,GroupedMM triton template IMAs on B200,https://github.com/pytorch/pytorch/issues/163462,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0212-a84bd7e5,rapidsai/cudf,[FEA] signed 128-bit Integer Type,https://github.com/rapidsai/cudf/issues/3558,api_feature_request,not_numerical_failure,api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0217-66a7e5e7,pytorch/pytorch,DISABLED test_remove_noop_view_dtype_cpu (__main__.CpuTests),https://github.com/pytorch/pytorch/issues/151540,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0220-e3c838e9,rapidsai/cuml,[TASK] Increase parallelism or sparse normalization prims,https://github.com/rapidsai/cuml/issues/2819,compiler_codegen,performance_only,performance_regression|compiler_codegen,compiler_codegen_to_performance_only,no,medium
EGNF1000-0229-40672469,pytorch/pytorch,DISABLED test_return_aux_deprecation_warnings_cuda_float16 (__main__.TestFlexAttentionCUDA),https://github.com/pytorch/pytorch/issues/162464,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0234-1b786da9,apache/tvm,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend,https://github.com/apache/tvm/issues/18003,needs_review,crash_compile,precision_tolerance,needs_review_to_crash_compile,no,low
EGNF1000-0237-c462c7fb,jax-ml/jax,'+ptx85' is not a recognized feature for this target (ignoring feature) ==> this issue occurs again,https://github.com/jax-ml/jax/issues/25846,compiler_codegen,not_numerical_failure,api_feature_request|compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0240-3f72ab7f,rapidsai/cuml,[BUG] double free error on CentOS when import after torchvision.,https://github.com/rapidsai/cuml/issues/4359,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0243-c438c027,rapidsai/cuml,[BUG] Static build of CUML fails with cuvs::cuvs missing target,https://github.com/rapidsai/cuml/issues/7020,performance_regression,performance_only,api_feature_request,performance_regression_to_performance_only,no,medium
EGNF1000-0244-f9fda636,rapidsai/cuml,[FEA] Implement `adjusted_mutual_info_score`,https://github.com/rapidsai/cuml/issues/7294,needs_review,performance_only,performance_regression|api_feature_request,needs_review_to_performance_only,no,low
EGNF1000-0245-8db67c3b,triton-lang/triton,High kernel launch overhead,https://github.com/triton-lang/triton/issues/2637,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0249-b42d3cba,jax-ml/jax,Performance Issue Report: JAX Slower Than Autograd on GPU and CPU Setups,https://github.com/jax-ml/jax/issues/20948,needs_review,performance_only,precision_tolerance|performance_regression,needs_review_to_performance_only,no,low
EGNF1000-0252-1c9c43dd,rapidsai/cuml,[BUG] KMeansMG performance regression between 25.06 and 25.10,https://github.com/rapidsai/cuml/issues/7749,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0260-43ecbb7d,cupy/cupy,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim',https://github.com/cupy/cupy/issues/9103,compiler_codegen,crash_compile,compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0262-2a597689,numba/numba,Please add support for Metal as GPU accelerator,https://github.com/numba/numba/issues/5706,performance_regression,performance_only,api_feature_request,performance_regression_to_performance_only,no,medium
EGNF1000-0269-690306f7,jax-ml/jax,"`jax.numpy.linalg.norm(A, 2)` uses lax svd, which is slower than eigh",https://github.com/jax-ml/jax/issues/32873,performance_regression,performance_only,unknown,performance_regression_to_performance_only,no,high
EGNF1000-0270-db8a3ff2,jax-ml/jax,any suggestions on how to improve performance for gradient step with odeint?,https://github.com/jax-ml/jax/issues/3993,performance_regression,performance_only,unknown,performance_regression_to_performance_only,no,high
EGNF1000-0271-e4672126,rapidsai/cuml,[BUG] T-SNE freezing in benchmarks,https://github.com/rapidsai/cuml/issues/2358,needs_review,performance_only,unknown,needs_review_to_performance_only,no,low
EGNF1000-0272-3649d788,rapidsai/cuml,Transition to new array input validation system,https://github.com/rapidsai/cuml/issues/7428,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0273-5a5cd273,rapidsai/cuml,Update README to have performance best practices tips and clear call out to benchmarks notebook.,https://github.com/rapidsai/cuml/issues/778,performance_regression,performance_only,unknown,performance_regression_to_performance_only,no,high
EGNF1000-0284-edad17f7,numba/numba,Numba can't vectorize simple loop,https://github.com/numba/numba/issues/5139,compiler_codegen,performance_only,precision_tolerance|performance_regression|compiler_codegen,compiler_codegen_to_performance_only,no,medium
EGNF1000-0289-99eab5d4,cupy/cupy,"Error when including `mma.h`: instance of overloaded function ""__half::__half"" matches the specified type",https://github.com/cupy/cupy/issues/8146,performance_regression,performance_only,compiler_codegen|crash_compile,performance_regression_to_performance_only,no,medium
EGNF1000-0294-07629504,triton-lang/triton,Convert triton tutorial into LLVM IR and Documentations,https://github.com/triton-lang/triton/issues/2743,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0296-0d03f27d,triton-lang/triton,[RFC] Exposing Scratch Buffer in ReduceOp to Eliminate Redundant Layout Conversion,https://github.com/triton-lang/triton/issues/8775,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0297-25649c58,triton-lang/triton,Add support for triangular solve operation.,https://github.com/triton-lang/triton/issues/3921,api_feature_request,not_numerical_failure,compiler_codegen|performance_regression|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0298-7440eabe,triton-lang/triton,[RFC] Improving Coalescing and Layout Propagation,https://github.com/triton-lang/triton/issues/8706,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0299-027dd47a,apache/tvm,[Bug] build arm on windows broken,https://github.com/apache/tvm/issues/16265,compiler_codegen,not_numerical_failure,dtype_casting|precision_tolerance|api_feature_request|compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0306-88f8d112,jax-ml/jax,Incorrect cost_analysis() Flop Count on GPU for Dense layer/Dot product,https://github.com/jax-ml/jax/issues/22249,needs_review,crash_compile,unknown,needs_review_to_crash_compile,no,low
EGNF1000-0315-0fb0588d,jax-ml/jax,Feature request: linalg.eig using nvidia cusolver,https://github.com/jax-ml/jax/issues/27265,api_feature_request,not_numerical_failure,performance_regression|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0316-15c4965d,jax-ml/jax,Array API `default_device()` and `devices()` are incorrect,https://github.com/jax-ml/jax/issues/27606,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0317-3506c4b1,jax-ml/jax,conv_general_dilated fails on older GPUs (compute cap < 7.5),https://github.com/jax-ml/jax/issues/33224,needs_review,crash_compile,unknown,needs_review_to_crash_compile,no,low
EGNF1000-0320-05b7809e,jax-ml/jax,Unexpected result involving `scan` and `vmap`,https://github.com/jax-ml/jax/issues/36958,needs_review,not_numerical_failure,precision_tolerance,needs_review_to_not_numerical_failure,no,low
EGNF1000-0321-acda9578,numba/numba,Result caching in Numba,https://github.com/numba/numba/issues/4062,needs_review,not_numerical_failure,precision_tolerance|performance_regression,needs_review_to_not_numerical_failure,no,low
EGNF1000-0322-68f1c2f4,numba/numba,Too slow jit compilation of a function,https://github.com/numba/numba/issues/5696,performance_regression,performance_only,compiler_codegen|crash_compile,performance_regression_to_performance_only,no,high
EGNF1000-0323-bfdd4c1e,pytorch/pytorch,NCCL ISend is not asynchronous,https://github.com/pytorch/pytorch/issues/108378,compiler_codegen,crash_compile,compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0327-d7df502c,pytorch/pytorch,Illegal Memory Access With `torch.compile`,https://github.com/pytorch/pytorch/issues/139628,compiler_codegen,crash_compile,compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0328-c086b924,pytorch/pytorch,Consider relaxing torch.cond's requirement that the outputs of each branch have matching requires_grad metadata,https://github.com/pytorch/pytorch/issues/141259,needs_review,not_numerical_failure,api_feature_request,needs_review_to_not_numerical_failure,no,low
EGNF1000-0329-a819a3c4,pytorch/pytorch,rope perf improvement,https://github.com/pytorch/pytorch/issues/141265,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0331-0e4bf0ac,pytorch/pytorch,linear + relu don't fuse,https://github.com/pytorch/pytorch/issues/152101,compiler_codegen,crash_compile,precision_tolerance|compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0336-b7b5db56,pytorch/pytorch,"[ROCm] MIOpen 3D convolution kernel fails with ""invalid configuration argument"" for Qwen2.5-VL vision encoder - silent fallback causes severe performance regression",https://github.com/pytorch/pytorch/issues/169857,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0342-9bffee42,pytorch/pytorch,Missing CSE in TorchInductor,https://github.com/pytorch/pytorch/issues/180957,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0344-80405f35,rapidsai/cudf,[BUG] AllocateLikeTest fails when run with CUDA memory resource,https://github.com/rapidsai/cudf/issues/11247,needs_review,crash_compile,precision_tolerance,needs_review_to_crash_compile,no,low
EGNF1000-0345-7e65d73e,rapidsai/cudf,"[DOC] Fix and/or remove cuda.h ""File Not Found"" warning in our 10 Minutes docs.",https://github.com/rapidsai/cudf/issues/12630,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0348-31208fbf,rapidsai/cudf,[BUG] Jitify error on exit from gtests built with Debug,https://github.com/rapidsai/cudf/issues/17583,compiler_codegen,crash_compile,compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0349-86b91506,rapidsai/cudf,[FEA] Timezone conversions for timestamps,https://github.com/rapidsai/cudf/issues/2477,api_feature_request,not_numerical_failure,api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0353-7cb4c65c,numba/numba,Slow prange/bad parallelization,https://github.com/numba/numba/issues/7246,performance_regression,performance_only,compiler_codegen,performance_regression_to_performance_only,no,high
EGNF1000-0354-b6ebc2c3,triton-lang/triton,"[""RFC""] Adding end-to-end regression tests",https://github.com/triton-lang/triton/issues/1603,performance_regression,performance_only,unknown,performance_regression_to_performance_only,no,medium
EGNF1000-0358-53d33643,cupy/cupy,About unified memory in Cupy,https://github.com/cupy/cupy/issues/3127,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0366-b083cdc9,cupy/cupy,Issue with piecewise log functions in Sympy->Cupy lambdify chain,https://github.com/cupy/cupy/issues/7872,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0372-14a7ddc5,numba/numba,paralled numpy array error:,https://github.com/numba/numba/issues/4438,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0373-b07693d9,numba/numba,Python 3.9 Support,https://github.com/numba/numba/issues/6345,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0376-5d6a557c,numba/numba,float128 support,https://github.com/numba/numba/issues/8830,api_feature_request,not_numerical_failure,api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0377-e9c1c448,numba/numba,"Unexpected ""CUDA error: the launch timed out and was terminated"" or `CUDA_ERROR_LAUNCH_TIMEOUT`",https://github.com/numba/numba/issues/9381,compiler_codegen,not_numerical_failure,precision_tolerance|performance_regression|compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0380-4be61aa7,triton-lang/triton,"Do tensors and corresponding operators such as reshape, ravel, dot in triton support >=3 dimensions?",https://github.com/triton-lang/triton/issues/1129,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0388-44da768e,jax-ml/jax,simple pallas kernel hangs when input size exceeds some threshold,https://github.com/jax-ml/jax/issues/21282,performance_regression,performance_only,compiler_codegen|dtype_casting|crash_compile,performance_regression_to_performance_only,no,high
EGNF1000-0418-9d93ce90,pytorch/pytorch,"`torch.bmm`+`torch.compile` no longer works in 2.9, but worked in 2.8",https://github.com/pytorch/pytorch/issues/165892,performance_regression,performance_only,compiler_codegen|dtype_casting|crash_compile,performance_regression_to_performance_only,no,medium
EGNF1000-0455-a55146cf,jax-ml/jax,Add an `unroll` parameter to `while_loop`,https://github.com/jax-ml/jax/issues/35702,compiler_codegen,performance_only,performance_regression|api_feature_request|compiler_codegen,compiler_codegen_to_performance_only,no,medium
EGNF1000-0476-7634b988,jax-ml/jax,[CPU] `np.linalg.eigh` outputs NaNs for matrix side size >=32767,https://github.com/jax-ml/jax/issues/10420,needs_review,not_numerical_failure,api_feature_request,needs_review_to_not_numerical_failure,no,low
EGNF1000-0508-87d6352f,jax-ml/jax,Support FP8 GEMM kernels which are already support in OpenXLA.,https://github.com/jax-ml/jax/issues/17176,api_feature_request,not_numerical_failure,compiler_codegen|dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0510-1dbde10d,jax-ml/jax,FFT implementation in float16,https://github.com/jax-ml/jax/issues/17954,performance_regression,performance_only,compiler_codegen|dtype_casting|crash_compile,performance_regression_to_performance_only,no,medium
EGNF1000-0511-c0160bf1,jax-ml/jax,JAX segment_sum is two times slower for FP16 inputs than FP32 inputs,https://github.com/jax-ml/jax/issues/23136,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0515-471e3424,jax-ml/jax,FP16 is considerably slower than FP32 on ROCm,https://github.com/jax-ml/jax/issues/30548,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0517-9e20e692,jax-ml/jax,"Extremely slow performance of ""solve"" under JAX with bfloat16 and cuda configuration",https://github.com/jax-ml/jax/issues/34748,performance_regression,performance_only,dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0522-71a2c17a,pytorch/pytorch,Duplicate SDPA Input Constraints,https://github.com/pytorch/pytorch/issues/175833,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0525-4609c834,rapidsai/cudf,"[BUG] libcudf build error: missing binary operator before token ""(""`",https://github.com/rapidsai/cudf/issues/12583,compiler_codegen,crash_compile,compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0527-629ee76a,rapidsai/cuml,[BUG] Dask Multi-GPU logistic regression should convert dtypes if needed rather than fail,https://github.com/rapidsai/cuml/issues/5552,performance_regression,performance_only,dtype_casting,performance_regression_to_performance_only,no,medium
EGNF1000-0540-9923a347,jax-ml/jax,FP8 XLA matmul fusion into `__cublas$lt$matmul$f8` not fully working,https://github.com/jax-ml/jax/issues/22313,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0541-7596e626,jax-ml/jax,Error compile: make_batch_pointers.cu.cc failed: undeclared inclusion(s),https://github.com/jax-ml/jax/issues/23573,compiler_codegen,crash_compile,api_feature_request|compiler_codegen,compiler_codegen_to_crash_compile,no,medium
EGNF1000-0563-837b6a88,pytorch/pytorch,Wishart: problems with singular samples.,https://github.com/pytorch/pytorch/issues/122021,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0578-f29ba210,rapidsai/cudf,[FEA] category dtype support in parquet reader,https://github.com/rapidsai/cudf/issues/12497,api_feature_request,not_numerical_failure,dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0585-e83587d7,rapidsai/cudf,[BUG] Series setitem raises for safe cases in pandas compatibility mode,https://github.com/rapidsai/cudf/issues/20720,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0606-2506ee32,jax-ml/jax,Bfloat16 matrix multiply is slower than FP16 on A100,https://github.com/jax-ml/jax/issues/11705,performance_regression,performance_only,dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0607-ba90f2c9,jax-ml/jax,Wider support for FP8 datatypes,https://github.com/jax-ml/jax/issues/16673,performance_regression,performance_only,dtype_casting|api_feature_request,performance_regression_to_performance_only,no,medium
EGNF1000-0609-e556bed8,jax-ml/jax,`jax.lax.random_gamma_grad` has very slow convergence for large inputs,https://github.com/jax-ml/jax/issues/21352,needs_review,performance_only,performance_regression,needs_review_to_performance_only,no,low
EGNF1000-0627-71bd8bb3,pytorch/pytorch,Issue with Shared CUDA Tensor Reference Counting in Multi-Processing,https://github.com/pytorch/pytorch/issues/149187,compiler_codegen,not_numerical_failure,precision_tolerance|compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0635-1784c420,pytorch/pytorch,`torch.scatter_reduce` CPU performance regression (~15–58×) introduced in 2.13.0.,https://github.com/pytorch/pytorch/issues/183812,performance_regression,performance_only,dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0650-1ec14508,rapidsai/cuml,[BUG] RandomForestClassifier No attribute predict_model_on_cpu when it should ?,https://github.com/rapidsai/cuml/issues/5008,needs_review,not_numerical_failure,precision_tolerance,needs_review_to_not_numerical_failure,no,low
EGNF1000-0656-dfb51d0b,rapidsai/cuml,[BUG] `SVR.fit` issues when prefetching enabled,https://github.com/rapidsai/cuml/issues/7842,needs_review,not_numerical_failure,api_feature_request,needs_review_to_not_numerical_failure,no,low
EGNF1000-0664-a1d2fd78,triton-lang/triton,"For split_k > 1, microscaling works incorrectly.",https://github.com/triton-lang/triton/issues/8518,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0688-5bc543cf,rapidsai/cudf,[FEA] Optimize str.split().list.get() via fused lazy extraction (~160x speedup observed),https://github.com/rapidsai/cudf/issues/21042,api_feature_request,not_numerical_failure,compiler_codegen|performance_regression|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0690-c479bb32,rapidsai/cuml,ARIMA performance tracker,https://github.com/rapidsai/cuml/issues/2912,api_feature_request,not_numerical_failure,compiler_codegen|performance_regression|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0691-283bcac7,rapidsai/cuml,[BUG] Sporadic failure in test_kbinsdiscretizer with uniform strategy,https://github.com/rapidsai/cuml/issues/3481,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0694-f9c5c00b,rapidsai/cuml,[QST] UMAP memory usage: out_of_memory MemoryError,https://github.com/rapidsai/cuml/issues/5685,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0695-cdf254ae,rapidsai/cuml,Serialization problem with GridSearchCV,https://github.com/rapidsai/cuml/issues/6046,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0707-000d7be3,triton-lang/triton,[Perf] TMA descriptor load followed by reduce regresses in 3.6.0 compared to 3.5.1,https://github.com/triton-lang/triton/issues/9703,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0716-bd77ee48,jax-ml/jax,add jax_debug_infs to docs,https://github.com/jax-ml/jax/issues/17722,api_feature_request,not_numerical_failure,api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0727-be426ba1,jax-ml/jax,Performance regression in batched jnp.linalg.solve on CPU from jax/jaxlib 0.9.2 to 0.10.0,https://github.com/jax-ml/jax/issues/36927,performance_regression,performance_only,dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0742-c877324b,rapidsai/cudf,[FEA] Improve dtype dispatch patterns in Python,https://github.com/rapidsai/cudf/issues/12495,api_feature_request,not_numerical_failure,dtype_casting|precision_tolerance|performance_regression|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0743-fed77930,rapidsai/cudf,[FEA] Support more dtypes in JIT GroupBy `apply`,https://github.com/rapidsai/cudf/issues/12608,api_feature_request,not_numerical_failure,dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0744-773f77f4,rapidsai/cudf,[FEA] Check dtype requirements on multiindex codes,https://github.com/rapidsai/cudf/issues/14472,api_feature_request,not_numerical_failure,dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0745-439889fa,rapidsai/cudf,[FEA] Use more performant dtype introspection utility in `select_dtypes`,https://github.com/rapidsai/cudf/issues/18219,api_feature_request,not_numerical_failure,dtype_casting|precision_tolerance|performance_regression|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0754-039d1b31,rapidsai/cudf,[FEA] Adapt to `Series.str.cat` index dtype changes in pandas 3.0,https://github.com/rapidsai/cudf/issues/21123,api_feature_request,not_numerical_failure,dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0757-f9fdcc15,rapidsai/cudf,[JNI][DOC] Proposal for standardized code examples in Java docstrings,https://github.com/rapidsai/cudf/issues/21180,needs_review,not_numerical_failure,api_feature_request,needs_review_to_not_numerical_failure,no,low
EGNF1000-0759-72ab411f,rapidsai/cudf,[BUG]: pyarrow 24 compatibility,https://github.com/rapidsai/cudf/issues/22229,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0764-6ee6b355,rapidsai/cudf,[FEA] A `cudf.dtype` function similar to `np.dtype(...)`,https://github.com/rapidsai/cudf/issues/8915,api_feature_request,not_numerical_failure,dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0765-f0508b7d,rapidsai/cudf,[FEA] Supporting `timedelta64` dtypes for ceil/floor operations,https://github.com/rapidsai/cudf/issues/9561,api_feature_request,not_numerical_failure,dtype_casting|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
