audit_id,blind_id,repository,issue_number,url,title,github_labels,person_a_primary_failure,person_a_is_true_numerical_failure,person_a_confidence,person_a_evidence_quote,person_a_notes,person_b_primary_failure,person_b_is_true_numerical_failure,person_b_confidence,person_b_evidence_quote,person_b_notes,adjudicated_primary_failure,adjudicated_is_true_numerical_failure,adjudicated_confidence,adjudication_reason
EG-AUDIT-011,EGNF1000-0268-b9408abe,cupy/cupy,9402,https://github.com/cupy/cupy/issues/9402,CuPy cannot find `nvcc` despite it being in `/usr/local/cuda/bin` which is the Cuda root,issue-checked,crash_compile,no,high,"(mrakgr) mrakgr@Marko:~/Spiral-s-ML-Library$ /home/mrakgr/.venv/bin/python /home/mrakgr/Spiral-s-ML-Library/tests/test20.py Traceback (most recent call last): File ""/home/mrakgr/Spiral-s-ML-Library/tests/test20.py"", line 70, in <module> if",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,"(mrakgr) mrakgr@Marko:~/Spiral-s-ML-Library$ /home/mrakgr/.venv/bin/python /home/mrakgr/Spiral-s-ML-Library/tests/test20.py Traceback (most recent call last): File ""/home/mrakgr/Spiral-s-ML-Library/tests/test20.py"", line 70, in <module> if",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The main failure is that CuPy cannot find nvcc and raises a runtime error.
EG-AUDIT-012,EGNF1000-0281-b85943ee,cupy/cupy,2157,https://github.com/cupy/cupy/issues/2157,ImportError: cannot import name 'core' from 'cupy.core',,nan_inf,yes,high,ImportError: cannot import name 'core' from 'cupy.core' I'm experiencing problems when installing the latest version of cupy on two of my arch linux boxes.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,nan_inf,yes,high,ImportError: cannot import name 'core' from 'cupy.core' I'm experiencing problems when installing the latest version of cupy on two of my arch linux boxes.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The report is an ImportError when importing CuPy.
EG-AUDIT-013,EGNF1000-0288-169e6f14,cupy/cupy,7565,https://github.com/cupy/cupy/issues/7565,Failed to import CuPy,issue-checked,crash_compile,no,high,"Failed to import CuPy ### Description I updated my nvidia driver `nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2023 NVIDIA Corporation Built on Mon_Apr__3_17:16:06_PDT_2023 Cuda compilation tools, release 12.1, V12.1.105 Build c",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,"Failed to import CuPy ### Description I updated my nvidia driver `nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2023 NVIDIA Corporation Built on Mon_Apr__3_17:16:06_PDT_2023 Cuda compilation tools, release 12.1, V12.1.105 Build c",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The issue is a failure to import CuPy after a CUDA/driver update.
EG-AUDIT-014,EGNF1000-0290-12f94739,cupy/cupy,8226,https://github.com/cupy/cupy/issues/8226,Failed to import CuPy,cat:bug,crash_compile,no,high,"Failed to import CuPy ### Description After installing cupy, the following error occurs when loading cupy: \>>> import cupy Traceback (most recent call last): File ""/home/zhhuo/rl_llm_py_product/venv/lib64/python3.9/site-packages/cupy/__ini",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,"Failed to import CuPy ### Description After installing cupy, the following error occurs when loading cupy: \>>> import cupy Traceback (most recent call last): File ""/home/zhhuo/rl_llm_py_product/venv/lib64/python3.9/site-packages/cupy/__ini",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The main reported symptom is a traceback during CuPy import.
EG-AUDIT-015,EGNF1000-0291-7d9edfa8,cupy/cupy,9163,https://github.com/cupy/cupy/issues/9163,Failed to install with `poetry add cupy`,issue-checked,crash_compile,no,medium,Failed to install with `poetry add cupy` ### Description Attempting to install with `poetry add cupy` in a near empty project (`poetry new spiky`) outputs a very large number of warnings and errors which ultimately leads to it failings to i,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,medium,Failed to install with `poetry add cupy` ### Description Attempting to install with `poetry add cupy` in a near empty project (`poetry new spiky`) outputs a very large number of warnings and errors which ultimately leads to it failings to i,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The dominant problem is installation failure with build errors.
EG-AUDIT-016,EGNF1000-0302-95537cbd,cupy/cupy,6277,https://github.com/cupy/cupy/issues/6277,CURAND_STATUS_INITIALIZATION_FAILED,issue-checked,crash_compile,no,high,CURAND_STATUS_INITIALIZATION_FAILED ### Description Not sure this is actually a bug.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,precision_tolerance,yes,high,CURAND_STATUS_INITIALIZATION_FAILED ### Description Not sure this is actually a bug.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,CURAND_STATUS_INITIALIZATION_FAILED is a runtime initialization failure.
EG-AUDIT-017,EGNF1000-0361-3b70906b,cupy/cupy,4660,https://github.com/cupy/cupy/issues/4660,Catch incompatible CUDA version,cat:enhancement|prio:low,crash_compile,no,medium,Catch incompatible CUDA version CuPy version: 8.4 Platform: Debian Linux CUDA: 11.2 Installed from source (`pip install cupy`) It would be very nice if cupy could throw a clear (or more clear) error message if the installed CUDA version doe,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,medium,Catch incompatible CUDA version CuPy version: 8.4 Platform: Debian Linux CUDA: 11.2 Installed from source (`pip install cupy`) It would be very nice if cupy could throw a clear (or more clear) error message if the installed CUDA version doe,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,not_numerical_failure,no,medium,"The issue asks for clearer handling of incompatible CUDA versions, not a numerical bug."
EG-AUDIT-018,EGNF1000-0257-f1fa726d,apache/tvm,6486,https://github.com/apache/tvm/issues/6486,TVM v0.7 Release Note Candidate,,nan_inf,yes,high,"We have also bought many exciting new features, some highlights include: - Initial automatic scheduling support - Initial command line driver interface - WebGPU and webassembly support - Better first class rust support in the codebase - Int",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,"We have also bought many exciting new features, some highlights include: - Initial automatic scheduling support - Initial command line driver interface - WebGPU and webassembly support - Better first class rust support in the codebase - Int",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,not_numerical_failure,no,high,"This is a release note candidate, not an issue reporting failure behavior."
EG-AUDIT-019,EGNF1000-0352-cd2c8be1,apache/tvm,19534,https://github.com/apache/tvm/issues/19534,[Tracking Issue][TFLite] Support quantized operator import in Relax frontend,,dtype_casting,yes,medium,[Tracking Issue][TFLite] Support quantized operator import in Relax frontend ## Problem The Relax TFLite frontend currently has two related blockers for quantized TFLite import.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,yes,medium,[Tracking Issue][TFLite] Support quantized operator import in Relax frontend ## Problem The Relax TFLite frontend currently has two related blockers for quantized TFLite import.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,unclear,medium,The tracking issue concerns quantized operator import and dtype-related frontend support.
EG-AUDIT-020,EGNF1000-0010-2e91f962,cupy/cupy,8404,https://github.com/cupy/cupy/issues/8404,ndimage.correlate does not support `mode='grid-constant'`,contribution welcome|cat:feature|prio:medium,dtype_casting,yes,high,"In [1]: import cupy as xp In [2]: from cupyx.scipy import ndimage as c_ndi In [3]: c_ndi.correlate(xp.array([[1, 2, 3], ...: [4, 5, 6]], dtype=xp.int8), ...: xp.array([[1., 0.], ...: [0., 1.]], dtype=xp.float32), ...: mode='grid-constant')",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,high,"In [1]: import cupy as xp In [2]: from cupyx.scipy import ndimage as c_ndi In [3]: c_ndi.correlate(xp.array([[1, 2, 3], ...: [4, 5, 6]], dtype=xp.int8), ...: xp.array([[1., 0.], ...: [0., 1.]], dtype=xp.float32), ...: mode='grid-constant')",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,medium,The main issue is unsupported mode behavior that triggers failure rather than wrong numeric values.
EG-AUDIT-021,EGNF1000-0666-8c31e9dd,cupy/cupy,9106,https://github.com/cupy/cupy/issues/9106,CUDA_ERROR_NO_BINARY_FOR_GPU ( on 5080 / sm_120),issue-checked,dtype_casting,yes,high,"Installs fine with: > pip install cupy-cuda12x > pip freeze | grep cupy > cupy-cuda12x==13.4.1 > If I run any of the examples from the cupy repo, I can reproduce the error (i.e.",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,high,"Installs fine with: > pip install cupy-cuda12x > pip freeze | grep cupy > cupy-cuda12x==13.4.1 > If I run any of the examples from the cupy repo, I can reproduce the error (i.e.",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,high,The report centers on CUDA_ERROR_NO_BINARY_FOR_GPU and inability to run kernels.
EG-AUDIT-022,EGNF1000-0709-e6bd073f,cupy/cupy,1198,https://github.com/cupy/cupy/issues/1198,"`cupy.cuda.function.Function` expects `grid` & `block` as (w, h) but convention is (h, w)",issue-checked,nan_inf,yes,high,"# to be run a Jupyter notebook for visualization %matplotlib inline import matplotlib.pylab as plt import cupy as cp # initialize to avoid ""context is destroyed"" error a = cp.zeros((10, 10), dtype=cp.float32) def _get_NaiveXY(): cuda_lib =",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,"# to be run a Jupyter notebook for visualization %matplotlib inline import matplotlib.pylab as plt import cupy as cp # initialize to avoid ""context is destroyed"" error a = cp.zeros((10, 10), dtype=cp.float32) def _get_NaiveXY(): cuda_lib =",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,not_numerical_failure,no,medium,"The issue concerns API grid/block ordering conventions, not numerical correctness."
EG-AUDIT-023,EGNF1000-0116-050cd426,jax-ml/jax,26684,https://github.com/jax-ml/jax/issues/26684,Pallas `matmul` doesn't match `jnp.matmul` with `interpret=True`,bug,dtype_casting,yes,medium,"python !pip install -U --pre jax jaxlib ""jax-cuda12-plugin[with_cuda]"" jax-cuda12-pjrt -f https://storage.googleapis.com/jax-releases/jax_nightly_releases.html from functools import partial import jax from jax.experimental import pallas as",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,yes,medium,"python !pip install -U --pre jax jaxlib ""jax-cuda12-plugin[with_cuda]"" jax-cuda12-pjrt -f https://storage.googleapis.com/jax-releases/jax_nightly_releases.html from functools import partial import jax from jax.experimental import pallas as",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,precision_tolerance,yes,high,Pallas matmul produces results that do not match jnp.matmul.
EG-AUDIT-024,EGNF1000-0208-5fa50305,jax-ml/jax,36008,https://github.com/jax-ml/jax/issues/36008,cudnn dot_product_attention backward drops manual sharding axes inside shard_map,bug,dtype_casting,yes,medium,"cudnn dot_product_attention backward drops manual sharding axes inside shard_map ### Description ### Description When using jax.nn.dot_product_attention with implementation=""cudnn"" inside a jax.shard_map body, the backward pass (VJP) produc",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,medium,"cudnn dot_product_attention backward drops manual sharding axes inside shard_map ### Description ### Description When using jax.nn.dot_product_attention with implementation=""cudnn"" inside a jax.shard_map body, the backward pass (VJP) produc",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,unclear,medium,The sharding-axis issue appears to be an execution/compiler failure rather than a clear numeric mismatch.
EG-AUDIT-025,EGNF1000-0304-34da1fd3,jax-ml/jax,19490,https://github.com/jax-ml/jax/issues/19490,`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap`,bug,nan_inf,yes,high,"`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap` ### Description In the following code, large masked-out values seem to make the gradient infeasible.",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,"`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap` ### Description In the following code, large masked-out values seem to make the gradient infeasible.",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,The report explicitly concerns numerical instability in softmax/log_softmax.
EG-AUDIT-026,EGNF1000-0405-3afe4db3,jax-ml/jax,17198,https://github.com/jax-ml/jax/issues/17198,JAX dtype conversion seems incorrect,bug,nan_inf,yes,high,JAX dtype conversion seems incorrect ### Description for a floating point number -1.6171875.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,JAX dtype conversion seems incorrect ### Description for a floating point number -1.6171875.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,yes,high,The title and evidence describe incorrect dtype conversion.
EG-AUDIT-027,EGNF1000-0429-420d139f,jax-ml/jax,18573,https://github.com/jax-ml/jax/issues/18573,"On GPU, jnp.min incorrectly returns 0 when reducing multiple axes over FP16 array",bug|XLA|NVIDIA GPU,dtype_casting,yes,high,"import jax from jax import random, numpy as jnp a = jnp.ones((2, 16385, 1), dtype=jnp.float16) @jax.jit def reduce_axes12(a): return jnp.min(a, axis=(1, 2)) mins = reduce_axes12(a) print(mins) # Prints [0.",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,yes,high,"import jax from jax import random, numpy as jnp a = jnp.ones((2, 16385, 1), dtype=jnp.float16) @jax.jit def reduce_axes12(a): return jnp.min(a, axis=(1, 2)) mins = reduce_axes12(a) print(mins) # Prints [0.",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,precision_tolerance,yes,high,The visible failure is an incorrect min reduction result on an FP16 array.
EG-AUDIT-028,EGNF1000-0430-15ee5c57,jax-ml/jax,18595,https://github.com/jax-ml/jax/issues/18595,Pallas FlashAttention fails with bfloat16 activations on TPU v3,bug|TPU|pallas,nan_inf,yes,high,Pallas FlashAttention fails with bfloat16 activations on TPU v3 ### Description Running:,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,Pallas FlashAttention fails with bfloat16 activations on TPU v3 ### Description Running:,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,unclear,medium,"The failure is tied to bfloat16 activations, so dtype support is the dominant issue."
EG-AUDIT-029,EGNF1000-0454-2f6109c1,jax-ml/jax,35493,https://github.com/jax-ml/jax/issues/35493,`jax.random.weibull_min` uses shape and dtype information incorrectly,bug,nan_inf,yes,high,`jax.random.weibull_min` uses shape and dtype information incorrectly ### Description There are two related problems with how `jax.random.weibull_min` uses the shapes and dtypes of the `scale` and `concentration` arguments and its own `shap,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,`jax.random.weibull_min` uses shape and dtype information incorrectly ### Description There are two related problems with how `jax.random.weibull_min` uses the shapes and dtypes of the `scale` and `concentration` arguments and its own `shap,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,yes,high,The report says shape and dtype information are used incorrectly.
EG-AUDIT-030,EGNF1000-0479-4e142639,jax-ml/jax,26227,https://github.com/jax-ml/jax/issues/26227,"jax.ops.segment_sum is 100x slower when segment_ids are sorted, but only for float16",bug|NVIDIA GPU,nan_inf,yes,high,"jax.ops.segment_sum is 100x slower when segment_ids are sorted, but only for float16 ### Description `jax.ops.segment_sum` is more than 100x slower when `segment_ids` are sorted.",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,"jax.ops.segment_sum is 100x slower when segment_ids are sorted, but only for float16 ### Description `jax.ops.segment_sum` is more than 100x slower when `segment_ids` are sorted.",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,performance_only,no,high,The dominant complaint is that segment_sum is 100x slower for float16.
EG-AUDIT-031,EGNF1000-0481-4549be35,jax-ml/jax,30176,https://github.com/jax-ml/jax/issues/30176,"bfloat16, float16 not supported by lax.linalg.qr, scipy.linalg.expm",bug,nan_inf,yes,high,"bfloat16, float16 not supported by lax.linalg.qr, scipy.linalg.expm ### Description The following functions do not support [`bfloat16`](https://docs.jax.dev/en/latest/_autosummary/jax.dtypes.bfloat16.html) or [`float16`](https://docs.jax.de",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,"bfloat16, float16 not supported by lax.linalg.qr, scipy.linalg.expm ### Description The following functions do not support [`bfloat16`](https://docs.jax.dev/en/latest/_autosummary/jax.dtypes.bfloat16.html) or [`float16`](https://docs.jax.de",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,dtype_casting,unclear,medium,The issue is missing support for bfloat16/float16 in linear algebra functions.
EG-AUDIT-032,EGNF1000-0485-15133c86,jax-ml/jax,36691,https://github.com/jax-ml/jax/issues/36691,jax.export.deserialize().call() fails with internal XLA error for shard_map across 2x2 mesh,bug,nan_inf,yes,high,jax.export.deserialize().call() fails with internal XLA error for shard_map across 2x2 mesh ### Description Here is the repro:,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,jax.export.deserialize().call() fails with internal XLA error for shard_map across 2x2 mesh ### Description Here is the repro:,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,high,The report describes an internal XLA error during exported shard_map execution.
EG-AUDIT-033,EGNF1000-0486-f74e7ee7,jax-ml/jax,37029,https://github.com/jax-ml/jax/issues/37029,TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128,bug,nan_inf,yes,high,"TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128 ### Description # XLA:TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128 **Date:** 2026-04-21 **Backend:** TPU v6e (single chip, Google Clo",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,nan_inf,yes,high,"TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128 ### Description # XLA:TPU `IsFusibleUnalignedDUS` crash on LLaMA rotate-half RoPE at head_dim=128 **Date:** 2026-04-21 **Backend:** TPU v6e (single chip, Google Clo",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=dtype_casting.,crash_compile,no,high,The issue is explicitly a TPU crash.
