expansion_id,repository,title,url,candidate_primary_failure,tfidf_linear_svm_prediction,tfidf_logistic_prediction,bigram_tfidf_logistic_prediction,naive_bayes_prediction,bm25_knn_prediction,vote_prediction,vote_count,vote_margin,vote_confidence,human_gold_status
EGNF1000-0015-981238c6,jax-ml/jax,jnp.cumsum is incorrect when sharding over summing axis on GPUs,https://github.com/jax-ml/jax/issues/21403,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0016-55789c66,jax-ml/jax,jax.scipy.special.hyp1f1 unstable where scipy.special.hyp1f1 is not,https://github.com/jax-ml/jax/issues/21503,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0017-d48c4d74,jax-ml/jax,Passing `DeviceLocalLayout` to `jax.jit` causes incorrect outputs on GPU,https://github.com/jax-ml/jax/issues/23100,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0018-c1d7a214,jax-ml/jax,[Pallas GPU] `jnp.abs()` gives the wrong result,https://github.com/jax-ml/jax/issues/23191,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0019-cef0461a,jax-ml/jax,BiCGStab Breakdown on GPU due to Order of Operations (not observed on CPU),https://github.com/jax-ml/jax/issues/32978,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0020-b0121c48,jax-ml/jax,Segmentation fault after upgrading to CUDA 13,https://github.com/jax-ml/jax/issues/34696,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0021-abc8c483,pytorch/pytorch,[inductor] [cpu] [[silence] `nn.ConvTranspose2d-F.dropout` and `nn.Conv2d-F.dropout` outputs inconsistent results with eager,https://github.com/pytorch/pytorch/issues/148061,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0022-00d89d9d,pytorch/pytorch,[inductor] [cpu] [silent incorrectness] `nn.LazyConvTranspose2d-torch.randn-F.linear-torch.argmax` output incorrect results on CPU inductor,https://github.com/pytorch/pytorch/issues/151525,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0023-c9a13367,pytorch/pytorch,[Flex Flash] Track down why different strided closures,https://github.com/pytorch/pytorch/issues/166789,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0024-88501746,rapidsai/cudf,[BUG] Unable to retrieve `Decimal` types correctly when read via `pandas.read_parquet`,https://github.com/rapidsai/cudf/issues/10172,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0025-e36488c5,rapidsai/cudf,[BUG]CUDA_ERROR_NO_DEVICE,https://github.com/rapidsai/cudf/issues/14343,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0026-e5001a98,rapidsai/cudf,[BUG] Performance regression in cuDF after #14679,https://github.com/rapidsai/cudf/issues/14886,performance_only,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0027-217eae8d,rapidsai/cudf,[BUG] Rolling window aggregations are very slow with large windows,https://github.com/rapidsai/cudf/issues/15119,performance_only,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0028-3ed20a82,rapidsai/cudf,[BUG] Consider disabling managed memory in cudf.pandas on WSL2,https://github.com/rapidsai/cudf/issues/16551,performance_only,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0029-4273c759,rapidsai/cudf,[QST] Potential I/O Performance Improvement with cuFile Buffer Registration?,https://github.com/rapidsai/cudf/issues/18309,performance_only,dtype_casting,dtype_casting,dtype_casting,performance_only,dtype_casting,dtype_casting,4,2,medium,suggestion_only_not_gold
EGNF1000-0030-26ec4481,rapidsai/cudf,[BUG]: apply_rows with Numba CUDA Kernel for Boolean Output Inconsistently Returns False for True Conditions,https://github.com/rapidsai/cudf/issues/19169,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0031-590758a3,rapidsai/cudf,[FEA] Add object-oriented APIs for semi/anti join and rework contains,https://github.com/rapidsai/cudf/issues/19205,performance_only,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0032-bf859131,rapidsai/cudf,[BUG] df.dtypes --> moves DataFrame to CPU,https://github.com/rapidsai/cudf/issues/19620,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0033-6ea50f60,rapidsai/cudf,CUDA reductions should have independent input and output types,https://github.com/rapidsai/cudf/issues/446,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0034-fbd5bace,rapidsai/cudf,[BUG] cudf.read_csv doesn't detect byte order mark (BOM) at start of file.,https://github.com/rapidsai/cudf/issues/5694,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0035-7561deab,rapidsai/cudf,"[BUG] to_parquet using ""cudf"" engine fails",https://github.com/rapidsai/cudf/issues/7074,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0036-976dc271,rapidsai/cudf,[BUG] Groupby does not automatically promote type,https://github.com/rapidsai/cudf/issues/894,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0037-2f2ce685,rapidsai/cudf,[BUG] GPU-accelerated file reads fail  on WSL2,https://github.com/rapidsai/cudf/issues/9861,performance_only,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0038-ba2db306,rapidsai/cudf,[BUG] containsRe intermittently returns incorrect result for simple octal digit pattern,https://github.com/rapidsai/cudf/issues/9946,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,precision_tolerance,nan_inf,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0039-535fe63b,triton-lang/triton,FP8 GEMM implemented with triton is slower on Ada (SM89),https://github.com/triton-lang/triton/issues/5583,precision_tolerance,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,dtype_casting,overflow_underflow,4,3,medium,suggestion_only_not_gold
EGNF1000-0040-0db06f30,triton-lang/triton,Matmul tutorial code failed on odd sizes with FP16 inputs,https://github.com/triton-lang/triton/issues/5990,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0041-9da7e0b6,pytorch/pytorch,`torch.compile` produces wrong results for `fractional_max_pool2d` when `_random_samples` is not provided,https://github.com/pytorch/pytorch/issues/183249,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0042-a7264095,triton-lang/triton,06-fused-attention.py has precision problem in torch==2.3.0 but works well in torch==2.1.0,https://github.com/triton-lang/triton/issues/4019,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0043-e1a6a41c,triton-lang/triton,Failure when running on cluster,https://github.com/triton-lang/triton/issues/1509,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0044-040651e9,pytorch/pytorch,[inductor/aot_eager] interpolate under torch.compile produces incorrect result when mode is `nearest`,https://github.com/pytorch/pytorch/issues/175154,precision_tolerance,nan_inf,dtype_casting,dtype_casting,dtype_casting,precision_tolerance,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0045-698df6d9,cupy/cupy,[Tracker] Fix signature mismatch with NumPy/SciPy,https://github.com/cupy/cupy/issues/6693,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0046-95ebf0e6,cupy/cupy,Revisit the splitting of the ufunc & ElementwiseKernel machineries,https://github.com/cupy/cupy/issues/9586,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,crash_compile,dtype_casting,3,2,medium,suggestion_only_not_gold
EGNF1000-0047-dc43f9bb,numba/numba,CUDA JIT errors when multiple signatures provided,https://github.com/numba/numba/issues/3226,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0048-cae04f17,numba/numba,help diagnosing a GPU performance issue,https://github.com/numba/numba/issues/4647,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0049-22d467df,numba/numba,I have a question about half precision float support in numba cuda,https://github.com/numba/numba/issues/4670,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0050-7d6af292,numba/numba,OSError: exception: access violation reading ... in nvvm.py,https://github.com/numba/numba/issues/4783,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0051-5eeebfe9,numba/numba,CUDA malloc. Fatal Python error: Aborted,https://github.com/numba/numba/issues/4833,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0052-382601ef,numba/numba,Strides of transposes differ between CUDA target and Numpy,https://github.com/numba/numba/issues/4974,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0053-ff555c52,numba/numba,"Intel TBB is required, no threading layer could be loaded, however TBB is already installed",https://github.com/numba/numba/issues/5982,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,precision_tolerance,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0054-622e4ce6,numba/numba,use of @jit and @njit makes function execute with false output,https://github.com/numba/numba/issues/6247,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0055-b43608f4,numba/numba,Silently incorrect compilation involving nested functions and asserts,https://github.com/numba/numba/issues/7916,crash_compile,not_numerical_failure,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,3,2,medium,suggestion_only_not_gold
EGNF1000-0056-8dd09989,numba/numba,CUDA; Need to handle incorrect `CUDA_HOME` more gracefully,https://github.com/numba/numba/issues/9241,crash_compile,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,overflow_underflow,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0057-5814ed26,numba/numba,Pass NULL pointer for cffi.FFI().from_buffer(empty array),https://github.com/numba/numba/issues/9654,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0058-f1557d82,pytorch/pytorch,RPC + DDP VRAM overflow to rank 0 GPU.,https://github.com/pytorch/pytorch/issues/124204,overflow_underflow,overflow_underflow,overflow_underflow,dtype_casting,overflow_underflow,dtype_casting,overflow_underflow,4,2,medium,suggestion_only_not_gold
EGNF1000-0059-187cc5bb,pytorch/pytorch,[Inductor] Triton convolution template produces incorrect results for non-1x1 kernels,https://github.com/pytorch/pytorch/issues/173068,precision_tolerance,not_numerical_failure,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0060-80037eb7,jax-ml/jax,Edge behavior in `jax.scipy.special.betainc`,https://github.com/jax-ml/jax/issues/21900,nan_inf,not_numerical_failure,not_numerical_failure,not_numerical_failure,not_numerical_failure,dtype_casting,not_numerical_failure,4,3,medium,suggestion_only_not_gold
EGNF1000-0061-2755f60a,pytorch/pytorch,Tolerance setting for test_modules.py -- TestModuleCUDA.test_cpu_cuda_parity,https://github.com/pytorch/pytorch/issues/122287,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,overflow_underflow,dtype_casting,3,2,medium,suggestion_only_not_gold
EGNF1000-0062-a7bfcaae,pytorch/pytorch,ROCm MI300 (gfx942): native segfault in mixed-precision BatchNorm2d backward,https://github.com/pytorch/pytorch/issues/182988,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,precision_tolerance,precision_tolerance,dtype_casting,3,0,medium,suggestion_only_not_gold
EGNF1000-0063-5bf9c164,pytorch/pytorch,[Inductor][CPU] test_linear_thread_factors produces incorrect results with k-slicing on AVX2,https://github.com/pytorch/pytorch/issues/180739,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0064-b38df00f,triton-lang/triton,[Bug] Wrong results from while-loop with mixed int32/bfloat16 arithmetic,https://github.com/triton-lang/triton/issues/9963,precision_tolerance,nan_inf,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0065-7250b315,jax-ml/jax,Improved docs for (default) matmul precision,https://github.com/jax-ml/jax/issues/10413,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0066-0a4de68c,jax-ml/jax,Intercepted XLA runtime error .,https://github.com/jax-ml/jax/issues/17399,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0067-0c1078e8,jax-ml/jax,Improve precision of 32-bit `gammaln`?,https://github.com/jax-ml/jax/issues/21284,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0068-9a00b143,jax-ml/jax,jaxlib.xla_extension.XlaRuntimeError: INTERNAL: ptxas exited with non-zero error code 11,https://github.com/jax-ml/jax/issues/21621,crash_compile,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0069-d4922426,jax-ml/jax,NVIDIA Jetson Orin Nano: no kernel image is available for execution on the device,https://github.com/jax-ml/jax/issues/22723,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0070-2c3822f5,jax-ml/jax,[Pallas TPU] `jnp.uint32` comparisons give the wrong result with large numbers,https://github.com/jax-ml/jax/issues/23972,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0071-629a5f1b,jax-ml/jax,jax.jit produces incorrect results vs eager execution on CPU,https://github.com/jax-ml/jax/issues/36619,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0072-fcf6e526,pytorch/pytorch,Severe differences between outputs of Linear with DTensor and Tensor in half precision,https://github.com/pytorch/pytorch/issues/160911,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0073-b5f1f900,jax-ml/jax,Wrong result when Jitting a function,https://github.com/jax-ml/jax/issues/23866,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0074-52e0b286,jax-ml/jax,jax reported a 'Segmentation fault' error for backend_compile in compiler.py,https://github.com/jax-ml/jax/issues/29139,crash_compile,overflow_underflow,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0075-b0f32f45,jax-ml/jax,mixed precision is disallowed in 0.7.1,https://github.com/jax-ml/jax/issues/32148,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0076-d51cfae4,jax-ml/jax,Performance of index_update on GPU with complex double data type,https://github.com/jax-ml/jax/issues/4115,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0077-f00ad38d,pytorch/pytorch,"torch.fmin with CUDA out=int16 casts inputs before computation, producing incorrect result",https://github.com/pytorch/pytorch/issues/183391,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0078-502547c7,pytorch/pytorch,simple matrix multiplication yields wrong result on Ampere (3080),https://github.com/pytorch/pytorch/issues/55355,precision_tolerance,overflow_underflow,overflow_underflow,overflow_underflow,overflow_underflow,nan_inf,overflow_underflow,4,3,medium,suggestion_only_not_gold
EGNF1000-0079-8f24c94d,pytorch/pytorch,torch.cross precision problem,https://github.com/pytorch/pytorch/issues/65050,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,nan_inf,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0080-cc181a14,rapidsai/cuml,GridSearchCV GPU Implemetation,https://github.com/rapidsai/cuml/issues/5722,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,nan_inf,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0081-cff7477c,rapidsai/cuml,[DOC] Better example of dask.neighbors in README,https://github.com/rapidsai/cuml/issues/5850,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0082-68c4178d,rapidsai/cuml,[CI] test_serialize fails with strides mismatch for float16 arrays,https://github.com/rapidsai/cuml/issues/7443,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0083-fcb73630,apache/tvm,[Bug]: Semantically equivalent ONNX graphs produce inconsistent ReduceMean results on CPU in TVM 0.9.0,https://github.com/apache/tvm/issues/18895,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0084-ef6358a8,jax-ml/jax,truncated_normal can't handle extreme bounds,https://github.com/jax-ml/jax/issues/10951,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0085-ce351663,jax-ml/jax,Latest JAX `0.4.24` does not detect GPUs,https://github.com/jax-ml/jax/issues/20133,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0086-255536d7,jax-ml/jax,`jax.lax.DotAlgorithm` generates an unnecessary conversion on H100,https://github.com/jax-ml/jax/issues/24794,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0087-5b75c955,jax-ml/jax,`pad` gives wrong results version>=0.4.36,https://github.com/jax-ml/jax/issues/26888,precision_tolerance,nan_inf,dtype_casting,dtype_casting,nan_inf,dtype_casting,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0088-e01d1fe8,jax-ml/jax,Lower Precision Grad Reduction,https://github.com/jax-ml/jax/issues/27496,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0089-53faf55e,jax-ml/jax,RuntimeError: Unable to initialize backend 'cuda': FAILED_PRECONDITION: No visible GPU devices.,https://github.com/jax-ml/jax/issues/28980,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0090-d779697d,jax-ml/jax,jaxlib 0.6.2 (CUDA 12) fails to start: “Unable to load cuSPARSE” → falls back to CPU,https://github.com/jax-ml/jax/issues/30050,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0091-86c53ca1,jax-ml/jax,Inconsistent Reduction precision in backwards computation,https://github.com/jax-ml/jax/issues/30310,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0092-1b5195e6,jax-ml/jax,conv_general_dilated assertion on reverse mode autodiff,https://github.com/jax-ml/jax/issues/31592,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0093-b3699032,jax-ml/jax,"XLA GPU autotune state bug: No valid config found for Triton GEMM after prior GEMM execution (RTX 4090, JAX/jaxlib 0.9.0)",https://github.com/jax-ml/jax/issues/35515,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0094-f151c642,pytorch/pytorch,"torch.export + torch.onnx.export(dynamo=True) gives incorrect results for scatter_reduce_(reduce=""mean"")",https://github.com/pytorch/pytorch/issues/175738,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,nan_inf,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0095-ca4951e3,rapidsai/cudf,[FEA] Parquet reader should use LogicalType rather than ConvertedType,https://github.com/rapidsai/cudf/issues/15224,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,dtype_casting,4,3,medium,suggestion_only_not_gold
EGNF1000-0096-4e705f69,rapidsai/cudf,[FEA] Add Float 16 support to RAPIDS cudf,https://github.com/rapidsai/cudf/issues/5770,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
