review_id,blind_id,repository,issue_number,url,title,github_labels,current_gold_primary_failure,candidate_weak_label_prediction,tfidf_linear_svm_prediction,expanded_gold_vote_ensemble_prediction,ensemble_vote_count,ensemble_vote_margin,selection_reasons,adjudicated_primary_failure,adjudicated_is_true_numerical_failure,adjudicated_confidence,adjudication_reason
V2-ADJ-011,GNF-0091-f2cd4055,numba/numba,5640,https://github.com/numba/numba/issues/5640,guvectorize-CUDA broadcast fail,bug|CUDA,dtype_casting,precision_tolerance,dtype_casting,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-012,GNF-0101-ca19a99c,numba/numba,10353,https://github.com/numba/numba/issues/10353,"wsl Linker error log: ERROR 4 in nvvmAddNVVMContainerToProgram, may need newer version of nvJitLink library",,not_numerical_failure,needs_review,crash_compile,crash_compile,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-013,GNF-0178-7e3074ef,numba/numba,10116,https://github.com/numba/numba/issues/10116,[Feature request] Vulkan Target,feature_request,not_numerical_failure,performance_only,overflow_underflow,overflow_underflow,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-014,EGNF1000-0830-7216e65d,pytorch/pytorch,174469,https://github.com/pytorch/pytorch/issues/174469,[RFC] Overview of Test Case Refactoring in PyTorch,feature|module: tests|triaged|module: backend|module: PrivateUse1|bot-triaged,not_numerical_failure,needs_review,dtype_casting,dtype_casting,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-015,GNF-0066-103332ec,pytorch/pytorch,169146,https://github.com/pytorch/pytorch/issues/169146,bad numerics for variable length attention with cudnn,module: cudnn|triaged|module: sdpa,dtype_casting,precision_tolerance,precision_tolerance,precision_tolerance,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,precision_tolerance,yes,medium,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-016,GNF-0087-b5fe68e9,pytorch/pytorch,182952,https://github.com/pytorch/pytorch/issues/182952,"hipBLASLt path ignores backward fp16_alt_impl for Half GEMMs, causing FTZ in backward and silent training divergence on gfx90a",triage review|module: numerical-stability|module: autograd|module: rocm|module: regression|has workaround|module: half|module: linear algebra|module: correctness (silent)|bot-triaged,dtype_casting,overflow_underflow,overflow_underflow,overflow_underflow,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,overflow_underflow,yes,medium,"The visible numerical symptom is overflow, underflow, saturation, or out-of-range behavior."
V2-ADJ-017,EGNF1000-0034-fbd5bace,rapidsai/cudf,5694,https://github.com/rapidsai/cudf/issues/5694,[BUG] cudf.read_csv doesn't detect byte order mark (BOM) at start of file.,bug|libcudf|cuIO,dtype_casting,precision_tolerance,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,medium,The issue does not show an explicit numerical correctness failure.
V2-ADJ-018,EGNF1000-0578-f29ba210,rapidsai/cudf,12497,https://github.com/rapidsai/cudf/issues/12497,[FEA] category dtype support in parquet reader,feature request|0 - Backlog|libcudf|Python|cuIO,not_numerical_failure,dtype_casting,dtype_casting,dtype_casting,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-019,EGNF1000-0841-3b46b48f,rapidsai/cudf,13309,https://github.com/rapidsai/cudf/issues/13309,[DOC] dask-cudf starter example on docs page fails,doc,not_numerical_failure,needs_review,precision_tolerance,precision_tolerance,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily documentation-related rather than a numerical failure.
V2-ADJ-020,GNF-0044-58d8c7b3,rapidsai/cudf,13233,https://github.com/rapidsai/cudf/issues/13233,[DOC] please update for Cuda 12xx,doc,not_numerical_failure,crash_compile,overflow_underflow,overflow_underflow,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily documentation-related rather than a numerical failure.
V2-ADJ-021,GNF-0054-d98d7afd,rapidsai/cudf,2543,https://github.com/rapidsai/cudf/issues/2543,"[BUG] dask_cudf, groupby mean is numerically instable",bug,not_numerical_failure,crash_compile,dtype_casting,dtype_casting,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-022,GNF-0155-6ad1750a,rapidsai/cudf,20484,https://github.com/rapidsai/cudf/issues/20484,[FEA]: Change default cudf-polars stream pool policy to `pool`,feature request|cudf-polars,not_numerical_failure,performance_only,crash_compile,crash_compile,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-023,EGNF1000-0653-1a746736,rapidsai/cuml,6736,https://github.com/rapidsai/cuml/issues/6736,`ElasticNet.fit` causes cublas error on large enough data,bug,overflow_underflow,dtype_casting,precision_tolerance,precision_tolerance,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-024,EGNF1000-0695-cdf254ae,rapidsai/cuml,6046,https://github.com/rapidsai/cuml/issues/6046,Serialization problem with GridSearchCV,,not_numerical_failure,dtype_casting,performance_only,crash_compile,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The issue does not show an explicit numerical correctness failure.
V2-ADJ-025,EGNF1000-0857-022ba166,rapidsai/cuml,5212,https://github.com/rapidsai/cuml/issues/5212,[BUG] Reduce memory footprint of mnmg kmeans,bug,performance_only,overflow_underflow,not_numerical_failure,not_numerical_failure,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,performance_only,no,high,"The dominant reported problem is speed, memory use, scheduling, or throughput rather than numerical correctness."
V2-ADJ-026,EGNF1000-0993-da45fd5a,rapidsai/cuml,3311,https://github.com/rapidsai/cuml/issues/3311,[FEA] Add implementation for average precision recall score.,feature request|inactive-30d|inactive-90d,not_numerical_failure,precision_tolerance,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-027,EGNF1000-0277-ccbd58b0,triton-lang/triton,4729,https://github.com/triton-lang/triton/issues/4729,/usr/bin/ld: cannot find -lNVGPUIR: No such file or directory,,dtype_casting,crash_compile,not_numerical_failure,not_numerical_failure,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,medium,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-028,EGNF1000-0380-4be61aa7,triton-lang/triton,1129,https://github.com/triton-lang/triton/issues/1129,"Do tensors and corresponding operators such as reshape, ravel, dot in triton support >=3 dimensions?",question,not_numerical_failure,needs_review,not_numerical_failure,dtype_casting,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is a support/API question without an explicit numerical failure.
V2-ADJ-029,EGNF1000-0790-a5d860eb,triton-lang/triton,9247,https://github.com/triton-lang/triton/issues/9247,Feature Request: Optional 64-bit indexing for block pointer offsets,,performance_only,overflow_underflow,not_numerical_failure,not_numerical_failure,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-030,GNF-0064-6c864f3b,triton-lang/triton,211,https://github.com/triton-lang/triton/issues/211,Comparison with @jax.jit?,,overflow_underflow,needs_review,dtype_casting,dtype_casting,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,medium,The issue does not show an explicit numerical correctness failure.
V2-ADJ-031,GNF-0099-8e08d802,triton-lang/triton,7354,https://github.com/triton-lang/triton/issues/7354,Pipeline failed while executing TritonGPUAllocateWarpGroups,bug,dtype_casting,precision_tolerance,crash_compile,crash_compile,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-032,EGNF1000-0158-2c5a0cd1,jax-ml/jax,18535,https://github.com/jax-ml/jax/issues/18535,Test failures: numerical error in`tests/qdwh_test.py::QdwhTest::testQdwhWithOnRankDeficientInput5`,bug|contributions welcome|needs info|CPU,crash_compile,precision_tolerance,not_numerical_failure,dtype_casting,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-033,EGNF1000-0868-f1a0a577,jax-ml/jax,8853,https://github.com/jax-ml/jax/issues/8853,host_callback primitives are not usable under xla.lower_fun,bug|P2 (eventual),crash_compile,needs_review,precision_tolerance,precision_tolerance,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-034,EGNF1000-0869-584b4190,pytorch/pytorch,178317,https://github.com/pytorch/pytorch/issues/178317,[inductor] Tolerances in test_remove_no_ops have to be lowered with native matmul,module: tests|triaged|oncall: pt2|module: inductor|bot-triaged,precision_tolerance,needs_review,overflow_underflow,overflow_underflow,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-035,EGNF1000-0890-e093321c,pytorch/pytorch,169392,https://github.com/pytorch/pytorch/issues/169392,hipblaslt insufficient MI300 TF32 accuracy for certain pytorch unit tests,module: rocm|triaged|rocm-skipped-tests,precision_tolerance,needs_review,nan_inf,nan_inf,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-036,GNF-0057-44d428bb,pytorch/pytorch,109074,https://github.com/pytorch/pytorch/issues/109074,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training,triaged|oncall: pt2|module: inductor|upstream triton|module: compile-time,precision_tolerance,crash_compile,dtype_casting,nan_inf,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,performance_only,no,medium,"The dominant reported problem is speed, memory use, scheduling, or throughput rather than numerical correctness."
V2-ADJ-037,GNF-0095-e46f2dc5,pytorch/pytorch,108670,https://github.com/pytorch/pytorch/issues/108670,torch.jit.script produces incorrect gradients,oncall: jit,precision_tolerance,needs_review,precision_tolerance,nan_inf,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-038,GNF-0159-f17202a4,pytorch/pytorch,182554,https://github.com/pytorch/pytorch/issues/182554,Release 2.12 validations checklist and cherry-picks,triaged|release tracker,precision_tolerance,crash_compile,dtype_casting,nan_inf,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,not_numerical_failure,no,medium,The issue does not show an explicit numerical correctness failure.
V2-ADJ-039,EGNF1000-0344-80405f35,rapidsai/cudf,11247,https://github.com/rapidsai/cudf/issues/11247,[BUG] AllocateLikeTest fails when run with CUDA memory resource,bug|libcudf,crash_compile,needs_review,not_numerical_failure,not_numerical_failure,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-040,EGNF1000-0346-65022442,rapidsai/cudf,14676,https://github.com/rapidsai/cudf/issues/14676,[DOC] `10 Minutes to cuDF And Dask-cuDF` notebook shows jitify warning,doc,precision_tolerance,needs_review,not_numerical_failure,not_numerical_failure,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,not_numerical_failure,no,high,The report is primarily documentation-related rather than a numerical failure.
V2-ADJ-041,GNF-0176-0884dd43,rapidsai/cudf,28,https://github.com/rapidsai/cudf/issues/28,Support for windows?,feature request|Python|CMake,precision_tolerance,needs_review,performance_only,dtype_casting,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-042,EGNF1000-0251-e6604485,rapidsai/cuml,3577,https://github.com/rapidsai/cuml/issues/3577,[FEA] In-place k-select for sparse knn on string matching,feature request|inactive-30d|inactive-90d,precision_tolerance,performance_only,not_numerical_failure,overflow_underflow,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-043,EGNF1000-0949-b0380285,rapidsai/cuml,7705,https://github.com/rapidsai/cuml/issues/7705,[CI] Flaky SG_TSNE_TEST failure with BreastCancer dataset and KNN Barnes-Hut,bug|ci|flaky,crash_compile,precision_tolerance,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-044,GNF-0118-6cddc10b,triton-lang/triton,506,https://github.com/triton-lang/triton/issues/506,[Feature Request] Support `__pow__` builtin,enhancement,nan_inf,crash_compile,dtype_casting,crash_compile,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-045,EGNF1000-0918-19d5d210,cupy/cupy,8633,https://github.com/cupy/cupy/issues/8633,Can't compile on Arch Linux with `cudnn 9.2.1.18` and cuda `12.6.1`,issue-checked,overflow_underflow,overflow_underflow,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-046,GNF-0005-80aeca70,cupy/cupy,6715,https://github.com/cupy/cupy/issues/6715,Wrong overflow with matmul of uint16 arrays,cat:bug|prio:high,overflow_underflow,overflow_underflow,dtype_casting,dtype_casting,3,1,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,overflow_underflow,yes,high,"The visible numerical symptom is overflow, underflow, saturation, or out-of-range behavior."
V2-ADJ-047,GNF-0112-9ee80d72,cupy/cupy,9558,https://github.com/cupy/cupy/issues/9558,Make CCCL compilation warning-free,contribution welcome|prio:low|cat:code-fix,dtype_casting,crash_compile,overflow_underflow,overflow_underflow,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,not_numerical_failure,no,medium,The issue does not show an explicit numerical correctness failure.
V2-ADJ-048,GNF-0127-32017a62,cupy/cupy,5424,https://github.com/cupy/cupy/issues/5424,cupy gives Unknown error,issue-checked,overflow_underflow,overflow_underflow,dtype_casting,dtype_casting,3,1,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-049,GNF-0133-3e76eecf,cupy/cupy,6535,https://github.com/cupy/cupy/issues/6535,```cupyx.scipy.ndimage.zoom``` returns incorrect values,cat:bug,overflow_underflow,dtype_casting,nan_inf,nan_inf,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-050,GNF-0136-a301f54e,cupy/cupy,7978,https://github.com/cupy/cupy/issues/7978,Performance Degradation in CuPy cuFFT: Runtime Increases from 6 Minutes to 10 Hours After Doubling Input Array Size,issue-checked,overflow_underflow,performance_only,dtype_casting,dtype_casting,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,performance_only,no,high,"The dominant reported problem is speed, memory use, scheduling, or throughput rather than numerical correctness."
V2-ADJ-051,GNF-0137-1f5e2c55,cupy/cupy,7058,https://github.com/cupy/cupy/issues/7058,`cupyx.scipy.sparse.block_diag` working with cupy sparse matrix on GPU,contribution welcome|cat:feature|good first issue,performance_only,performance_only,dtype_casting,dtype_casting,2,0,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,performance_only,no,high,"The dominant reported problem is speed, memory use, scheduling, or throughput rather than numerical correctness."
V2-ADJ-052,GNF-0187-2664d182,cupy/cupy,2742,https://github.com/cupy/cupy/issues/2742,Discussion on multi-GPU support for cuFFT and cuSOLVER,cat:feature|pr-ongoing,overflow_underflow,performance_only,not_numerical_failure,not_numerical_failure,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
V2-ADJ-053,EGNF1000-0227-0d31e64e,jax-ml/jax,37412,https://github.com/jax-ml/jax/issues/37412,jaxlib: malformed pickled PyTreeDef can crash flatten_up_to,bug,overflow_underflow,crash_compile,overflow_underflow,crash_compile,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-054,EGNF1000-0537-e2722855,jax-ml/jax,18874,https://github.com/jax-ml/jax/issues/18874,Segfault when using debug callback,bug|needs info|TPU,overflow_underflow,overflow_underflow,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,medium,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-055,EGNF1000-0611-69dad14f,jax-ml/jax,23337,https://github.com/jax-ml/jax/issues/23337,`jnp.pow()` triggers dtype promotion when it should not,bug,dtype_casting,dtype_casting,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-056,EGNF1000-0711-53cec17c,jax-ml/jax,12145,https://github.com/jax-ml/jax/issues/12145,Float16 behavior affect by jax_enable_x64,bug,dtype_casting,dtype_casting,dtype_casting,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-057,GNF-0052-c0b07407,jax-ml/jax,36886,https://github.com/jax-ml/jax/issues/36886,shard_map + grad produces unexpected results on multi-device,bug,dtype_casting,precision_tolerance,not_numerical_failure,not_numerical_failure,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-058,GNF-0074-c730bac3,jax-ml/jax,30874,https://github.com/jax-ml/jax/issues/30874,Conda Installation with Cuda,,not_numerical_failure,overflow_underflow,dtype_casting,dtype_casting,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,not_numerical_failure,no,high,The issue does not show an explicit numerical correctness failure.
V2-ADJ-059,GNF-0123-b044c5aa,jax-ml/jax,24680,https://github.com/jax-ml/jax/issues/24680,DLPack Support for np.uint16 seems broken,bug,dtype_casting,dtype_casting,not_numerical_failure,not_numerical_failure,2,0,ensemble_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is a support/API question without an explicit numerical failure.
V2-ADJ-060,GNF-0051-53841ba4,numba/numba,4713,https://github.com/numba/numba/issues/4713,Numba is not detecting the icc_rt libraries when installed with pip,wheels|installation,not_numerical_failure,crash_compile,crash_compile,crash_compile,3,2,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|review_priority_class,not_numerical_failure,no,high,The issue does not show an explicit numerical correctness failure.
