blind_id,repository,issue_number,title,annotator_a_primary,annotator_b_primary,annotator_a_true_failure,annotator_b_true_failure,gold_primary_failure,gold_is_true_numerical_failure,gold_evidence_quote,calibration_focus
GNF-0038-ba034dce,triton-lang/triton,2218,Segfault in TTIR when doing convert s8->f32 + dot,dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,The issue can be solved by setting `int minBitwidth = 0;` (in line https://github.com/openai/triton/blob/17d633a64e43337037d2e873b029fab92422762f/lib/Dialect/TritonGPU/Transforms/AccelerateMatmul.cpp#L299) but also comme,primary_label_disagreement
GNF-0039-1a4af8a4,cupy/cupy,9777,CuPy v14.0.0+ is buggy in a conda env,dtype_casting,not_numerical_failure,unclear,no,dtype_casting,yes,python File /opt/conda/lib/python3.12/site-packages/cupy/__init__.py:18 14 _environment._preload_library('cutensor') # NOQA 17 try: ---> 18 from cupy import _core # NOQA 19 except ImportError as exc: 20 raise ImportError,primary_label_disagreement
GNF-0040-5f558cf9,pytorch/pytorch,180126,DISABLED test_triton_kernel_dtype_view_cfg_cpp_wrapper (__main__.KernelTests),precision_tolerance,not_numerical_failure,yes,no,dtype_casting,yes,DISABLED test_triton_kernel_dtype_view_cfg_cpp_wrapper (__main__.KernelTests),primary_label_disagreement
GNF-0041-2e844e08,numba/numba,9814,`snt_check()` appears not to handle core count correctly,precision_tolerance,not_numerical_failure,yes,no,dtype_casting,yes,__Installed Packages__ Package Version ---------------------------- ----------- absl-py 2.1.0 alembic 1.13.3 astunparse 1.6.3 certifi 2024.8.30 charset-normalizer 3.4.0 colorlog 6.9.0 contourpy 1.3.0 cycler 0.12.1 dbus-p,primary_label_disagreement
GNF-0042-938c1ba1,jax-ml/jax,36766,`jnp.searchsorted` fails with symbolic shapes on the sorted dimension during `jax.export`,overflow_underflow,crash_compile,yes,unclear,overflow_underflow,yes,The root cause is an eager overflow check in `SearchSorted,primary_label_disagreement
GNF-0043-75ac4cd1,numba/numba,10325,test failures related to tolerance (corruption / refcounting),nan_inf,needs_review,yes,unclear,nan_inf,yes,Max relative difference among violations: inf ACTUAL: array([[[ 70,primary_label_disagreement
GNF-0044-58d8c7b3,rapidsai/cudf,13233,[DOC] please update for Cuda 12xx,not_numerical_failure,precision_tolerance,no,unclear,not_numerical_failure,no,s you're facing? I'm going to do my best to guess what might be going wrong,primary_label_disagreement
GNF-0048-07821d1f,cupy/cupy,2248,floating point errors,overflow_underflow,needs_review,yes,unclear,overflow_underflow,yes,floating point errors Odd discrepancies for simple maths without overflow potential where there shouldn't really be disagreement ```bash nvidia-docker ru,primary_label_disagreement
GNF-0049-80ab540f,cupy/cupy,6661,poly1d with int64 arrays -- unexpected output,precision_tolerance,overflow_underflow,yes,yes,overflow_underflow,yes,ic Thanks for your reporting! This bug looks to be caused by an int64 overflow,primary_label_disagreement
GNF-0050-b61f01c8,rapidsai/cudf,20408,[BUG]: `IndexError` in `_decompose` when running pdsh query 17 with decimal data,dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,"DECIMAL128: 27>)>, 'round', (2, 'half_to_even'), Cast(<DataType(polars=Decimal(precision=None, scale=6), plc=<type_id",primary_label_disagreement
GNF-0051-53841ba4,numba/numba,4713,Numba is not detecting the icc_rt libraries when installed with pip,performance_only,not_numerical_failure,no,no,not_numerical_failure,no,org/numba-doc/latest/user/performance-tips,primary_label_disagreement
GNF-0052-c0b07407,jax-ml/jax,36886,shard_map + grad produces unexpected results on multi-device,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,"import os os.environ[""JAX_PLATFORMS""] = ""cpu"" os.environ[""XLA_FLAGS""] = ""--xla_force_host_platform_device_count=2"" import jax import jax.numpy as jnp from jax.sharding import Mesh, PartitionSpec as P, NamedSharding from",primary_label_disagreement
GNF-0053-9d7e3d51,pytorch/pytorch,121226,input_data.to produce inconsistent results,precision_tolerance,nan_inf,yes,yes,nan_inf,yes,ibe the bug The initial vector is a float tensor containing NaN,primary_label_disagreement
GNF-0054-d98d7afd,rapidsai/cudf,2543,"[BUG] dask_cudf, groupby mean is numerically instable",precision_tolerance,precision_tolerance,yes,unclear,not_numerical_failure,no,truncated] I believe this is just due to the nature of floating point precision,true_failure_or_confidence_disagreement
GNF-0055-6da9303a,numba/numba,2011,improve cuda gufunc: multiple output arguments,not_numerical_failure,needs_review,no,unclear,not_numerical_failure,no,improve cuda gufunc: multiple output arguments,primary_label_disagreement
GNF-0057-44d428bb,pytorch/pytorch,109074,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training,performance_only,crash_compile,no,unclear,precision_tolerance,yes,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training triaged|oncall: pt2|module: inductor|upstream triton|module: compile-time ### 🐛 Describe the bu,primary_label_disagreement
GNF-0058-03a80045,triton-lang/triton,189,Low RTX20 tensor core performance,performance_only,nan_inf,no,yes,nan_inf,yes,909891 NaN 1 768,primary_label_disagreement
GNF-0062-3cbef3ba,rapidsai/cudf,3554,cuDF failure when reading Avro files (Cannot parse metadata),nan_inf,crash_compile,yes,unclear,nan_inf,yes,"-- | -- | -- | -- | -- | -- | -- | -- None | None | None | NaN | None | {'make': None, 'model': None, 'ua': None, 'ver",primary_label_disagreement
GNF-0063-a5f90bd9,pytorch/pytorch,142388,User-defined way to hook into Inductor autotuning (+ custom op),not_numerical_failure,performance_only,no,no,not_numerical_failure,no,User-defined way to hook into Inductor autotuning (+ custom op),primary_label_disagreement
GNF-0066-103332ec,pytorch/pytorch,169146,bad numerics for variable length attention with cudnn,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,"0354e-03]], device='cuda:0', dtype=torch",primary_label_disagreement
GNF-0067-0064f2a6,cupy/cupy,9823,Inconsistency between CuPy and NumPy's 1D linear interpolation,precision_tolerance,nan_inf,yes,yes,nan_inf,yes,interp) when `inf` values are present (see the example below),primary_label_disagreement
GNF-0068-abb65bf7,numba/numba,7324,fast_matmul in docs example not working properly - returning wrong results,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,"python import numpy as np from numba import cuda, float32 # Controls threads per block and shared memory usage.",primary_label_disagreement
GNF-0069-88ed627b,cupy/cupy,9491,Sparse matrix (cupyx.scipy.sparse.csr_matrix) attribute 'device' shows not implemented error,dtype_casting,not_numerical_failure,unclear,no,dtype_casting,yes,"array([0, 0, 1, 2, 2, 2], dtype=cp",primary_label_disagreement
GNF-0070-0db7eac0,numba/numba,5820,Add back support for atomics that always return the non-NaN values,not_numerical_failure,nan_inf,no,yes,nan_inf,yes,Add back support for atomics that always return the non-NaN values,primary_label_disagreement
GNF-0073-9d1db2bf,pytorch/pytorch,182928,[Inductor] Filter extremely bad triton configs by device information for triton heuristics,dtype_casting,performance_only,unclear,no,crash_compile,unclear,"empty_strided(size=[16, 4096, 1024], stride=[4194304, 1024, 1], dtype=torch",primary_label_disagreement
GNF-0074-c730bac3,jax-ml/jax,30874,Conda Installation with Cuda,not_numerical_failure,crash_compile,no,unclear,not_numerical_failure,no,Conda Installation with Cuda,primary_label_disagreement
GNF-0075-7d0d1d21,cupy/cupy,1427,cupy.random ignores size option if it is a scalar on GPU,needs_review,precision_tolerance,unclear,yes,dtype_casting,yes,cupy.random ignores size option if it is a scalar on GPU cat:bug `cupy.random.randint` ignores `size` option if it is a scalar of `cupy.ndarray`.,primary_label_disagreement
GNF-0076-60dcd2da,rapidsai/cudf,3797,[BUG] Python avro unit test sporadically segfaults,precision_tolerance,crash_compile,yes,unclear,not_numerical_failure,no,can see the problem: it seems that the kernel is being called with an incorrect number of blocks (device_buffer,primary_label_disagreement
GNF-0077-892468a4,triton-lang/triton,5065,triton 3.0.0 got FP8 GEMM precision issue with CUDA sm89,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,0 got FP8 GEMM precision issue with CUDA sm89 ## The problem FP8 GEMM result not right: ![image](https:/,primary_label_disagreement
GNF-0078-20f6032e,numba/numba,10403,The np.bitwise_count() function fails,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"array( [ [0, 0, 0, 0], [1, 1, 0, 2], ], dtype=np",primary_label_disagreement
GNF-0079-ec781ba7,triton-lang/triton,2398,`realloc(): invalid pointer` when parsing when Triton is built with clang,overflow_underflow,crash_compile,yes,unclear,overflow_underflow,yes,==================== ==2817286==ERROR: AddressSanitizer: stack-buffer-overflow on address 0x7ffe6bdfb750 at pc 0x559e3d547a39 bp 0x7ffe6bdfadf0 sp 0x7ffe6bdfa,primary_label_disagreement
GNF-0080-d86cbc25,rapidsai/cudf,22360,[BUG] cudf-polars streaming-mode broadcast bug,dtype_casting,precision_tolerance,unclear,yes,crash_compile,unclear,"integers(0, 100, size=n, dtype=np",primary_label_disagreement
GNF-0081-5786ae97,jax-ml/jax,20568,Pallas Tutorial outputs RESOURCE_EXHAUSTED (Reopen),dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,"dtype), grid=(2, 2), in_specs=[pl",primary_label_disagreement
GNF-0082-a3d486ce,cupy/cupy,4352,import cupy 9.0.0a2 doesn't work on Windows 10,overflow_underflow,not_numerical_failure,yes,no,overflow_underflow,yes,"is a **request for support in using CuPy**, please post it on [Stack Overflow](https://stackoverflow",primary_label_disagreement
GNF-0083-c671b943,cupy/cupy,2066,Should introduce NumPy fallback mode,not_numerical_failure,performance_only,no,no,overflow_underflow,yes,"This would avoid tons of questions on Stack Overflow or here such as ""why is my code not at all speeded up?"" I am interested in implementing this feature during GSoC'19 period.",primary_label_disagreement
GNF-0086-61dd6010,jax-ml/jax,10255,jax.scipy.sparse.linalg.cg inconsistent results between runs,precision_tolerance,nan_inf,yes,yes,nan_inf,yes,Sometimes even output a nan matrix,primary_label_disagreement
GNF-0089-074c6391,cupy/cupy,8697,Creating Array with Pinned Memory fails,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,`TypeError: Cannot convert cupy.cuda.pinned_memory.PinnedMemoryPointer to cupy.cuda.memory.MemoryPointer` ### To Reproduce,primary_label_disagreement
GNF-0090-14f882db,rapidsai/cudf,21687,[DOC]: Update dask-cudf for dask-cuda jit-unspilling deprecation.,not_numerical_failure,precision_tolerance,no,yes,precision_tolerance,yes,## Report incorrect documentation **Location of incorrect documentation** https://docs,primary_label_disagreement
GNF-0091-f2cd4055,numba/numba,5640,guvectorize-CUDA broadcast fail,dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,guvectorize-CUDA broadcast fail,primary_label_disagreement
GNF-0092-350f027f,triton-lang/triton,1670,Functional Regression in Latest Main,nan_inf,needs_review,yes,unclear,nan_inf,yes,"where(M == 0, float(""-inf""), p) p = p",primary_label_disagreement
GNF-0094-5130df2b,triton-lang/triton,6054,Microscaling dtypes in triton?,not_numerical_failure,needs_review,no,unclear,overflow_underflow,yes,"Microscaling dtypes in triton? Hi folks, wondering if there are any plans to add top-level dtypes for MX (https://www.opencompute.org/documents/ocp-microscaling-formats-mx-v1-0-spec-final-pdf) to triton, specifically e8",primary_label_disagreement
GNF-0097-60602b2b,rapidsai/cudf,18033,[FEA] Should `Rolling.apply` use pure numba rather than jitify?,not_numerical_failure,crash_compile,no,unclear,dtype_casting,yes,"The above seems to get me the correct result in a few test cases locally, of course the real impl would need more to account for `min_periods`, other dtypes, and more.",primary_label_disagreement
GNF-0098-a1e24269,numba/numba,2451,test case failure ( segmentation fault ) in ppc64le,performance_only,crash_compile,no,unclear,overflow_underflow,yes,"test case failure ( segmentation fault ) in ppc64le Hi All, I was trying to build numba on ubuntu/ppc64le. I have installed the required dependencies - llvmlite, numpy, funcsigs Machine + other details. ``` # arch ppc64",primary_label_disagreement
GNF-0099-8e08d802,triton-lang/triton,7354,Pipeline failed while executing TritonGPUAllocateWarpGroups,dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,"empty([m, n], dtype=torch",primary_label_disagreement
GNF-0100-a235b2dd,triton-lang/triton,2156,type conversion before tl.dot fails compilation,dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,"loc(""/tmp/torchinductor_shunting/bm/cbm7qsh5esh6xdkdddmv7l2ilel4kdbfwgy2luolzmme62njagrb.py"":64:17): error: LLVM Translation failed for operation: builtin.unrealized_conversion_cast Failed to emit LLVM IR Translate to LL",primary_label_disagreement
GNF-0101-ca19a99c,numba/numba,10353,"wsl Linker error log: ERROR 4 in nvvmAddNVVMContainerToProgram, may need newer version of nvJitLink library",crash_compile,not_numerical_failure,unclear,no,not_numerical_failure,no,"wsl Linker error log: ERROR 4 in nvvmAddNVVMContainerToProgram, may need newer version of nvJitLink library",primary_label_disagreement
GNF-0103-f835a9bf,jax-ml/jax,4493,Building on linux with ppc64le CPU,crash_compile,not_numerical_failure,unclear,no,precision_tolerance,unclear,"Building on linux with ppc64le CPU contributions welcome I'm trying to build jax on a cluster that uses IBM power9 processors (it's a sister cluster to Summit at ORNL). It seems to be failing when trying to build XLA, wh",primary_label_disagreement
GNF-0104-5a61566a,triton-lang/triton,7786,triton 3.4.0 tma load error in the loop make_tensor_descriptor,nan_inf,crash_compile,yes,unclear,nan_inf,yes,"where(offset_m[:, None] >= offset_n[None, :], s, float('-inf')) L_ptr = L + offset_m * stride_ls D_ptr = D + offset_m * stride_ds l = tl",primary_label_disagreement
GNF-0105-bbfb9d59,rapidsai/cudf,11189,[BUG] Dask_cudf merge function returns too few rows,dtype_casting,precision_tolerance,yes,yes,dtype_casting,yes,ug** The dask_cudf merge functions returns too few rows when both the dtype of the column being merged on is mismatched (eg: `int64` on the left and `int32,primary_label_disagreement
GNF-0107-36abe955,numba/numba,4247,Dead Kernel WSL Debian on np.arctan(),not_numerical_failure,crash_compile,no,unclear,not_numerical_failure,no,Dead Kernel WSL Debian on np.arctan(),primary_label_disagreement
GNF-0109-5b3bb56e,triton-lang/triton,2688,Encountering FileNotFoundError while Compiling Triton Kernel in Distributed Training,overflow_underflow,not_numerical_failure,yes,no,overflow_underflow,yes,-unused-parameter -Wno-unused-function -Wno-unused-result -Wno-strict-overflow -Wno-strict-aliasing -Wno-stringop-overflow -Wno-psabi -Wno-error=pedantic -Wno,primary_label_disagreement
GNF-0110-1c6064fd,jax-ml/jax,23833,Unable to load any libcudnn_engines_precompiled.so using jax.nn.dot_product_attention,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"Unable to load any of {libcudnn_engines_precompiled.so.9.4.0, libcudnn_engines_precompiled.so.9.4, libcudnn_engines_precompiled.so.9, libcudnn_engines_precompiled.so} Traceback (most recent call last): File ""/home/zdcao/",primary_label_disagreement
GNF-0111-4b909a91,pytorch/pytorch,158212,wrong gradients with compiled flex attention,precision_tolerance,nan_inf,yes,yes,nan_inf,yes,the bug I have a custom attention mask that gives incorrect/nan gradients for k_proj and v_proj when flex attention is compiled,primary_label_disagreement
GNF-0112-9ee80d72,cupy/cupy,9558,Make CCCL compilation warning-free,not_numerical_failure,crash_compile,no,unclear,dtype_casting,yes,"cupy/cuda/cupy_cub.cu: In instantiation of 'void _cub_reduce_argmin::operator()(void*, size_t&, void*, void*, int, cudaStream_t) [with T = signed char; size_t = long unsigned int; cudaStream_t = CUstream_st*]': /local/ho",primary_label_disagreement
GNF-0113-e024c338,cupy/cupy,9785,Create a numpy_cupy_allclose with `NULP` (or similar) mechanism,not_numerical_failure,precision_tolerance,no,yes,dtype_casting,yes,"prio:medium While the current ability to pass a dict of dtypes to `rtol=` and `atol=` is nice, in practice it is used pretty rarely meaning that double precision routines are often tested with the same precision as singl",primary_label_disagreement
GNF-0114-9723251e,rapidsai/cudf,3961,[BUG]Cannot query dataframes with categorical columns,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"import cudf import pandas as pd fn = 'test.csv' lines = """"""id1,id2 1,45 2,3 3, 7 1, 25 """""" with open(fn, 'w') as fp: fp.write(lines) pdf = pd.read_csv(fn, header=0, dtype={""id1"":""category"", ""id2"":""int32""}) cdf = cudf.rea",primary_label_disagreement
GNF-0117-5c96ad33,jax-ml/jax,20430,`jax.scipy.special.ndtri` edge case behavior,precision_tolerance,nan_inf,unclear,yes,nan_inf,yes,")) # Array(-inf, dtype=float32) ndtri(jnp",primary_label_disagreement
GNF-0119-84e3156c,triton-lang/triton,2356,how to use numeric literal in fp16,not_numerical_failure,needs_review,no,unclear,dtype_casting,yes,how to use numeric literal in fp16,primary_label_disagreement
GNF-0120-3d8af802,rapidsai/cudf,9975,[BUG] dask_cudf from_delayed throws exception when meta is included in the from_delayed,precision_tolerance,crash_compile,yes,unclear,dtype_casting,yes,import cudf import numpy as np from dask.dataframe import from_delayed from dask.delayed import delayed import numpy as np import cudf from dask.distributed import Client from dask_cuda import LocalCUDACluster import das,primary_label_disagreement
GNF-0122-2172f7de,rapidsai/cudf,17448,[BUG] Decimal division loses precision when dividing by decimals with fractional parts,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,"Python **Describe the bug** When performing division on Decimal64Dtype columns in cuDF, the result consistently loses the decimal fraction and becomes zero, depending on the precisions and scales of the input columns.",primary_label_disagreement
GNF-0123-b044c5aa,jax-ml/jax,24680,DLPack Support for np.uint16 seems broken,dtype_casting,overflow_underflow,yes,yes,dtype_casting,yes,"uint16 seems broken ### Description ``` JAX_PLATFORMS=cpu CUDA_VISIBLE_DEVICES="""" pyth",primary_label_disagreement
GNF-0124-5e35db0b,pytorch/pytorch,117844,torch.fft.rfft: Unsupported dtype BFloat16,overflow_underflow,dtype_casting,yes,yes,overflow_underflow,yes,affected Vulnerability Retbleed: Vulnerable Vulnerability Spec rstack overflow: Vulnerable Vulnerability Spec store bypass: Vulnerable Vulnerability Spectre v,primary_label_disagreement
GNF-0125-29346792,numba/numba,8464,NumPy 1.24 support,not_numerical_failure,dtype_casting,no,unclear,dtype_casting,yes,com/numpy/numpy/pull/22422 - [ ] Specifying a timedelta dtype for the `sum()` method of arrays is no longer allowed: https://github,primary_label_disagreement
GNF-0127-32017a62,cupy/cupy,5424,cupy gives Unknown error,overflow_underflow,crash_compile,yes,unclear,overflow_underflow,yes,"is a **request for support in using CuPy**, please post it on [Stack Overflow](https://stackoverflow",primary_label_disagreement
GNF-0128-c6e2544c,cupy/cupy,7118,[Discussion needed] Add ways to write `inf` and `nan` as literals in fused and user-defined kernels.,not_numerical_failure,dtype_casting,no,unclear,nan_inf,yes,[Discussion needed] Add ways to write `inf` and `nan` as literals in fused and user-defined kernels.,primary_label_disagreement
GNF-0129-c9f64c60,rapidsai/cudf,10591,[BUG] Passing a list to `StringMethods.strip` puts cuDF into a broken state,nan_inf,crash_compile,yes,unclear,nan_inf,yes,"""]) s ``` ``` 0 NaN dtype: float64 ``` **Environment overview (please complete the following inform",primary_label_disagreement
GNF-0131-4b657811,triton-lang/triton,9375,Can I dynamically index into an array of TensorDescriptors at runtime?,not_numerical_failure,dtype_casting,no,unclear,dtype_casting,unclear,Can I dynamically index into an array of TensorDescriptors at runtime?,primary_label_disagreement
GNF-0132-01bc7af7,triton-lang/triton,781,Incorrect result from first-run autotune function,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,"sk & rmask) if __name__ == ""__main__"": def rand_strided(size, stride, dtype=torch",primary_label_disagreement
GNF-0133-3e76eecf,cupy/cupy,6535,```cupyx.scipy.ndimage.zoom``` returns incorrect values,precision_tolerance,overflow_underflow,yes,yes,overflow_underflow,yes,I suspect this is related to integer overflow,primary_label_disagreement
GNF-0135-51861a93,pytorch/pytorch,143288,EXCEPTION : /python3.11/distutils/core.py,overflow_underflow,not_numerical_failure,yes,no,overflow_underflow,yes,unknown Vulnerability Retbleed: Vulnerable Vulnerability Spec rstack overflow: Not affected Vulnerability Spec store bypass: Vulnerable Vulnerability Spectre,primary_label_disagreement
GNF-0136-a301f54e,cupy/cupy,7978,Performance Degradation in CuPy cuFFT: Runtime Increases from 6 Minutes to 10 Hours After Doubling Input Array Size,overflow_underflow,performance_only,yes,no,overflow_underflow,yes,This sounds like an integer overflow in the launching configuration internally,primary_label_disagreement
GNF-0138-73610007,pytorch/pytorch,168397,[CI][CUDA][Flex Attention] Regression (Illegal Memory Access) with Flex Attention,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"arange(0, BLOCK_M_PER_HQ) # [BLOCK_M_PER_HQ] (cuda-gdb) ptype off_t type = long All of the occurrences seems to be: INDEX_DTYPE : tl",primary_label_disagreement
GNF-0139-08c1b395,pytorch/pytorch,104322,Illegal Memory Access on H100 `TestSparseCompressedTritonKernelsCUDA.test_triton_sampled_addmm_block_size_16_cuda_bfloat16`,precision_tolerance,crash_compile,yes,unclear,overflow_underflow,yes,PyTorch version: 2.1.0a0+git803c144 Is debug build: False CUDA used to build PyTorch: 12.1 ROCM used to build PyTorch: N/A OS: Ubuntu 22.04.2 LTS (x86_64) GCC version: (Ubuntu 11.3.0-1ubuntu1~22.04.1) 11.3.0 Clang versio,primary_label_disagreement
GNF-0140-0369d89c,triton-lang/triton,187,RuntimeError when running matrix mutliplication example : CUDA: Error- invalid ptx,overflow_underflow,crash_compile,yes,unclear,overflow_underflow,yes,ork by changing the datatype to fp16 and using block sizes that don't overflow shared memory Thank you for your quick answer! I did not realize this GPU was h,primary_label_disagreement
GNF-0141-cd3b65ac,numba/numba,4333,Support numpy.isnan and numpy.isnat in cuda.jit kernels,needs_review,not_numerical_failure,unclear,no,nan_inf,yes,"good first issue Currently math.isnan is supported for checking for `NaN`s, but there's no way to check for `NaT`s easily short of viewing as an int64 and comparing to the minimum value (-9223372036854775808).",primary_label_disagreement
GNF-0142-fd6a822f,jax-ml/jax,32136,`jaxlib.xla_extension.XlaRuntimeError: INTERNAL: unsupported operands type` on f64 but not on f32,dtype_casting,dtype_casting,unclear,yes,overflow_underflow,yes,"`jaxlib.xla_extension.XlaRuntimeError: INTERNAL: unsupported operands type` on f64 but not on f32 bug ### Description I am trying to run a code (proprietary) with higher precision (`JAX_ENABLE_X64=1`), and it is giving m",true_failure_or_confidence_disagreement
GNF-0147-77cef7ab,rapidsai/cudf,6587,[BUG] Json reader is not correctly inferring a float column with a specific type of scientific notation,dtype_casting,nan_inf,yes,yes,nan_inf,yes,035766e+09 NaN -2,primary_label_disagreement
GNF-0149-305f23bb,jax-ml/jax,32430,CUDNN dot_product_attention fails in JAX CUDA13,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"PRNGKey(42), (2, 8192, 4, 128), dtype=jnp",primary_label_disagreement
GNF-0150-3c830fbd,triton-lang/triton,2301,'block_pointer' is slower than 'pointer block',performance_only,dtype_casting,no,unclear,dtype_casting,yes,"'block_pointer' is slower than 'pointer block' In specific case, creating block pointer is very slow",primary_label_disagreement
